pmcid	year	count	title	pubmedid
PMC7510271	2020	71088	The social construction of the social epigenome and the larger biological context	
PMC7468154	2020	47204	Mass mortality in freshwater mussels (Actinonaias pectorosa) in the Clinch River, USA, linked to a novel densovirus	32879395
PMC7457359	2020	53395	Honeybee products and edible insect powders improve locomotive and learning abilities of Ubiquilin-knockdown Drosophila	32867756
PMC7457960	2020	87365	ASAS-NANP SYMPOSIUM: RUMINANT/NONRUMINANT FEED COMPOSITION: Challenges and opportunities associated with creating large feed composition tables	32766838
PMC7468914	2020	37831	Gastrointestinally Digested Protein from the Insect Alphitobius diaperinus Stimulates a Different Intestinal Secretome than Beef or Almond, Producing a Differential Response in Food Intake in Rats	32784756
PMC7466187	2020	58039	Towards More Sustainable Meat Products: Extenders as a Way of Reducing Meat Content	32756372
PMC7466546	2020	68721	The Puzzling Potential of Carbon Nanomaterials: General Properties, Application, and Toxicity	32752020
PMC7403230	2020	93285	A History of Corollary Discharge: Contributions of Mormyrid Weakly Electric Fish	32848649
PMC7386586	2020	53656	Interspecific hierarchies from aggressiveness and body size among the invasive alien hornet, Vespa velutina nigrithorax, and five native hornets in South Korea	32722670
PMC7466229	2020	21661	Insects Used as Food and Feed: Isn't That What We All Need?	32726913
PMC7390942	2020	76044	Salmonella Typhimurium Level in Mealworms (Tenebrio molitor) After Exposure to Contaminated Substrate	32793145
PMC7375494	2020	36934	A Novel Head Capsule Labial Gland Lobe in the Black Field Cricket (Orthoptera: Gryllidae)	32697826
PMC7401607	2020	31515	Mass Production of the Black Soldier Fly, Hermetia illucens (L.), (Diptera: Stratiomyidae) Reared on Three Manure Types	32708338
PMC7371693	2020	80855	Injection of seminal fluid into the hemocoel of honey bee queens (Apis mellifera) can stimulate post-mating changes	32686702
PMC7417243	2020	77304	Climate dependent heating efficiency in the common lizard	32788957
PMC7366712	2020	64473	Functional expression of &#x394;12 fatty acid desaturase modulates thermoregulatory behaviour in Drosophila	32678126
PMC7404644	2020	55112	Physicochemical Properties and Consumer Acceptance of Bread Enriched with Alternative Proteins	32679638
PMC7373731	2020	54151	Fermentation Versus Meat Preservatives to Extend the Shelf Life of Mealworm (Tenebrio molitor) Paste for Feed and Food Applications	32760364
PMC7392950	2020	55965	Auditory DUM neurons in a bush-cricket: inhibited inhibitors	32656577
PMC7366252	2020	100647	Nitrogen-to-Protein Conversion Factors for Edible Insects on the Swiss Market: T. molitor, A. domesticus, and L. migratoria	32754611
PMC7400821	2020	38204	Flour for Home Baking: A Cross-Sectional Analysis of Supermarket Products Emphasising the Whole Grain Opportunity	32664438
PMC7404660	2020	38332	Traditional Knowledge of the Utilization of Edible Insects in Nagaland, North-East India	32629940
PMC7344319	2020	71159	Characterization of Spodoptera litura Gut Bacteria and Their Role in Feeding and Growth of the Host	32714311
PMC7455933	2020	57873	Extrusion texturization of cricket flour and soy protein isolate: Influence of insect content, extrusion temperature, and moisture-level variation on textural properties	32884692
PMC7348716	2020	51998	What Is Required for Edible Insects to Become Medical Food? From a Health Professionals and Caregivers' Perspective	32585981
PMC7486953	2020	64712	Comparative Analysis of Genomic Repeat Content in Gomphocerine Grasshoppers Reveals Expansion of Satellite DNA and Helitrons in Species with Unusually Large Genomes	
PMC7296158	2020	52276	Identification and Characterization of Genes Involved in Ecdysteroid Esterification Pathway Contributing to the High 20-Hydroxyecdysone Resistance of Helicoverpa armigera	32581827
PMC7321092	2020	40638	High Hydrostatic Pressure-Assisted Enzymatic Hydrolysis Affect Mealworm Allergenic Proteins	32527059
PMC7283286	2020	47657	Appetitive and aversive social learning with living and dead conspecifics in crickets	32518299
PMC7278890	2020	38906	Immune priming against bacteria in spiders and scorpions?	32547885
PMC7265538	2020	36065	Black widows as plastic wallflowers: female choosiness increases with indicators of high mate availability in a natural population	32488193
PMC7319135	2020	90177	No evidence of sickness behavior in immune-challenged field crickets	32607212
PMC7260734	2020	30007	Schizophyllum commune induced oxidative stress and immunosuppressive activity in Spodoptera litura	32471364
PMC7261824	2020	86476	Thermal Impact on the Culturable Microbial Diversity Along the Processing Chain of Flour From Crickets (Acheta domesticus)	32523562
PMC7251053	2020	74511	Exploring the Role of the Behavioral Immune System in Acceptability of Entomophagy Using Semantic Associations and Food-Related Attitudes	32509797
PMC7239470	2020	83498	Plastic sexual ornaments: Assessing temperature effects on color metrics in a color-changing reptile	32433700
PMC7285219	2020	31037	Silicon Alters Leaf Surface Morphology and Suppresses Insect Herbivory in a Model Grass Species	32438683
PMC7218158	2020	67184	Insects' contribution to the bioeconomy and the reduction of food waste	32420496
PMC7290477	2020	41750	DNA Metabarcoding as a Tool for Disentangling Food Webs in Agroecosystems	32403224
PMC7225344	2020	29767	The Draft Genome Dataset of the Asian Cricket Teleogryllus occipitalis for Molecular Research Toward Entomophagy	32457806
PMC7290520	2020	35257	Fermented Edible Insects for Promoting Food Security in Africa	32380684
PMC7278588	2020	56520	Effects of Traditional Processing Techniques on the Nutritional and Microbiological Quality of Four Edible Insect Species Used for Food and Feed in East Africa	32375385
PMC7278785	2020	46541	Impact of Acorn Flour on Gluten-Free Dough Rheology Properties	32370220
PMC7190868	2020	56655	Role of the Insect Neuroendocrine System in the Response to Cold Stress	32390871
PMC7211883	2020	61139	Diet composition and social environment determine food consumption, phenotype and fecundity in an omnivorous insect	32431901
PMC7232307	2020	55436	Defensive Venoms: Is Pain Sufficient for Predator Deterrence?	32316477
PMC7179676	2020	73133	Evolution of Neuropeptide Precursors in Polyneoptera (Insecta)	32373067
PMC7230875	2020	107092	Comprehensive History of CSP Genes: Evolution, Phylogenetic Distribution and Functions	32290210
PMC7145797	2020	42623	Mineral analysis reveals extreme manganese concentrations in wild harvested and commercially available edible termites	32273555
PMC7317576	2020	80097	The evolution of autotomy in leaf-footed bugs	32267543
PMC7177372	2020	51448	Consumers' Attitudes Facing Entomophagy: Polish Case Perspectives	32252454
PMC7136006	2020	70827	Effect of Diet on the Growth Performance, Feed Conversion, and Nutrient Content of the House Cricket	32219448
PMC7098602	2020	54339	Pre-adult aggression and its long-term behavioural consequences in crickets	32214350
PMC7142791	2020	52635	A Chemically Safe Way to Produce Insect Biomass for Possible Application in Feed and Food Production	32209995
PMC7303822	2020	62346	Risk exposure trade-offs in the ontogeny of sexual segregation in Antarctic fur seal pups	32595270
PMC7102401	2020	79517	Cricket (Gryllodes sigillatus) meal fed to healthy adult dogs does not affect general health and minimally impacts apparent total tract digestibility	32179914
PMC7054102	2020	82561	A Highly Prevalent and Pervasive Densovirus Discovered among Sea Stars from the North American Atlantic Coast	31924612
PMC7044300	2020	58301	Transcriptome analysis of life stages of the house cricket, Acheta domesticus, to improve insect crop production	32103047
PMC7052440	2020	78391	Cortical oxygenation during exposure therapy _ in situ fNIRS measurements in arachnophobia	32135488
PMC7018041	2020	26271	The role of fasting on spine regeneration and bacteremia in the purple sea urchin Strongylocentrotus purpuratus	32053660
PMC7070271	2020	44725	Morphological Correlates of Personality in Female Asian Particolored Bats (Vespertilio sinensis)	32059520
PMC7020814	2020	37355	DNA barcoding reveals incorrect labelling of insects sold as food in the UK	32095344
PMC7128009	2020	34254	The forkhead box containing transcription factor FoxB is a potential component of dorsal-ventral body axis formation in the spider Parasteatoda tepidariorum	32034484
PMC7074268	2020	23365	Growth Performance and Nutrient Composition of Mealworms (Tenebrio Molitor) Fed on Fresh Plant Materials-Supplemented Diets	32033344
PMC7127998	2020	29949	Nephila edulis-breeding and care under laboratory conditions	32006088
PMC6992175	2020	48227	The gut bacterial communities across six grasshopper species from a coastal tallgrass prairie	31999781
PMC7071289	2020	46395	Biological Role of Unsaturated Fatty Acid Desaturases in Health and Disease	32013225
PMC6980616	2020	199422	Self-selection of food ingredients and agricultural by-products by the house cricket, Acheta domesticus (Orthoptera: Gryllidae): A holistic approach to develop optimized diets	31978186
PMC6979410	2020	143104	Pseudolebinthus lunipterus sp. nov.: a striking deaf and mute new cricket from Malawi (Orthoptera, Gryllidae, Eneopterinae)	31998551
PMC6971186	2020	77523	Temporal Profile of Brain Gene Expression After Prey Catching Conditioning in an Anuran Amphibian	31992968
PMC6957287	2019	173508	Occurrence of Selected Organic Contaminants in Edible Insects and Assessment of Their Chemical Safety	31891522
PMC7022800	2019	41756	Changes in Energy Reserves and Gene Expression Elicited by Freezing and Supercooling in the Antarctic Midge, Belgica antarctica	31878219
PMC6930878	2019	83983	Intraluminal Farnesol and Farnesal in the Mealworm's Alimentary Canal: An Unusual Storage Site Uncovering Hidden Eukaryote Ca2+-Homeostasis-Dependent "Golgicrine" Activities	31920991
PMC6920063	2019	65643	Nutritional Characteristics of Selected Insects in Uganda for Use as Alternative Protein Sources in Food and Feed	31853552
PMC6906999	2019	21249	Laboratory Evaluation of Egg White and Milk External Biomarkers for Wasmannia auropunctata (Hymenoptera: Formicidae)	31830274
PMC6977414	2019	41659	Glucose-lowering effect of Gryllus bimaculatus powder on streptozotocin-induced diabetes through the AKT/mTOR pathway	31993166
PMC7319472	2020	55066	Morphological determinants of jumping performance in the Iberian green frog	32617090
