pmcid	year	count	title	pubmedid
PMC7291294	2020	53708	Pesticide_Virus Interactions in Honey Bees: Challenges and Opportunities for Understanding Drivers of Bee Declines	32455815
PMC7186362	2020	165034	Microbial Degradation and Valorization of Plastic Wastes	32373075
PMC7246199	2020	71338	Self-organizing cicada choruses respond to the local sound and light environment	32489611
PMC7031503	2020	36042	The detection of honey bee (Apis mellifera)-associated viruses in ants	32076028
PMC6965105	2020	34752	The influence of predation risk on mate signaling and mate choice in the lesser waxmoth Achroia grisella	31949273
PMC6903733	2019	64832	Hermetia illucens in diets for zebrafish (Danio rerio): A study of bacterial diversity by using PCR-DGGE and metagenomic sequencing	31821372
PMC6839514	2019	137285	Endless forms of sexual selection	31720113
PMC7234108	2020	44543	Sperm allocation strategies in a sperm heteromorphic insect	32440289
PMC6719058	2019	64905	Fabrics and Garments as Sensors: A Research Update	31443332
PMC6703692	2019	80243	Prolonged mosquitocidal activity of Siparuna guianensis essential oil encapsulated in chitosan nanoparticles	31398198
PMC6643890	2019	112484	Quantitative Genetic Mapping and Genome Assembly in the Lesser Wax Moth Achroia grisella	31101652
PMC6523304	2019	27239	Potential of Insect Meals as Protein Sources for Meat-Type Ducks Based on In Vitro Digestibility	30970570
PMC6358109	2019	206677	Protein fortification with mealworm (Tenebrio molitor L.) powder: Effect on textural, microbiological, nutritional and sensory features of bread	30707742
PMC6339236	2019	26347	Artificial Domicile Use by Bumble Bees (Bombus; Hymenoptera: Apidae) in Ontario, Canada	30657955
PMC6315781	2018	75057	Field and Laboratory Studies on the Ecology, Reproduction, and Adult Diapause of the Asian Comma Butterfly, Polygonia c-aureum L. (Lepidoptera: Nymphalidae)	30469492
PMC6662013	2018	24332	First Report of Entomopathogenic Nematode Steinernema Feltiae (Rhabditida: Steinernematidae) from Croatia	31662655
PMC5940754	2018	58498	Essential oil of Siparuna guianensis as an alternative tool for improved lepidopteran control and resistance management practices	29740112
PMC5492075	2017	61461	The Biology and Control of the Greater Wax Moth, Galleria mellonella	28598383
PMC5433979	2017	59350	Phenotypic plasticity in female mate choice behavior is mediated by an interaction of direct and indirect genetic effects in Drosophila melanogaster	28515889
PMC5433977	2017	55172	Sex-specific repeatabilities and effects of relatedness and mating status on copulation duration in an acridid grasshopper	28515877
PMC5345342	2017	602538	A literature-based review of Hymenoptera<named-content content-type="above-genus">Parasitica and <named-content content-type="superfamily">Chrysidoidea from Reunion Island	28331391
PMC5278430	2016	47513	The anti-bat strategy of ultrasound absorption: the wings of nocturnal moths (Bombycoidea: Saturniidae) absorb more ultrasound than the wings of diurnal moths (Chalcosiinae: Zygaenoidea: Zygaenidae)	27913454
PMC4885851	2016	73473	Rhythm Generation and Rhythm Perception in Insects: The Evolution of Synchronous Choruses	27303257
PMC5804251	2016	43355	Exaggerated male pheromones in rats may increase predation cost	29491932
PMC4726463	2016	75378	Development of a Genomic Resource and Quantitative Trait Loci Mapping of Male Calling Traits in the Lesser Wax Moth, Achroia grisella	26807910
PMC4669914	2015	1624539	Annotated check list of the <named-content content-type="superfamily">Pyraloidea (Lepidoptera) of America North of Mexico	26668552
PMC4382113	2015	49537	Fighting while Parasitized: Can Nematode Infections Affect the Outcome of Staged Combat in Beetles?	25830367
PMC4375972	2015	40448	Long live the wasp: adult longevity in captive colonies of the eusocial paper wasp Polistes canadensis (L.)	25825677
PMC4282874	2014	51648	Directional hearing: from biophysical binaural cues to directional hearing outdoors	25231204
PMC4060022	2014	62276	How male sound pressure level influences phonotaxis in virgin female Jamaican field crickets (Gryllus assimilis)	24949249
PMC3981827	2014	56053	Variation in Butterfly Larval Acoustics as a Strategy to Infiltrate and Exploit Host Ant Colony Resources	24718496
PMC3950464	2014	1844123	Review of Apantelessensu stricto (Hymenoptera, Braconidae, Microgastrinae) from Area de Conservaci&#xF3;n Guanacaste, northwestern Costa Rica, with keys to all described species from Mesoamerica	24624021
PMC3869053	2013	94656	A Causal Analysis of Observed Declines in Managed Honey Bees (Apis mellifera)	24363549
PMC3692475	2013	75041	Genotype-by-Environment Interactions for Female Mate Choice of Male Cuticular Hydrocarbons in Drosophila simulans	23825675
PMC3687589	2013	36782	Evolution of deceptive and true courtship songs in moths	23788180
PMC3605841	2013	31004	Differential sperm expenditure reveals a possible role for post-copulatory sexual selection in a lekking moth	23531777
PMC3498105	2012	43969	Evidence for Genetic Variation in Human Mate Preferences for Sexually Dimorphic Physical Traits	23166631
PMC3434148	2012	117920	Genetic Architecture of Sexual Selection: QTL Mapping of Male Song and Female Receiver Traits in an Acoustic Moth	22957082
PMC3392257	2012	66600	Sexual Signaling and Immune Function in the Black Field Cricket Teleogryllus commodus	22808047
PMC3204978	2011	49894	Male Moth Songs Tempt Females to Accept Mating: The Role of Acoustic and Pheromonal Communication in the Reproductive Behaviour of Aphomia sociella	22065997
PMC3024404	2011	66405	Male Responses to Conspecific Advertisement Signals in the Field Cricket Gryllus rubens (Orthoptera: Gryllidae)	21283758
PMC2973971	2010	58354	Breeding Experience and the Heritability of Female Mate Choice in Collared Flycatchers	21079813
PMC2949388	2010	69847	Variation in Courtship Ultrasounds of Three Ostrinia Moths with Different Sex Pheromones	20957230
PMC2871178	2010	59795	HERITABILITY OF AND EARLY ENVIRONMENT EFFECTS ON VARIATION IN MATING PREFERENCES	19895552
PMC1475097	1976	1695	Utilization of pheromones in the population management of moth pests.	789060
