pmcid	year	count	title	pubmedid
PMC7491730	2020	109046	Go big or go home: A model-based assessment of general strategies to slow the spread of forest pests via infested firewood	
PMC7448986	2020	42430	Genomic content of chemosensory receptors in two sister blister beetles facilitates characterization of chemosensory evolution	32842954
PMC7433766	2020	75230	Gut Bacteria in the Holometabola: A Review of Obligate and Facultative Symbionts	32809024
PMC7469214	2020	30142	Current Distribution and Diagnostic Features of Two Potentially Invasive Asian Buprestid Species: Agrilus mali Matsumura and A. fleischeri Obenberger (Coleoptera: Buprestidae)	32748837
PMC7387575	2020	88937	Identification and Expression Profile of Olfactory Receptor Genes Based on Apriona germari (Hope) Antennal Transcriptome	32792974
PMC7374819	2020	58482	Quantifying flight aptitude variation in wild Anopheles gambiae in order to identify long-distance migrants	32698842
PMC7376240	2020	35824	Illuminating nature's beauty: modular, scalable and low-cost LED dome illumination system using 3D-printing technology	32699273
PMC7411747	2020	21673	Oral Ingestion of Bacterially Expressed dsRNA Can Silence Genes and Cause Mortality in a Highly Invasive, Tree-Killing Pest, the Emerald Ash Borer	32674291
PMC7412047	2020	52314	Evaluation of the Physiological Host Range for the Parasitoid Ooencyrtus mirus, a Potential Biocontrol Agent of Bagrada hilaris	32664427
PMC7466995	2020	98171	Measuring Genome Sizes Using Read-Depth, k-mers, and Flow Cytometry: Methodological Comparisons in Beetles (Coleoptera)	32601059
PMC7434799	2020	59831	Examining Land Use Changes to Evaluate the Effects of Land Management in a Complex, Dynamic Landscape	32572514
PMC7348839	2020	48147	Bacterial Communities Associated with the Pine Wilt Disease Insect Vector Monochamus alternatus (Coleoptera: Cerambycidae) during the Larvae and Pupae Stages	32560536
PMC7292639	2020	93917	An ancient push-pull pollination mechanism in cycads	32582845
PMC7349367	2020	24029	Reference Gene Selection for Expression Analyses by qRT-PCR in Dendroctonus valens	32471281
PMC7261851	2020	61244	Sp&#xE4;tzle Homolog-Mediated Toll-Like Pathway Regulates Innate Immune Responses to Maintain the Homeostasis of Gut Microbiota in the Red Palm Weevil, Rhynchophorus ferrugineus Olivier (Coleoptera: Dryophthoridae)	32523559
PMC7243368	2020	92797	Vitellogenin Receptor (VgR) Mediates Oocyte Maturation and Ovarian Development in the Pacific White Shrimp (Litopenaeus vannamei)	32499719
PMC7290593	2020	38216	New Approaches in Urban Forestry to Minimize Invasive Species Impacts: The Case of Xiongan New Area in China	32408656
PMC7290403	2020	41866	Lysine Acetyltransferase p300/CBP Plays an Important Role in Reproduction, Embryogenesis and Longevity of the Pea Aphid Acyrthosiphon pisum	32357443
PMC7240399	2020	24133	Minimum Winter Temperature as a Limiting Factor of the Potential Spread of Agrilus planipennis, an Alien Pest of Ash Trees, in Europe	32340254
PMC7240383	2020	42348	Within-Tree Distribution and Survival of the Eucalyptus Longhorned Borer Phoracantha semipunctata (Coleoptera: Cerambycidae) in a Mediterranean-Type Ecosystem	32260437
PMC7112212	2020	182069	An initial industrial flora: A framework for botanical research in cooperation with industry for biodiversity conservation	32236107
PMC7090069	2020	38598	Physical assessments of termites (Termitidae) under 2.45&#x2009;GHz microwave irradiation	32251346
PMC7071784	2020	70345	Interaction Between Beauveria bassiana (Hypocreales: Cordycipitaceae) and Coptera haywardi (Hymenoptera: Diapriidae) for the Management of Anastrepha obliqua (Diptera: Tephritidae)	32186740
PMC7143028	2020	28571	The Effects of Weather on the Flight of an Invasive Bark Beetle, Pityophthorus juglandis	32121509
PMC7025704	2020	70227	Characterization of a Mn-SOD from the desert beetle Microdera punctipennis and its increased resistance to cold stress in E. coli cells	32095349
PMC7005593	2020	50596	Clip-Domain Serine Protease Gene (LsCLIP3) Is Essential for Larval_Pupal Molting and Immunity in Lasioderma serricorne	32082184
PMC7022933	2020	43289	Survival and Recovery of the Pine-Tree Lappet Dendrolimus pini When Subjected to Simulated Starvation	31968638
PMC7022453	2020	40349	Proximate Drivers of Migration and Dispersal in Wing-Monomorphic Insects	31963745
PMC7227111	2020	98235	Release of coarse woody detritus-related carbon: a synthesis across forest biomes	31940113
PMC7008830	2020	486182	Pest categorisation of Saperda tridentata	32626494
PMC6941620	2020	46089	Flight Performance of Mamestra brassicae (Lepidoptera: Noctuidae) Under Different Biotic and Abiotic Conditions	31899494
PMC6935596	2019	48248	Forest genomics: Advancing climate adaptation, forest health, productivity, and conservation	31892941
PMC6933007	2019	68925	Sex-Biased CHHs and Their Putative Receptor Regulate the Expression of IAG Gene in the Shrimp Litopenaeus vannamei	31920723
PMC6947639	2019	35421	Complete Mitogenome of a Leaf-Mining Buprestid Beetle, Trachys auricollis, and Its Phylogenetic Implications	31805706
PMC6882897	2019	64257	Spatial and temporal patterns of a pulsed resource dynamically drive the distribution of specialist herbivores	31780724
PMC6881334	2019	80868	Evaluation of reference genes for gene expression analysis by real-time quantitative PCR (qPCR) in three stingless bee species (Hymenoptera: Apidae: Meliponini)	31776359
PMC6955739	2019	27674	Seasonal Assessment of Supercooling Points for Two Introduced and One Native Laricobius spp. (Coleoptera: Derodontidae), Predators of Adelgidae	31779092
PMC6955681	2019	22409	Bacteria-Mediated RNA Interference for Management of Plagiodera versicolora (Coleoptera: Chrysomelidae)	31766384
PMC6900523	2019	52145	The evolution and genomic basis of beetle diversity	31740605
PMC6921043	2019	36135	Knockdown of beta-N-acetylglucosaminidase 2 Impairs Molting and Wing Development in Lasioderma serricorne (Fabricius)	31717288
PMC6825165	2019	61478	Identification of candidate ATP-binding cassette transporter gene family members in Diaphorina citri (Hemiptera: Psyllidae) via adult tissues transcriptome analysis	31676883
