pmcid	year	count	title	pubmedid
PMC7497999	2020	89998	Lyme disease and relapsing fever in Mexico: An overview of human and wildlife infections	
PMC7490856	2020	12566	Association between lone star tick bites and increased alpha-gal sensitization: evidence from a prospective cohort of outdoor workers	
PMC7502793	2020	45946	Rickettsia parkeri strain Atlantic rainforest in ticks (Acari: Ixodidae) of wild birds in Arauca, Orinoquia region of Colombia	
PMC7469740	2020	114719	Vector-borne diseases in pregnancy	32944240
PMC7488213	2020	72344	Antibody Responses Against Anopheles darlingi Immunogenic Peptides in Plasmodium Infected Humans	
PMC7458302	2020	67876	Pathogens, endosymbionts, and blood-meal sources of host-seeking ticks in the fast-changing Maasai Mara wildlife ecosystem	32866142
PMC7455992	2020	34713	Coxiella burnetii is widespread in ticks (Ixodidae) in the Xinjiang areas of China	32859190
PMC7442544	2020	27946	Characterization of Neoschoengastia gallinarum from subtropical China by rDNA and identification of two genotypes based on mitochondrial cox1	32827102
PMC7500731	2020	15565	Intraoperative Anaphylaxis in Response to Hemostatic Agents With Protein Derivatives	32963920
PMC7429415	2020	42039	Common Sources of Inflammation and Their Impact on Hematopoietic Stem Cell Biology	32837857
PMC7427037	2020	18553	Ehrlichiosis-Induced Atrial Flutter: An Unusual Cause of Atrial Flutter	32787462
PMC7416948	2020	40641	Assessing the current and future potential geographic distribution of the American dog tick, Dermacentor variabilis (Say) (Acari: Ixodidae) in North America	32776959
PMC7437470	2020	112502	Fasciola hepatica serine protease inhibitor family (serpins): Purposely crafted for regulating host proteases	32760059
PMC7469143	2020	34127	Chemosensory and Behavioural Responses of Ixodes scapularis to Natural Products: Role of Chemosensory Organs in Volatile Detection	32759735
PMC7425989	2020	85368	Circumpolar diversification of the Ixodes uriae tick virome	32745135
PMC7392405	2020	50336	Presence of Segmented Flavivirus Infections in North America	32687041
PMC7392462	2020	7431	Heartland Virus in Lone Star Ticks, Alabama, USA	32687045
PMC7469192	2020	52108	Plant-Derived Natural Compounds for Tick Pest Control in Livestock and Wildlife: Pragmatism or Utopia?	32752256
PMC7393499	2020	151926	A transcriptome and proteome of the tick Rhipicephalus microplus shaped by the genetic composition of its hosts and developmental stage	32732984
PMC7387794	2020	58032	An Entry-Triggering Protein of Ehrlichia Is a New Vaccine Candidate against Tick-Borne Human Monocytic Ehrlichiosis	32723916
PMC7431440	2020	35918	Hepatozoon canis in hunting dogs from Southern Italy: distribution and risk factors	32725320
PMC7459505	2020	69141	Ticks and Tick-Borne Diseases in Cuba, Half a Century of Scientific Research	32731487
PMC7432026	2020	46185	A Mini-Review of Ixodes Ticks Climate Sensitive Infection Dispersion Risk in the Nordic Region	32726948
PMC7396615	2020	97581	TickSialoFam (TSFam): A Database That Helps to Classify Tick Salivary Proteins, a Review on Tick Salivary Protein Function and Evolution, With Considerations on the Tick Sialome Switching Phenomenon	32850476
PMC7379800	2020	11178	Characterization of a Monanema nematode in Ixodes scapularis	32709241
PMC7391170	2020	37241	The Interactions of Parasite Calreticulin With Initial Complement Components: Consequences in Immunity and Virulence	32793217
PMC7387652	2020	66035	Nairobi Sheep Disease Virus: A Historical and Epidemiological Perspective	32793646
PMC7496946	2020	84422	Active surveillance of pathogens from ticks collected in New York State suburban parks and schoolyards	
PMC7368706	2020	47259	Assessing human exposure to spotted fever and typhus group rickettsiae in Ontario, Canada (2013_2018): a retrospective, cross-sectional study	32682398
PMC7379154	2020	59909	B Cell Responses in the Development of Mammalian Meat Allergy	32765532
PMC7366483	2020	26565	First report of Cytauxzoon sp. infection in Germany: organism description and molecular confirmation in a domestic cat	32677003
PMC7378379	2020	112678	Discovery of Exosomes From Tick Saliva and Salivary Glands Reveals Therapeutic Roles for CXCL12 and IL-8 in Wound Healing at the Tick_Human Skin Interface	32766239
PMC7399889	2020	39351	Mapping the Potential Distribution of Major Tick Species in China	32708816
PMC7400589	2020	76911	Biotic Factors Influence Microbiota of Nymph Ticks from Vegetation in Sydney, Australia	32668699
PMC7452663	2020	11200	Alpha-gal antibody due to Lone Star tick bite, a unique case of allergic reaction	32904381
PMC7350919	2020	91771	Integrating population genetic structure, microbiome, and pathogens presence data in Dermacentor variabilis	32704442
PMC7411770	2020	17739	RNAi in Insects: A Revolution in Fundamental Research and Pest Control Applications	32635402
PMC7412230	2020	27650	Two New Putative Plant Viruses from Wood Metagenomics Analysis of an Esca Diseased Vineyard	32635154
PMC7323525	2020	33262	Heartland Virus in Humans and Ticks, Illinois, USA,2018_2019	32568061
PMC7409115	2020	49390	Isolation and Propagation of Laboratory Strains and a Novel Flea-Derived Field Strain of Wolbachia in Tick Cell Lines	32630209
PMC7329104	2020	51233	Assessment of bacterial diversity of Rhipicephalus microplus ticks from two livestock agroecosystems in Antioquia, Colombia	32609768
PMC7409031	2020	38215	Analysis of Tick Surface Decontamination Methods	32630152
PMC7349574	2020	31206	How Crucial is the Functional Pit Organ for the Varroa Mite?	32604887
PMC7371651	2020	56732	Attraction of Chrysotropia ciliata (Neuroptera, Chrysopidae) Males to P-Anisaldehyde, a Compound with Presumed Pheromone Function	32588285
PMC7338900	2020	12015	Molecular Detection of Toxoplasma Gondii in Haemaphysalis Ticks in Korea	32615747
