pmcid	year	count	title	pubmedid
PMC7490856	2020	12566	Association between lone star tick bites and increased alpha-gal sensitization: evidence from a prospective cohort of outdoor workers	
PMC7502793	2020	45946	Rickettsia parkeri strain Atlantic rainforest in ticks (Acari: Ixodidae) of wild birds in Arauca, Orinoquia region of Colombia	
PMC7487717	2020	76902	Leishmania infection induces a limited differential gene expression in the sand fly midgut	32887545
PMC7458302	2020	67876	Pathogens, endosymbionts, and blood-meal sources of host-seeking ticks in the fast-changing Maasai Mara wildlife ecosystem	32866142
PMC7430840	2020	87866	Transcriptional variation of sensory-related genes in natural populations of Aedes albopictus	32767966
PMC7469143	2020	34127	Chemosensory and Behavioural Responses of Ixodes scapularis to Natural Products: Role of Chemosensory Organs in Volatile Detection	32759735
PMC7459594	2020	38614	Rickettsia africae an Agent of African Tick Bite Fever in Ticks Collected from Domestic Animals in Eastern Cape, South Africa	32748891
PMC7393499	2020	151926	A transcriptome and proteome of the tick Rhipicephalus microplus shaped by the genetic composition of its hosts and developmental stage	32732984
PMC7396615	2020	97581	TickSialoFam (TSFam): A Database That Helps to Classify Tick Salivary Proteins, a Review on Tick Salivary Protein Function and Evolution, With Considerations on the Tick Sialome Switching Phenomenon	32850476
PMC7368706	2020	47259	Assessing human exposure to spotted fever and typhus group rickettsiae in Ontario, Canada (2013_2018): a retrospective, cross-sectional study	32682398
PMC7378379	2020	112678	Discovery of Exosomes From Tick Saliva and Salivary Glands Reveals Therapeutic Roles for CXCL12 and IL-8 in Wound Healing at the Tick_Human Skin Interface	32766239
PMC7350919	2020	91771	Integrating population genetic structure, microbiome, and pathogens presence data in Dermacentor variabilis	32704442
PMC7329104	2020	51233	Assessment of bacterial diversity of Rhipicephalus microplus ticks from two livestock agroecosystems in Antioquia, Colombia	32609768
PMC7284302	2020	18948	Identification and validation of internal reference genes for real-time quantitative polymerase chain reaction-based studies in Hyalomma anatolicum ticks	32222359
PMC7327063	2020	47288	A novel Borrelia species, intermediate between Lyme disease and relapsing fever groups, in neotropical passerine-associated ticks	32606328
PMC7366568	2020	32461	Morphological and molecular identification of ixodid tick species (Acari: Ixodidae) infesting cattle in Uganda	32533261
PMC7325911	2020	62145	Tick-Borne Flavivirus Inhibits Sphingomyelinase (IsSMase), a Venomous Spider Ortholog to Increase Sphingomyelin Lipid Levels for Its Survival in Ixodes scapularis Ticks	32656091
PMC7325928	2020	40521	Taxon Appearance From Extraction and Amplification Steps Demonstrates the Value of Multiple Controls in Tick Microbiota Analysis	32655509
