pmcid	year	count	title	pubmedid
PMC7465331	2020	73016	A participatory surveillance of marsh deer (Blastocerus dichotomus) morbidity and mortality in Argentina: first results	32873288
PMC7458302	2020	67876	Pathogens, endosymbionts, and blood-meal sources of host-seeking ticks in the fast-changing Maasai Mara wildlife ecosystem	32866142
PMC7453536	2020	55423	Molecular evidence confirms occurrence of Rhipicephalus microplus Clade A in Kenya and sub-Saharan Africa	32854747
PMC7474386	2020	49651	Comparison of Tick Control and Antibiotic Use Practices at Farm Level in Regions of High and Low Acaricide Resistance in Uganda	32908661
PMC7445909	2020	76042	Prevalence and molecular characterization of ticks and tick-borne pathogens of one-humped camels (Camelus dromedarius) in Nigeria	32838795
PMC7469143	2020	34127	Chemosensory and Behavioural Responses of Ixodes scapularis to Natural Products: Role of Chemosensory Organs in Volatile Detection	32759735
PMC7459594	2020	38614	Rickettsia africae an Agent of African Tick Bite Fever in Ticks Collected from Domestic Animals in Eastern Cape, South Africa	32748891
PMC7469192	2020	52108	Plant-Derived Natural Compounds for Tick Pest Control in Livestock and Wildlife: Pragmatism or Utopia?	32752256
PMC7393499	2020	151926	A transcriptome and proteome of the tick Rhipicephalus microplus shaped by the genetic composition of its hosts and developmental stage	32732984
PMC7459505	2020	69141	Ticks and Tick-Borne Diseases in Cuba, Half a Century of Scientific Research	32731487
PMC7396615	2020	97581	TickSialoFam (TSFam): A Database That Helps to Classify Tick Salivary Proteins, a Review on Tick Salivary Protein Function and Evolution, With Considerations on the Tick Sialome Switching Phenomenon	32850476
PMC7387652	2020	66035	Nairobi Sheep Disease Virus: A Historical and Epidemiological Perspective	32793646
PMC7378379	2020	112678	Discovery of Exosomes From Tick Saliva and Salivary Glands Reveals Therapeutic Roles for CXCL12 and IL-8 in Wound Healing at the Tick_Human Skin Interface	32766239
PMC7431391	2020	38638	Molecular detection of Theileria species and Babesia caballi from horses in Nigeria	32647992
PMC7347598	2020	39919	IDEAL, the Infectious Diseases of East African Livestock project open access database and biobank	32647128
PMC7343924	2020	44056	Genetic diversity of Ehrlichia ruminantium field strains from selected farms in South Africa	32633993
PMC7343930	2020	45588	In vitro propagation and genome sequencing of three 'atypical' Ehrlichia ruminantium isolates	32633992
PMC7309992	2020	54844	Whole genome characterization of autochthonous Bos taurus brachyceros and introduced Bos indicus indicus cattle breeds in Cameroon regarding their adaptive phenotypic traits and pathogen resistance	32571206
PMC7306492	2020	23071	Genetic diversity of the ATAQ gene in Rhipicephalus microplus collected in Mexico and implications as anti-tick vaccine	32572573
PMC7350222	2020	43070	Vaccination with Recombinant Subolesin Antigens Provides Cross-Tick Species Protection in Bos indicus and Crossbred Cattle in Uganda	32570925
PMC7355616	2020	37407	Interrupted Blood Feeding in Ticks: Causes and Consequences	32560202
PMC7366568	2020	32461	Morphological and molecular identification of ixodid tick species (Acari: Ixodidae) infesting cattle in Uganda	32533261
PMC7297041	2020	94981	Understanding Tick Biology and Its Implications in Anti-tick and Transmission Blocking Vaccines Against Tick-Borne Pathogens	32582785
PMC7308261	2020	14492	The Rhipicephalus appendiculatus tick vector of Theileria parva is absent from cape buffalo (Syncerus caffer) populations and associated ecosystems in northern Uganda	32500369
PMC7262526	2020	96808	Emerging and re-emerging bacterial zoonoses in Nigeria: current preventive measures and future approaches to intervention	32510001
PMC7249857	2020	45814	Porin Expression Profiles in Haemaphysalis longicornis Infected With Babesia microti	32508681
PMC7203055	2020	44870	Zoonotic Parasites of Reptiles: A Crawling Threat	32448703
PMC7214809	2020	57813	Seroprevalence of Selected Tick Borne Pathogens and Diversity and Abundance of Ixodid Ticks (Acari: Ixodidae) at the Wildlife-Livestock Interface in Northern Botswana	32432129
PMC7191760	2020	60824	Molecular detection of tick-borne pathogens in caracals (Caracal caracal) living in human-modified landscapes of South Africa	32354342
PMC7281138	2020	40573	Tripartite Interactions among Ixodiphagus hookeri, Ixodes ricinus and Deer: Differential Interference with Transmission Cycles of Tick-Borne Pathogens	32365910
PMC7284340	2020	19726	Detection of Two Species of the Genus Parapoxvirus (Bovine Papular Stomatitis Virus and Pseudocowpox Virus) in Ticks Infesting Cattle in Burkina Faso	32354102
PMC7171862	2020	57595	Amblyomma hebraeum is the predominant tick species on goats in the Mnisi Community Area of Mpumalanga Province South Africa and is co-infected with Ehrlichia ruminantium and Rickettsia africae	32312285
PMC7217990	2020	36485	Prevalence of ticks (Acari: Ixodidae) and Theileria annulata infection of cattle in Gezira State, Sudan	32420464
PMC7168824	2020	14296	Molecular diagnosis of autochthonous human anaplasmosis in Austria _ an infectious diseases case report	32306908
PMC7238268	2020	30826	Characterization of an MLP Homologue from Haemaphysalis longicornis (Acari: Ixodidae) Ticks	32295244
PMC7179698	2020	87762	Ticks and Associated Pathogens From Rescued Wild Animals in Rainforest Fragments of Northeastern Brazil	32373635
PMC7138852	2020	45841	Liquid water intake of the lone star tick, Amblyomma americanum: Implications for tick survival and management	32265527
PMC7345074	2020	29404	Molecular Detection of Rickettsia spp. and Coxiella burnetii in Cattle, Water Buffalo, and Rhipicephalus (Boophilus) microplus Ticks in Luzon Island of the Philippines	32260468
PMC7118885	2020	25717	Invasive cattle ticks in East Africa: morphological and molecular confirmation of the presence of Rhipicephalus microplus in south-eastern Uganda	32245511
PMC7238049	2020	16537	Human Spotted Fever Group Rickettsia Infecting Yaks (Bos grunniens) in the Qinghai-Tibetan Plateau Area	32231020
PMC7177830	2020	17592	Epidemiological Study of Thogoto and Dhori Virus Infection in People Bitten by Ticks, and in Sheep, in an Area of Northern Spain	32230796
PMC7087050	2020	18169	Probable African Tick Bite Fever in the United States	32226336
PMC7102485	2020	42072	Epidemiological Distribution of Major Ectoparasites Species of Small Ruminant in the Case of Chemical Control Campaign in Welkait District, Tigray Region, Ethiopia	32256613
PMC7216920	2020	79911	First detection of Theileria parva in cattle from Cameroon in the absence of the main tick vector Rhipicephalus appendiculatus	32174039
PMC7067832	2020	69411	Electrophysiologically and behaviourally active semiochemicals identified from bed bug refuge substrate	32165700
PMC7076983	2020	70843	Ovary Proteome Analysis Reveals RH36 Regulates Reproduction via Vitellin Uptake Mediated by HSP70 Protein in Hard Ticks	32211346
PMC7069642	2020	68670	Responses of the putative trachoma vector, Musca sorbens, to volatile semiochemicals from human faeces	32126087
PMC7157729	2020	62363	Upscaling the Surveillance of Tick-Borne Pathogens in the French Caribbean Islands	32121571
PMC7034835	2020	118166	Urinary volatilome analysis in a mouse model of anxiety and depression	32084196
PMC7049414	2020	34001	In Vitro Acaricidal Activity of Selected Medicinal Plants Traditionally Used against Ticks in Eastern Ethiopia	32148933
PMC7029603	2020	58585	Identification of proteins from the secretory/excretory products (SEPs) of the branchiuran ectoparasite Argulus foliaceus (Linnaeus, 1758) reveals unique secreted proteins amongst haematophagous ecdysozoa	32070416
PMC7023696	2020	45661	Uptake and fecal excretion of Coxiella burnetii by Ixodes ricinus and Dermacentor marginatus ticks	32059686
PMC7077237	2020	52988	RNA Viruses of Amblyomma variegatum and Rhipicephalus microplus and Cattle Susceptibility in the French Antilles	31991915
PMC6985549	2020	97967	Gene Expression in the Salivary Gland of Rhipicephalus (Boophilus) microplus Fed on Tick-Susceptible and Tick-Resistant Hosts	32039052
PMC7020109	2020	43555	Prevalence, distribution on host's body, and chemical control of camel ticks Hyalomma dromedarii in the United Arab Emirates	32158160
PMC6961398	2020	48165	Comparative vector competence of North American Lyme disease vectors	31937369
PMC7157712	2020	40899	Alpha-Gal and Cross-Reactive Carbohydrate Determinants in the N-Glycans of Salivary Glands in the Lone Star Tick, Amblyomma americanum	31936588
PMC6936817	2019	239361	Zoonotic Babesia: A scoping review of the global evidence	31887120
PMC6956140	2019	36394	Diversity of Rickettsia in Ticks Collected in Abruzzi and Molise Regions (Central Italy)	31847276
PMC6902388	2019	9896	No Bull: A Case of Alpha-Gal Syndrome Associated With Buffalo Meat Sensitivity	31840005
PMC7223495	2019	49172	An appraisal of oriental theileriosis and the Theileria orientalis complex, with an emphasis on diagnosis and genetic characterisation	31811422
PMC6955951	2019	43027	A Review of Interactions between Insect Biological Control Agents and Semiochemicals	31817457
