pmcid	year	count	title	pubmedid
PMC7374393	2020	86669	Modification of the existing maximum residue level for etofenprox in plums	32704315
PMC7109147	2020	551594	Commented checklist of European Gelechiidae (Lepidoptera)	32256151
PMC7197265	2020	1058577	Revision of the western Palaearctic species of Aleiodes Wesmael (Hymenoptera, Braconidae, <named-content content-type="subfamily">Rogadinae). Part 2: Revision of the A.apicalis group	32390739
PMC6835568	2019	55640	Sex Pheromone Aerosol Devices for Mating Disruption: Challenges for a Brighter Future	31547095
PMC7009229	2019	496314	Review of the existing maximum residue levels for emamectin according to Article 12 of Regulation (<styled-content style="fixed-case" toggle="no">EC) No 396/2005	32626413
PMC6628405	2019	70940	Integrated Pest Management (IPM) for Small-Scale Farms in Developed Economies: Challenges and Opportunities	31234382
PMC7009264	2019	109913	Modification of the existing maximum residue levels for emamectin in kiwi and peaches	32626333
PMC6359038	2019	26076	Combined Toxicity of Insecticides and Fungicides Applied to California Almond Orchards to Honey Bee Larvae and Adults	30626043
PMC6107112	2018	153245	Extract of Nicotiana tabacum as a potential control agent of Grapholita molesta (Lepidoptera: Tortricidae)	30138428
PMC6060087	2018	102924	An in vitro ULV olfactory bioassay method for testing the repellent activity of essential oils against moths	30050757
PMC7010035	2017	435894	Review of the existing maximum residue levels for etofenprox according to Article 12 of Regulation (<styled-content style="fixed-case" toggle="no">EC) No 396/2005	32625626
PMC5378441	2017	28372	A Model to Explain Temperature Dependent Systemic Infection of Potato Plants by Potato virus Y	28381967
PMC5240572	2017	35595	Ultrastructure of sensilla of antennae and ovipositor of Sitotroga cerealella (Lepidoptera: Gelechiidae), and location of female sex pheromone gland	28094781
PMC5057442	2016	83353	Folk knowledge of invertebrates in Central Europe - folk taxonomy, nomenclature, medicinal and other uses, folklore, and nature conservation	27729074
PMC5031778	2016	78678	Population Dynamics and Flight Phenology Model of Codling Moth Differ between Commercial and Abandoned Apple Orchard Ecosystems	27713702
PMC5101348	2016	66555	Pheromones and Other Semiochemicals for Monitoring Rare and Endangered Species	27624066
PMC4974811	2016	104756	Using multivariate cross correlations, Granger causality and graphical models to quantify spatiotemporal synchronization and causality between pest populations	27495149
PMC4715455	2016	129873	Unveiling the status of alien animals in the arid zone of Asia	26793423
PMC4552797	2015	81344	Do Insect Populations Die at Constant Rates as They Become Older? Contrasting Demographic Failure Kinetics with Respect to Temperature According to the Weibull Model	26317217
PMC4598656	2015	92591	Integrated Fruit Production and Pest Management in Europe: The Apple Case Study and How Far We Are From the Original Concept?	26463407
PMC4039469	2014	37748	Diapause Induction and Termination in Hyphantria cunea (Drury) (Lepidoptera: Arctiinae)	24878546
PMC4207529	2014	34372	Stochastic modeling of economic injury levels with respect to yearly trends in price commodity	25373206
PMC3828197	2013	33266	Quasi-Double-Blind Screening of Semiochemicals for Reducing Navel Orangeworm Oviposition on Almonds	24244643
PMC3821535	2013	120696	High Genetic Diversity and Structured Populations of the Oriental Fruit Moth in Its Range of Origin	24265692
PMC3783440	2013	140546	Bioclimatic Thresholds, Thermal Constants and Survival of Mealybug, Phenacoccus solenopsis (Hemiptera: Pseudococcidae) in Response to Constant Temperatures on Hibiscus	24086597
PMC3637152	2013	82222	Worldwide population genetic structure of the oriental fruit moth (Grapholita molesta), a globally invasive pest	23531126
PMC3575341	2013	48164	Optimal Low Temperature and Chilling Period for Both Summer and Winter Diapause Development in Pieris melete: Based on a Similar Mechanism	23441185
PMC3297191	2012	169258	Pheromone production, male abundance, body size, and the evolution of elaborate antennae in moths	22408739
PMC3383422	2010	94593	Checklist of Iranian Encyrtids (Hymenoptera: Chalcidoidea) with Descriptions of New Species	20672988
PMC3011849	2009	41561	Field and Laboratory Responses of Male Leaf Roller Moths, Choristoneura rosaceana and Pandemis pyrusana, to Pheromone Concentrations in an Attracticide Paste Formulation	19619030
