pmcid	year	count	title	pubmedid
PMC7438540	2020	173570	Fine-Root Traits Reveal Contrasting Ecological Strategies in European Beech and Norway Spruce During Extreme Drought	32903505
PMC7412047	2020	52314	Evaluation of the Physiological Host Range for the Parasitoid Ooencyrtus mirus, a Potential Biocontrol Agent of Bagrada hilaris	32664427
PMC7290786	2020	38922	Life History Evaluation of Ooencyrtus lucidus, a Newly Described Egg Parasitoid of Bagrada hilaris	32397448
PMC7197946	2020	20232	Parasitism of Adult Pentatomidae by Tachinidae in Soybean in the North Central Region of the United States	32365174
PMC7071726	2020	114056	Brown marmorated stink bug, Halyomorpha halys (St&#xE5;l), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest	32171258
PMC7136195	2020	69133	Comparing Prophylactic Versus Threshold-Based Insecticide Programs for Striped Cucumber Beetle (Coleoptera: Chrysomelidae) Management in Watermelon	31901943
PMC7020435	2019	54505	The Role of Plant-Associated Microbes in Mediating Host-Plant Selection by Insect Herbivores	31861487
PMC6835606	2019	36941	Use of Flowering Plants to Enhance Parasitism and Predation Rates on Two Squash Bug Species Anasa tristis and Anasa armigera (Hemiptera: Coreidae)	31557963
PMC6783928	2019	22946	Parasitism of the Invasive Brown Marmorated Stink Bug, Halyomorpha halys (Hemiptera: Pentatomidae), by the Native Parasitoid, Trichopoda pennipes (Diptera: Tachinidae)	31540095
PMC6696430	2019	35876	Silencing of the Chitin Synthase Gene Is Lethal to the Asian Citrus Psyllid, Diaphorina citri	31370145
PMC6449511	2019	55645	The assessment of cadmium, chromium, copper, and nickel tolerance and bioaccumulation by shrub plant Tetraena qataranse	30948781
PMC6411376	2019	71240	Honeydew-associated microbes elicit defense responses against brown planthopper in rice	30715410
PMC6429109	2019	137557	Natural Products Containing 'Rare' Organophosphorus Functional Groups	30823503
PMC6355952	2019	62883	Molecular cloning, expression, and functional analysis of the chitin synthase 1 gene and its two alternative splicing variants in the white-backed planthopper, Sogatella furcifera (Hemiptera: Delphacidae)	30705372
PMC6316212	2018	31065	Application of Trap Cropping as Companion Plants for the Management of Agricultural Pests: A Review	30257517
PMC6110343	2018	34530	Reproductive Costs for Hybridizing Female Anasa tristis (Hemiptera: Coreidae), but No Evidence of Selection Against Interspecific Mating	30165456
PMC5861406	2018	24976	Ovipositional Preferences of Two Squash Bug Species, Anasa tristis and Anasa armigera (Heteroptera: Coreidae), for Different Cultivars and Species of Cucurbitaceae	29718492
PMC5778769	2018	68936	Comparative genomics analysis of triatomines reveals common first line and inducible immunity-related genes and the absence of Imd canonical components among hemimetabolous arthropods	29357911
PMC5771010	2018	56089	Transcriptome profiling of whitefly guts in response to Tomato yellow leaf curl virus infection	29338737
PMC5719073	2017	60461	Comparative analysis of double-stranded RNA degradation and processing in insects	29213068
PMC5523724	2017	160109	The Coreidae of Honduras (Hemiptera: Coreidae)	28781567
PMC5126049	2016	194545	Annotation of the Asian Citrus Psyllid Genome Reveals a Reduced Innate Immune System	27965582
PMC5028029	2016	131996	Identification of Immunity-Related Genes in Dialeurodes citri against Entomopathogenic Fungus Lecanicillium attenuatum by RNA-Seq Analysis	27644092
PMC4720363	2016	88955	Insight into the Salivary Gland Transcriptome of Lygus lineolaris (Palisot de Beauvois)	26789269
PMC4553512	2013	107452	Functional Immunomics of the Squash Bug, Anasa tristis (De Geer) (Heteroptera: Coreidae)	26462532
PMC3899952	2012	145137	From Environment to Man: Genome Evolution and Adaptation of Human Opportunistic Bacterial Pathogens	24704914
PMC3238039	2011	180966	Cytogenetics of the true bug infraorder Cimicomorpha (Hemiptera, Heteroptera): a review	22287915
PMC3927606	2011	55751	Insights into Cross-Kingdom Plant Pathogenic Bacteria	24710301
