pmcid	year	count	title	pubmedid
PMC7479100	2020	56237	Caffeine as a promotor of sexual development in sterile Queensland fruit fly males	
PMC7469186	2020	42899	Synergism between Hydramethylnon and Metarhizium anisopliae and Their Influence on the Gut Microbiome of Blattella germanica (L.)	32824260
PMC7469189	2020	32036	The Mayan Tropical Rainforest: An Uncharted Reservoir of Tritrophic Host-Fruit Fly-Parasitoid Interactions	32756345
PMC7391001	2020	168581	Pest categorisation of Haplaxius crudus	32742440
PMC7339632	2020	170128	Pest categorisation of Helicoverpa zea	32665793
PMC7339215	2020	183347	Pest categorisation of tomato leaf curl New Delhi virus	32665794
PMC7332975	2020	207870	Pest categorisation of the Andean Potato Weevil (<styled-content style="fixed-case" toggle="no">APW) complex (Coleoptera: Curculionidae)	32641976
PMC7448044	2020	161690	Pest categorisation of Ripersiella hibisci	32874345
PMC7348963	2020	44215	Modified Atmosphere Does Not Reduce the Efficacy of Phytosanitary Irradiation Doses Recommended for Tephritid Fruit Flies	32549285
PMC7283806	2020	116819	Wolbachia pipientis Associated With Tephritid Fruit Fly Pests: From Basic Research to Applications	32582067
PMC7349611	2020	39633	Evaluation of Drimys winteri (Canelo) Essential Oil as Insecticide against Acanthoscelides obtectus (Coleoptera: Bruchidae) and Aegorhinus superciliosus (Coleoptera: Curculionidae)	32486175
PMC7273966	2020	43189	Botanical Volatiles Selection in Mediating Electrophysiological Responses and Reproductive Behaviors for the Fall Webworm Moth Hyphantria cunea	32547409
PMC7290347	2020	66730	Host Plant and Antibiotic Effects on Scent Bouquet Composition of Anastrepha ludens and Anastrepha obliqua Calling Males, Two Polyphagous Tephritid Pests	32423147
PMC7290310	2020	54161	Pest Management and Ochratoxin A Contamination in Grapes: A Review	32392817
PMC7448086	2020	149700	Pest categorisation of Naupactus leucoloma	32874305
PMC7448047	2020	185123	Pest categorisation of Exomala orientalis	32874304
PMC7176680	2020	63696	Dispersal of female and male Aedes aegypti from discarded container habitats using a stable isotope mark-capture study design in South Texas	32321946
PMC7136004	2020	36738	Does Size Matter? Mate Choice in Two Lekking Flies	32277696
PMC7149484	2020	33142	Establishment of a Colony of Phlebotomus argentipes under Laboratory Conditions and Morphometric Variation between Wild-Caught and Laboratory-Reared Populations	
PMC7275689	2020	55426	Relative Tolerance of Three Morphotypes of the Anastrepha fraterculus Complex (Diptera: Tephritidae) to Cold Phytosanitary Treatment	32161970
PMC7447992	2020	209138	Pest categorisation of Liriomyza bryoniae	32874254
PMC7448051	2020	250160	Pest categorisation of Liriomyza sativae	32874253
PMC7448062	2020	201843	Pest categorisation of Nemorimyza maculosa	32874252
PMC7275692	2020	172458	Nonhost Status of Commercial Sweet Granadilla (Passiflora ligularis) in Peru to Ceratitis capitata (Diptera: Tephritidae) and Anastrepha fraterculus	32128582
PMC7044671	2020	34261	Effect of Density and Lethargy Duration in Prerelease Packaging of the Fruit Fly (Diptera: Tephritidae) Parasitoid, Diachasmimorpha longicaudata (Hymenoptera: Braconidae)	32104893
PMC7074471	2020	29712	Male-Produced (&#x2212;)-&#x3B4;-Heptalactone, Pheromone of Fruit Fly Rhagoletis batava (Diptera: Tephritidae), a Sea Buckthorn Berries Pest	32102198
PMC7073888	2020	67526	Agar and Carrageenan as Cost-Effective Gelling Agents in Yeast-Reduced Artificial Diets for Mass-Rearing Fruit Flies and Their Parasitoids	32085554
PMC7070424	2020	33667	An Opto-Electronic Sensor-Ring to Detect Arthropods of Significantly Different Body Sizes	32059444
PMC7074467	2020	45317	Life History and Host Preference of Trichopria drosophilae from Southern China, One of the Effective Pupal Parasitoids on the Drosophila Species	32033080
PMC6997409	2020	51392	Olive fruit volatiles route intraspecific interactions and chemotaxis in Bactrocera oleae (Rossi) (Diptera: Tephritidae) females	32015351
PMC6994132	2020	42284	Towards the implementation of a DNA barcode library for the identification of Peruvian species of Anastrepha (Diptera: Tephritidae)	32004351
PMC7008910	2020	395697	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses of Rubus L.	32626483
PMC7008913	2020	201955	Pest categorisation of Spodoptera eridania	32626486
PMC7008801	2020	118308	List of non-<styled-content style="fixed-case" toggle="no">EU phytoplasmas of Cydonia Mill., Fragaria L., Malus Mill., Prunus L., Pyrus L., Ribes L., Rubus L. and Vitis L.	32626485
PMC7008834	2020	528319	Pest categorisation of the non-<styled-content style="fixed-case" toggle="no">EU phytoplasmas of Cydonia Mill., Fragaria L., Malus Mill., Prunus L., Pyrus L., Ribes L., Rubus L. and Vitis L.	32626484
PMC6955104	2020	41615	Assessment of Bactrocera dorsalis (Diptera: Tephritidae) Diets on Adult Fecundity and Larval Development: Insights Into Employing the Sterile Insect Technique	31927595
PMC7008835	2020	433355	List of non-EU Scolytinae of coniferous hosts	32626487
PMC7008872	2020	220279	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU Scolytinae of coniferous hosts	32626488
PMC6956792	2020	35564	Identifying model violations under the multispecies coalescent model using P2C2M.SNAPP	31949994
PMC7008906	2020	180927	Pest categorisation of potato virus X (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626491
PMC7008886	2020	112332	List of non-<styled-content style="fixed-case" toggle="no">EU viruses and viroids infecting potato (Solanum tuberosum) and other tuber-forming Solanum species	32626476
PMC7008841	2020	194753	Pest categorisation of potato virus S (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626479
PMC7008826	2020	198060	Pest categorisation of potato virus Y (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626492
PMC7008912	2020	171735	Pest categorisation of potato leafroll virus (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626493
PMC7008883	2020	688454	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses and viroids of potato	32626477
PMC7008853	2020	175301	Pest categorisation of potato virus A (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626489
PMC7008812	2020	168427	Pest categorisation of potato virus M (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626478
PMC7008781	2020	174564	Pest categorisation of potato virus V (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626490
PMC6938351	2019	39477	Irradiation dose response under hypoxia for the application of the sterile insect technique in Drosophila suzukii	31891597
PMC6929401	2019	75800	Gut bacterial diversity and physiological traits of Anastrepha fraterculus Brazilian-1 morphotype males are affected by antibiotic treatment	31870309
