pmcid	year	count	title	pubmedid
PMC7518888	2020	144434	Symbiont-mediated cytoplasmic incompatibility: what have we learned in 50 years?	
PMC7511323	2020	91581	Characterization of the effect of cis-3-hexen-1-ol on green tea aroma	
PMC7492740	2020	87298	Bacteria Contribute to Plant Secondary Compound Degradation in a Generalist Herbivore System	
PMC7489515	2020	61392	Fitness costs in clothianidin-resistant population of the melon aphid, Aphis gossypii	
PMC7490381	2020	36114	Male-lure type, lure dosage, and fly age at feeding all influence male mating success in Jarvis' fruit fly	
PMC7485775	2020	120312	A sting affair: A global quantitative exploration of bee, wasp and ant hosts of velvet ants	
PMC7488135	2020	47512	High sensitivity of one-step real-time reverse transcription quantitative PCR to detect low virus titers in large mosquito pools	32907625
PMC7479100	2020	56237	Caffeine as a promotor of sexual development in sterile Queensland fruit fly males	
PMC7477568	2020	40206	Development and diapause induction of the Indian meal moth, Plodia interpunctella (H&#xFC;bner) (Lepidoptera: Pyralidae) at different photoperiods	
PMC7474526	2020	57424	Identification and Expression Profiles of 14 Odorant-Binding Protein Genes From Pieris rapae (Lepidoptera: Pieridae)	32889524
PMC7470329	2020	74930	Toward implementation of combined incompatible and sterile insect techniques for mosquito control: Optimized chilling conditions for handling Aedes albopictus male adults prior to release	32881871
PMC7458925	2020	28818	Females of the red damselfly Mnesarete pudica are attracted to more ornamented males and attract rival males	32868843
PMC7433766	2020	75230	Gut Bacteria in the Holometabola: A Review of Obligate and Facultative Symbionts	32809024
PMC7469224	2020	26589	Sex-Specific Wolbachia Infection Patterns in Populations of Polygraphus proximus Blandford (Coleoptera; Curculionidae: Scolytinae)	32824858
PMC7433769	2020	38300	A Novel Solid Artificial Diet for Zeugodacus cucurbitae (Diptera: Tephritidae) Larvae With Fitness Parameters Assessed by Two-Sex Life Table	32809019
PMC7433767	2020	35977	Morphological and Developmental Traits of the Binucleation of Male Accessory Gland Cells in the Benthic Water Bug, Aphelocheirus vittatus (Hemiptera: Aphelochiridae)	32809023
PMC7437935	2020	47062	Comparative analysis of diet-associated responses in two rice planthopper species	32807078
PMC7469148	2020	61397	Functional Variation in Dipteran Gut Bacterial Communities in Relation to Their Diet, Life Cycle Stage and Habitat	32824605
PMC7439961	2020	95962	Determination of fitness traits of Orius strigicollis Poppius (Hemiptera: Anthocoridae) on Pectinophora gossypiella (Lepidoptera: Gelechiidae) using two-sex life table analysis	32874777
PMC7464534	2020	43600	Mode and Tempo of Microsatellite Evolution across 300 Million Years of Insect Evolution	32824315
PMC7469186	2020	42899	Synergism between Hydramethylnon and Metarhizium anisopliae and Their Influence on the Gut Microbiome of Blattella germanica (L.)	32824260
PMC7434986	2020	58028	Hydrolytic Profile of the Culturable Gut Bacterial Community Associated With Hermetia illucens	32903451
PMC7469173	2020	36782	Spatial Distribution of Pollinating Butterflies in Yunnan Province, Southwest China with Resource Conservation Implications	32806576
PMC7469153	2020	33696	Radioprotective Effects on Late Third-Instar Bactrocera dorsalis (Diptera: Tephritidae) Larvae in Low-Oxygen Atmospheres	32806714
PMC7425011	2020	63525	Natural Wolbachia infection in field-collected Anopheles and other mosquito species from Malaysia	32787974
PMC7419140	2020	64357	Caterpillar-induced rice volatiles provide enemy-free space for the offspring of the brown planthopper	32778222
PMC7431611	2020	85864	Comparative Microbiomics of Tephritid Frugivorous Pests (Diptera: Tephritidae) From the Field: A Tale of High Variability Across and Within Species	32849469
PMC7469170	2020	47749	Gamma Irradiation and Male Glossina austeni Mating Performance	32796748
