pmcid	year	count	title	pubmedid
PMC7474526	2020	57424	Identification and Expression Profiles of 14 Odorant-Binding Protein Genes From Pieris rapae (Lepidoptera: Pieridae)	32889524
PMC7424033	2020	91302	Protein Stores Regulate When Reproductive Displays Begin in the Male Caribbean Fruit Fly	32848894
PMC7469189	2020	32036	The Mayan Tropical Rainforest: An Uncharted Reservoir of Tritrophic Host-Fruit Fly-Parasitoid Interactions	32756345
PMC7391001	2020	168581	Pest categorisation of Haplaxius crudus	32742440
PMC7339632	2020	170128	Pest categorisation of Helicoverpa zea	32665793
PMC7339215	2020	183347	Pest categorisation of tomato leaf curl New Delhi virus	32665794
PMC7332975	2020	207870	Pest categorisation of the Andean Potato Weevil (<styled-content style="fixed-case" toggle="no">APW) complex (Coleoptera: Curculionidae)	32641976
PMC7448044	2020	161690	Pest categorisation of Ripersiella hibisci	32874345
PMC7283806	2020	116819	Wolbachia pipientis Associated With Tephritid Fruit Fly Pests: From Basic Research to Applications	32582067
PMC7349611	2020	39633	Evaluation of Drimys winteri (Canelo) Essential Oil as Insecticide against Acanthoscelides obtectus (Coleoptera: Bruchidae) and Aegorhinus superciliosus (Coleoptera: Curculionidae)	32486175
PMC7260734	2020	30007	Schizophyllum commune induced oxidative stress and immunosuppressive activity in Spodoptera litura	32471364
PMC7349367	2020	24029	Reference Gene Selection for Expression Analyses by qRT-PCR in Dendroctonus valens	32471281
PMC7356580	2020	60345	Microbiome of the Queensland Fruit Fly through Metamorphosis	32466500
PMC7290347	2020	66730	Host Plant and Antibiotic Effects on Scent Bouquet Composition of Anastrepha ludens and Anastrepha obliqua Calling Males, Two Polyphagous Tephritid Pests	32423147
PMC7448086	2020	149700	Pest categorisation of Naupactus leucoloma	32874305
PMC7448047	2020	185123	Pest categorisation of Exomala orientalis	32874304
PMC7136004	2020	36738	Does Size Matter? Mate Choice in Two Lekking Flies	32277696
PMC7265894	2020	45302	Soil texture, infective juvenile concentration, and soil organic matter influence the efficacy of Steinernema feltiae isolate Lican Ray	32185943
PMC7071784	2020	70345	Interaction Between Beauveria bassiana (Hypocreales: Cordycipitaceae) and Coptera haywardi (Hymenoptera: Diapriidae) for the Management of Anastrepha obliqua (Diptera: Tephritidae)	32186740
