pmcid	year	count	title	pubmedid
PMC7469164	2020	28257	Bacterial Communities in Three Parts of Intestinal Tracts of Carpenter Bees (Xylocopa tenuiscapa)	32756386
PMC7394822	2020	49567	Identification of Candidate Olfactory Genes in the Antennal Transcriptome of the Stink Bug Halyomorpha halys	32792985
PMC7387575	2020	88937	Identification and Expression Profile of Olfactory Receptor Genes Based on Apriona germari (Hope) Antennal Transcriptome	32792974
PMC7380273	2020	74508	Identification and expression pattern of chemosensory genes in the transcriptome of Propsilocerus akamusi	32742817
PMC7404779	2020	74645	Non-Destructive Technologies for Detecting Insect Infestation in Fruits and Vegetables under Postharvest Conditions: A Critical Review	32674380
PMC7404660	2020	38332	Traditional Knowledge of the Utilization of Edible Insects in Nagaland, North-East India	32629940
PMC7349032	2020	30839	Sensor Systems for Detecting Dough Properties Fortified with Grape Pomace and Mealworm Powders	32599780
PMC7348716	2020	51998	What Is Required for Edible Insects to Become Medical Food? From a Health Professionals and Caregivers' Perspective	32585981
PMC7348839	2020	48147	Bacterial Communities Associated with the Pine Wilt Disease Insect Vector Monochamus alternatus (Coleoptera: Cerambycidae) during the Larvae and Pupae Stages	32560536
PMC7271990	2020	44798	Characterizing the microbiome of ectoparasitic louse flies feeding on migratory raptors	32497084
PMC7246026	2020	41976	SMRT sequencing of the full-length transcriptome of the Rhynchophorus ferrugineus (Coleoptera: Curculionidae)	32509454
PMC7290593	2020	38216	New Approaches in Urban Forestry to Minimize Invasive Species Impacts: The Case of Xiongan New Area in China	32408656
PMC7188857	2020	43900	Biological and molecular characterization of Aromia bungii (Faldermann, 1835) (Coleoptera: Cerambycidae), an emerging pest of stone fruits in Europe	32346054
PMC7138900	2020	49445	Characterization of MaltOBP1, a Minus-C Odorant-Binding Protein, From the Japanese Pine Sawyer Beetle, Monochamus alternatus Hope (Coleoptera: Cerambycidae)	32296339
PMC7448033	2020	149166	Commodity risk assessment of Robinia pseudoacacia plants from Israel	32874255
PMC7151192	2020	34384	Effects of Seedling Age on Colonization Patterns of Citrus limon Plants by Endophytic Beauveria bassiana and Metarhizium anisopliae and Their Influence on Seedlings Growth	32106557
PMC7317733	2020	47662	Analyzing the Substrate Specificity of a Class of Long-Horned-Beetle-Derived Xylanases by Using Synthetic Arabinoxylan Oligo- and Polysaccharides	31850611
PMC6959569	2020	41665	Point-of-care diagnostic (POCD) method for detecting Bursaphelenchus xylophilus in pinewood using recombinase polymerase amplification (RPA) with the portable optical isothermal device (POID)	31935232
