pmcid	year	count	title	pubmedid
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7469215	2020	37158	A Native Bee, Melissodestepaneca (Hymenoptera: Apidae), Benefits Cotton Production	32752142
PMC7391001	2020	168581	Pest categorisation of Haplaxius crudus	32742440
PMC7378549	2020	109916	The coffee agroecosystem: bio-economic analysis of coffee berry borer control (Hypothenemus hampei)	32703996
PMC7409248	2020	80095	Preparation of a Chlorantraniliprole_ThiamethoxamUltralow-Volume Spray and Application in the Control of Spodoptera frugiperda	32775933
PMC7387505	2020	48583	The Independent Biological Activity of Bacillus thuringiensis Cry23Aa Protein Against Cylas puncticollis	32793170
PMC7339632	2020	170128	Pest categorisation of Helicoverpa zea	32665793
PMC7339215	2020	183347	Pest categorisation of tomato leaf curl New Delhi virus	32665794
PMC7332975	2020	207870	Pest categorisation of the Andean Potato Weevil (<styled-content style="fixed-case" toggle="no">APW) complex (Coleoptera: Curculionidae)	32641976
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7448044	2020	161690	Pest categorisation of Ripersiella hibisci	32874345
PMC7303257	2020	60606	Development of an Innovative Process for High-Temperature Fruit Juice Extraction Using a Novel Thermophilic Endo-Polygalacturonase From Penicillium oxalicum	32595621
PMC7260174	2020	60931	The use of click beetle pheromone traps to optimize the risk assessment of wireworm (Coleoptera: Elateridae) maize damage	32471978
PMC7243915	2020	119146	Insights Into Genetic and Molecular Elements for Transgenic Crop Development	32499796
PMC7194664	2020	36322	Glycoproteome in silkworm Bombyx mori and alteration by BmCPV infection	32360640
PMC7290383	2020	33566	Comparative Transcriptomic Analysis to Identify the Genes Related to Delayed Gland Morphogenesis in Gossypium bickii	32357512
PMC7448086	2020	149700	Pest categorisation of Naupactus leucoloma	32874305
PMC7448047	2020	185123	Pest categorisation of Exomala orientalis	32874304
PMC7187958	2020	48165	Double-Stranded RNA Technology to Control Insect Pests: Current Status and Challenges	32373146
PMC7149892	2020	89204	Identification of cholesterol-assimilating actinomycetes strain and application of statistical modeling approaches for improvement of cholesterol oxidase production by Streptomyces anulatus strain NEAE-94	32276593
PMC7099026	2020	51920	Comparative genomic analysis and mosquito larvicidal activity of four Bacillus thuringiensis serovar israelensis strains	32218451
PMC7081330	2020	496	Author Correction: Enzymatic activity of a recombinant beta-1,4-endoglucanase from the Cotton Boll Weevil (Anthonomus grandis) aiming second generation ethanol production	32193436
PMC7078254	2020	87700	First transcriptome of the Neotropical pest Euschistus heros (Hemiptera: Pentatomidae) with dissection of its siRNA machinery	32184426
PMC7447992	2020	209138	Pest categorisation of Liriomyza bryoniae	32874254
PMC7448051	2020	250160	Pest categorisation of Liriomyza sativae	32874253
