pmcid	year	count	title	pubmedid
PMC7442118	2020	219421	New solutions using natural products	
PMC7421533	2020	433762	Commodity risk assessment of Jasminum polyanthum plants from Israel	32793314
PMC7469178	2020	31267	Effects of Pyriproxyfen Exposure on Reproduction and Gene Expressions in Silkworm, Bombyx mori	32722009
PMC7291346	2020	58629	Airborne Pheromone Quantification in Treated Vineyards with Different Mating Disruption Dispensers against Lobesia botrana	32397370
PMC7082375	2020	124373	An updated annotated checklist of scale insects (Hemiptera, <named-content content-type="suborder">Sternorrhyncha, <named-content content-type="above-genus">Coccomorpha) of Poland	32210665
PMC7074267	2020	50989	New Tools for Conservation Biological Control: Testing Ant-Attracting Artificial Nectaries to Employ Ants as Plant Defenders	32079350
PMC7008799	2020	212484	Commodity risk assessment of Albizia julibrissin plants from Israel	32626495
PMC7022879	2020	30178	Evaluation of d-Limonene and beta-Ocimene as Attractants of Aphytis melinus (Hymenoptera: Aphelinidae), a Parasitoid of Aonidiella aurantii (Hemiptera: Diaspididae) on Citrus spp.	31936196
PMC7009087	2019	538074	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses and viroids of Vitis L.	32626420
PMC6835568	2019	55640	Sex Pheromone Aerosol Devices for Mating Disruption: Challenges for a Brighter Future	31547095
PMC6707215	2019	68307	Impact of low lethal concentrations of buprofezin on biological traits and expression profile of chitin synthase 1 gene (CHS1) in melon aphid, Aphis gossypii	31444364
PMC6635889	2019	89634	Considerations for Insect Learning in Integrated Pest Management	31313814
PMC6491722	2019	50844	Western corn rootworm pyrethroid resistance confirmed by aerial application simulations of commercial insecticides	31040345
PMC6422274	2019	121776	Natural enemies of armored scales (Hemiptera: Diaspididae) and soft scales (Hemiptera: Coccidae) in Chile: Molecular and morphological identification	30883559
PMC6850510	2019	224298	Multiyear monitoring of bird communities in chlorpyrifos-treated orchards in Spain and the United Kingdom: Spatial and temporal trends in species composition, abundance, and site fidelity	30625247
PMC6308424	2018	51435	Assessment of the Accuracy of a Multi-Beam LED Scanner Sensor for Measuring Olive Canopies	30551582
PMC6316135	2018	43528	Dispersal in Host_Parasitoid Interactions: Crop Colonization by Pests and Specialist Enemies	30301166
PMC6315970	2018	34245	An Alternative Perspective for the Theory of Biological Control	30279325
PMC7009476	2018	155257	Pest categorisation of Lopholeucaspis japonica	32625986
PMC6144978	2018	141052	Host specificity of parasitoids (Encyrtidae) toward armored scale insects (Diaspididae): Untangling the effect of cryptic species on quantitative food webs	30250670
PMC6025178	2018	21444	Evaluation of Self-Propelled High-Energy Ultrasonic Atomizer on Azoxystrobin and Tebuconazole Application in Sunlit Greenhouse Tomatoes	29843392
PMC5667899	2017	49497	Compatibility of insecticides and fungicides with the zoophytophagous mirid predator Nesidiocoris tenuis	29095873
PMC5530990	2017	47504	A mutualism without honeydew: what benefits for Melissotarsus emeryi ants and armored scale insects (Diaspididae)?	28761787
PMC5551153	2017	33583	Sustainable Use of Pesticide Applications in Citrus: A Support Tool for Volume Rate Adjustment	28665344
PMC5435716	2017	53057	Genetic diversity of armored scales (Hemiptera: Diaspididae) and soft scales (Hemiptera: Coccidae) in Chile	28515435
