pmcid	year	count	title	pubmedid
PMC7489556	2020	44673	Influence of the plant interacting entomopathogenic fungus Beauveria bassiana on parasitoid host choice-behavior, development, and plant defense pathways	
PMC7439961	2020	95962	Determination of fitness traits of Orius strigicollis Poppius (Hemiptera: Anthocoridae) on Pectinophora gossypiella (Lepidoptera: Gelechiidae) using two-sex life table analysis	32874777
PMC7421533	2020	433762	Commodity risk assessment of Jasminum polyanthum plants from Israel	32793314
PMC7502230	2020	42405	The ability of the green peach aphid (Myzus persicae) to penetrate mesh crop covers used to protect potato crops against tomato potato psyllid (Bactericera cockerelli)	
PMC7413517	2020	54488	Functional morphology of antennae and sensilla of Hippodamia variegata (Coleoptera: Coccinellidae)	32764805
PMC7430832	2020	56821	Transcriptome profiling revealed potentially important roles of defensive gene expression in the divergence of insect biotypes: a case study with the cereal aphid Sitobion avenae	32762647
PMC7424033	2020	91302	Protein Stores Regulate When Reproductive Displays Begin in the Male Caribbean Fruit Fly	32848894
PMC7469152	2020	49685	Host Plant Affects Symbiont Abundance in Bemisia tabaci (Hemiptera: Aleyrodidae)	32759695
PMC7469172	2020	38254	Lethal and Sublethal Effects of Chlorpyrifos on Biological Traits and Feeding of the Aphidophagous Predator Harmonia axyridis	32752271
PMC7469209	2020	40156	Thermal Effects on the Population Parameters and Growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae)	32751320
PMC7394713	2020	46901	Automated trichome counting in soybean using advanced image-processing techniques	32765974
PMC7469181	2020	40648	Insecticidal Activity of 28 Essential Oils and a Commercial Product Containing Cinnamomum cassia Bark Essential Oil against Sitophilus zeamais Motschulsky	32726904
PMC7411817	2020	63938	Aphid Transmission of Potyvirus: The Largest Plant-Infecting RNA Virus Genus	32708998
PMC7412371	2020	47420	Attributes of Yellow Traps Affecting Attraction of Diaphorina citri (Hemiptera: Liviidae)	32708797
PMC7363820	2020	51987	Juvenile hormone regulates the shift from migrants to residents in adult oriental armyworm, Mythimna separata	32669571
PMC7397073	2020	34884	Satellitome Analysis in the Ladybird Beetle Hippodamia variegata (Coleoptera, Coccinellidae)	32668664
PMC7423286	2020	83776	Sympatric ecological divergence with coevolution of niche preference	32654636
PMC7329105	2020	73448	Insights into aphid prey consumption by ladybirds: Optimising field sampling methods and primer design for high throughput sequencing	32609728
PMC7412028	2020	46425	Feeding Preference of Crapemyrtle Bark Scale (Acanthococcus lagerstroemiae) on Different Species	32605244
PMC7349832	2020	30247	Evaluation of Five Medicinal Plant Extracts on Aphis craccivora (Hemiptera: Aphididae) and Its Predator, Chrysoperla carnea (Neuroptera: Chrysopidae) under Laboratory Conditions	32604849
PMC7330602	2020	58766	Local Aphid Species Infestation on Invasive Weeds Affects Virus Infection of Nearest Crops Under Different Management Systems _ A Preliminary Study	32670307
PMC7257214	2020	129103	Functional insights from the GC-poor genomes of two aphid parasitoids, Aphidius ervi and Lysiphlebus fabarum	32471448
PMC7260734	2020	30007	Schizophyllum commune induced oxidative stress and immunosuppressive activity in Spodoptera litura	32471364
PMC7261896	2020	63446	Performance and Transcriptional Response of the Green Peach Aphid Myzus persicae to the Restriction of Dietary Amino Acids	32523545
PMC7277281	2020	42679	Apis cerana gut microbiota contribute to host health though stimulating host immune system and strengthening host resistance to Nosema ceranae	32537206
PMC7237440	2020	45810	Aphid-infested beans divert ant attendance from the rosy apple aphid in apple-bean intercropping	32427843
PMC7344985	2020	54430	Systemic Colonization by Metarhizium robertsii Enhances Cover Crop Growth	32429548
PMC7344541	2020	53510	Integrated Management of Aphis craccivora in Cowpea Using Intercropping and Entomopathogenic Fungi under Field Conditions	32403358
PMC7313666	2020	67651	The Protector within: Comparative Genomics of APSE Phages across Aphids Reveals Rampant Recombination and Diverse Toxin Arsenals	32386316
PMC7291017	2020	32852	Intraguild Predation between Chrysoperla carnea (Neuroptera: Chrysopidae) and Hippodamia variegata (Coleoptera: Coccinellidae) at Various Extraguild Prey Densities and Arena Complexities	32397273
PMC7290573	2020	21338	Hydrocarbon Signatures of the Ectoparasitoid Sphecophaga vesparum Shows Wasp Host Dependency	32353966
PMC7284489	2020	38450	Physiological and Molecular Mechanism Involved in Cold Stress Tolerance in Plants	32353940
PMC7176738	2020	60010	Development of new genetic resources for faba bean (Vicia faba L.) breeding through the discovery of gene-based SNP markers and the construction of a high-density consensus map	32321933
PMC7156700	2020	35618	Urbanisation alters ecological interactions: Ant mutualists increase and specialist insect predators decrease on an urban gradient	32286349
PMC7170998	2020	36537	Cell Cycle Progression Determines Wing Morph in the Polyphenic Insect Nilaparvata lugens	32315833
PMC7147780	2020	71525	The trisaccharide melezitose impacts honey bees and their intestinal microbiota	32275718
PMC7240687	2020	44712	Host Plants Influence the Symbiont Diversity of Eriosomatinae (Hemiptera: Aphididae)	32244698
PMC7071726	2020	114056	Brown marmorated stink bug, Halyomorpha halys (St&#xE5;l), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest	32171258
PMC7143606	2020	42851	Age-Stage, Two-Sex Life Tables of the Predatory Mite Cheyletus Malaccensis Oudemans at Different Temperatures	32178253
PMC7463345	2020	59581	Prior adaptation of parasitoids improves biological control of symbiont-protected pests	32908591
PMC7150801	2020	45717	New Viral Sequences Identified in the Flavescence Doree Phytoplasma Vector Scaphoideus titanus	32155753
PMC7142947	2020	30224	Effect of UV-Absorbing Nets on the Performance of the Aphid Predator Sphaerophoria rueppellii (Diptera: Syrphidae)	32150844
PMC7171224	2020	7031	Draft Genome Sequences of Two Cultivable Strains of the Bacterial Symbiont Serratia symbiotica	32139562
PMC7143459	2020	36290	Uninterrupted Development of Two Aphid Species Belonging to Cinara Genus during Winter Diapause	32121261
PMC7151192	2020	34384	Effects of Seedling Age on Colonization Patterns of Citrus limon Plants by Endophytic Beauveria bassiana and Metarhizium anisopliae and Their Influence on Seedlings Growth	32106557
PMC7142041	2020	69791	Olfactory Receptor Neurons for Plant Volatiles and Pheromone Compounds in the Lucerne Weevil, Sitona discoideus	32048118
PMC7002715	2020	49440	UV reflective properties of magnesium oxide increase attraction and probing behavior of Asian citrus psyllids (Hemiptera: Liviidae)	32024952
PMC6998375	2020	46196	Identification of transcriptome and fluralaner responsive genes in the common cutworm Spodoptera litura Fabricius, based on RNA-seq	32013879
