pmcid	year	count	title	pubmedid
PMC7501787	2020	81356	Entomopathogenic fungi decrease Rhizoctonia disease in potato in field conditions	
PMC7493910	2020	50072	Transcriptome response comparison between vector and non-vector aphids after feeding on virus-infected wheat plants	
PMC7489515	2020	61392	Fitness costs in clothianidin-resistant population of the melon aphid, Aphis gossypii	
PMC7489556	2020	44673	Influence of the plant interacting entomopathogenic fungus Beauveria bassiana on parasitoid host choice-behavior, development, and plant defense pathways	
PMC7481182	2020	87391	Greenbug (Schizaphis graminum) herbivory significantly impacts protein and phosphorylation abundance in switchgrass (Panicum virgatum)	
PMC7444016	2020	18972	Assessment of Yam mild mosaic virus coat protein gene sequence diversity reveals the prevalence of cosmopolitan and African group of isolates in Ghana and Nigeria	32884907
PMC7463240	2020	62633	Post-transcriptional modulation of cytochrome P450s, Cyp6g1 and Cyp6g2, by miR-310s cluster is associated with DDT-resistant Drosophila melanogaster strain 91-R	32873850
PMC7503466	2020	35995	Lipid Dynamics, Identification, and Expression Patterns of Fatty Acid Synthase Genes in an Endoparasitoid, Meteorus pulchricornis (Hymenoptera: Braconidae)	
PMC7504372	2020	49609	Melon Genome Regions Associated with TGR-1551-Derived Resistance to Cucurbit yellow stunting disorder virus	
PMC7433769	2020	38300	A Novel Solid Artificial Diet for Zeugodacus cucurbitae (Diptera: Tephritidae) Larvae With Fitness Parameters Assessed by Two-Sex Life Table	32809019
PMC7433768	2020	47072	Selection of Reference Genes for Quantitative Real-Time PCR in Chrysoperla nipponensis (Neuroptera: Chrysopidae) Under Tissues in Reproduction and Diapause	32809020
PMC7439961	2020	95962	Determination of fitness traits of Orius strigicollis Poppius (Hemiptera: Anthocoridae) on Pectinophora gossypiella (Lepidoptera: Gelechiidae) using two-sex life table analysis	32874777
PMC7430702	2020	35130	Ecological indices of phytophagous Hemiptera and their natural enemies on Acacia auriculiformis (Fabales: Fabaceae) plants with or without dehydrated sewage sludge application in a degraded area	32804957
PMC7469166	2020	35683	From Diverse Origins to Specific Targets: Role of Microorganisms in Indirect Pest Biological Control	32823898
PMC7438476	2020	65892	Bt, Not a Threat to Propylea japonica	32903558
PMC7421533	2020	433762	Commodity risk assessment of Jasminum polyanthum plants from Israel	32793314
PMC7431704	2020	51906	A Leaf-Mimicking Method for Oral Delivery of Bioactive Substances Into Sucking Arthropod Herbivores	32849754
PMC7414795	2020	50275	Thiamethoxam Differentially Impacts the Survival of the Generalist Predators, Orius insidiosus (Hemiptera: Anthocoridae) and Hippodamia convergens (Coleoptera: Coccinellidae), When Exposed via the Food Chain	32770249
PMC7427126	2020	47880	Expression of Bt Protein in Transgenic Bt Cotton Plants and Ecological Fitness of These Plants in Different Habitats	32849750
PMC7459587	2020	37799	Applications of Proteomic Tools to Study Insect Vector_Plant Virus Interactions	32784674
PMC7502230	2020	42405	The ability of the green peach aphid (Myzus persicae) to penetrate mesh crop covers used to protect potato crops against tomato potato psyllid (Bactericera cockerelli)	
PMC7413517	2020	54488	Functional morphology of antennae and sensilla of Hippodamia variegata (Coleoptera: Coccinellidae)	32764805
PMC7430832	2020	56821	Transcriptome profiling revealed potentially important roles of defensive gene expression in the divergence of insect biotypes: a case study with the cereal aphid Sitobion avenae	32762647
PMC7411060	2020	70461	Resistance to deltamethrin and fenitrothion in dubas bug, Ommatissus lybicus de Bergevin (Homoptera: Tropiduchidae) and possible biochemical mechanisms	32764706
PMC7469222	2020	32976	Nutritional Relationship between Bemisia tabaci and Its Primary Endosymbiont, Portiera aleyrodidarum, during Host Plant Acclimation	32759662
PMC7469152	2020	49685	Host Plant Affects Symbiont Abundance in Bemisia tabaci (Hemiptera: Aleyrodidae)	32759695
PMC7398500	2020	71649	Negative effect of methyl bromide fumigation work on the central nervous system	32745138
PMC7469209	2020	40156	Thermal Effects on the Population Parameters and Growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae)	32751320
PMC7411660	2020	44664	Effects of the cucumber mosaic virus 2a protein on aphid_plant interactions in Arabidopsis thaliana	32725725
PMC7469146	2020	33487	Temperature-Dependent Demographic Characteristics and Control Potential of Aphelinus asychis Reared from Sitobion avenae as a Biological Control Agent for Myzus persicae on Chili Peppers	32727020
PMC7469197	2020	42175	Effects of Temperature on Lifespan of Drosophila melanogaster from Different Genetic Backgrounds: Links between Metabolic Rate and Longevity	32722420
PMC7394822	2020	49567	Identification of Candidate Olfactory Genes in the Antennal Transcriptome of the Stink Bug Halyomorpha halys	32792985
PMC7379777	2020	63314	Sub-lethal doses of albendazole induce drug metabolizing enzymes and increase albendazole deactivation in Haemonchus contortus adults	32703268
PMC7376666	2020	50134	Characterization, identification and expression profiling of genome-wide R-genes in melon and their putative roles in bacterial fruit blotch resistance	32698865
PMC7469226	2020	43569	ResNet-Locust-BN Network-Based Automatic Identification of East Asian Migratory Locust Species and Instars from RGB Images	32707761
PMC7469198	2020	57945	Simultaneous Increase in CO2 and Temperature Alters Wheat Growth and Aphid Performance Differently Depending on Virus Infection	32707938
PMC7432633	2020	47113	A Genome-Wide View of Transcriptional Responses during Aphis glycines Infestation in Soybean	32707968
PMC7408455	2020	45094	Biocontrol Potential of Purified Elicitor Protein PeBL1 Extracted from Brevibacillus laterosporus Strain A60 and Its Capacity in the Induction of Defense Process against Cucumber Aphid (Myzus persicae) in Cucumber (Cucumis sativus)	32708244
PMC7380273	2020	74508	Identification and expression pattern of chemosensory genes in the transcriptome of Propsilocerus akamusi	32742817
PMC7368684	2020	43146	Sexual dimorphism and sex-biased gene expression in an egg parasitoid species, Anastatus disparis	32682391
PMC7417215	2020	83214	Latitudinal trend in the reproductive mode of the pea aphid Acyrthosiphon pisum invading a wide climatic range	32788979
PMC7380168	2020	118690	Detection of Plant Viruses and Disease Management: Relevance of Genetic Diversity and Evolution	32765569
PMC7411817	2020	63938	Aphid Transmission of Potyvirus: The Largest Plant-Infecting RNA Virus Genus	32708998
PMC7455953	2020	103855	Bioactivity and biochemical efficacy of chitinase and Justicia brandegeana extract against Red Palm Weevil Rhynchophorus ferrugineus Olivier (Coleoptera: Curculionidae)	32884742
PMC7496520	2020	73273	Characterisation of bird cherry-oat aphid (<styled-content style="fixed-case" toggle="no">Rhopalosiphum padi L.) behaviour and aphid host preference in relation to partially resistant and susceptible wheat landraces	
PMC7480431	2020	2034473	ISEV2020 Abstract Book	
