pmcid	year	count	title	pubmedid
PMC7421533	2020	433778	Commodity risk assessment of Jasminum polyanthum plants from Israel	32793314
PMC7469172	2020	38254	Lethal and Sublethal Effects of Chlorpyrifos on Biological Traits and Feeding of the Aphidophagous Predator Harmonia axyridis	32752271
PMC7411817	2020	63938	Aphid Transmission of Potyvirus: The Largest Plant-Infecting RNA Virus Genus	32708998
PMC7411948	2020	47277	Enzymatic Defense Response of Apple Aphid Aphis pomi to Increased Temperature	32664609
PMC7411604	2020	32093	Asymmetric Interaction between Aphis spiraecola and Toxoptera citricida on Sweet Orange Induced by Pre-Infestation	32635348
PMC7349642	2020	48670	Suitability and Profitability of a Cereal Aphid for the Parasitoid Aphidius platensis in the Context of Conservation Biological Control of Myzus persicae in Orchards	32575581
PMC7353542	2020	30659	Evaluation of the Toxicity of Satureja intermedia C. A. Mey Essential Oil to Storage and Greenhouse Insect Pests and a Predator Ladybird	32498219
PMC7237440	2020	45810	Aphid-infested beans divert ant attendance from the rosy apple aphid in apple-bean intercropping	32427843
PMC7181011	2020	42526	Chemical Composition, Antioxidant, Anti-Tyrosinase, Anti-Cholinesterase and Cytotoxic Activities of Essential Oils of Six Algerian Plants	32276465
PMC7217261	2020	83802	Plant ontogeny determines strength and associated plant fitness consequences of plant-mediated interactions between herbivores and flower visitors	32421019
PMC7143459	2020	36290	Uninterrupted Development of Two Aphid Species Belonging to Cinara Genus during Winter Diapause	32121261
PMC7073949	2020	45829	Interference Competition for Mutualism between Ant Species Mediates Ant-Mealybug Associations	32024041
PMC6965137	2020	57005	Insecticidal activity and biochemical composition of Citrullus colocynthis, Cannabis indica and Artemisia argyi extracts against cabbage aphid (Brevicoryne brassicae L.)	31949220
PMC7022676	2019	40516	DNA Barcoding Subtropical Aphids and Implications for Population Differentiation	31877643
PMC6903727	2019	89758	BIN overlap confirms transcontinental distribution of pest aphids (Hemiptera: Aphididae)	31821347
PMC6877663	2019	159231	Relationship Between Performance of Carob Moth, Ectomyelois ceratoniae Zeller (Lepidoptera: Pyralidae) and Phytochemical Metabolites in Various Pomegranate Cultivars	31803071
PMC6792084	2019	60220	Effects of Five Host Plant Species on the Life History and Population Growth Parameters of Myzus persicae (Hemiptera: Aphididae)	31612945
PMC6780419	2019	21962	The Effects of Locality and Host Plant on the Body Size of Aeolothrips intermedius (Thysanoptera: Aeolothripidae) in the Southwest of Poland	31443520
PMC6702178	2019	25923	Insect and mite pests of pepino (Solanummuricatum Ait.) in Japan	31440114
PMC6723448	2019	78961	Managing Floral Resources in Apple Orchards for Pest Control: Ideas, Experiences and Future Directions	31405257
