pmcid	year	count	title	pubmedid
PMC7490381	2020	36114	Male-lure type, lure dosage, and fly age at feeding all influence male mating success in Jarvis' fruit fly	
PMC7479100	2020	56237	Caffeine as a promotor of sexual development in sterile Queensland fruit fly males	
PMC7283806	2020	116819	Wolbachia pipientis Associated With Tephritid Fruit Fly Pests: From Basic Research to Applications	32582067
PMC7290859	2020	41500	Transcriptome Analysis of the Oriental Fruit Fly Bactrocera dorsalis Early Embryos	32456171
PMC7290347	2020	66730	Host Plant and Antibiotic Effects on Scent Bouquet Composition of Anastrepha ludens and Anastrepha obliqua Calling Males, Two Polyphagous Tephritid Pests	32423147
PMC7218075	2020	42607	Imaginal Disc Growth Factor 6 (Idgf6) Is Involved in Larval and Adult Wing Development in Bactrocera correcta (Bezzi) (Diptera: Tephritidae)	32435262
PMC7181599	2020	41812	Highly variable COI haplotype diversity between three species of invasive pest fruit fly reflects remarkably incongruent demographic histories	32327680
PMC7143976	2020	36517	Attraction and Electrophysiological Response to Identified Rectal Gland Volatiles in Bactrocera frauenfeldi (Schiner)	32168881
PMC7060752	2020	33090	Evaluating the repellent effect of four botanicals against two Bactrocera species on mangoes	32181051
PMC7022760	2019	35517	Rectal Gland Chemistry, Volatile Emissions, and Antennal Responses of Male and Female Banana Fruit Fly, Bactrocera musae	31906084
PMC7050614	2019	81544	Detection and characterization of bacterial endosymbionts inSoutheast Asian tephritid fruit fly populations	31870298
PMC6955761	2019	30727	The Effects of a Cold Disinfestation on Bactrocera dorsalis Survival and Navel Orange Quality	31847197
PMC6956326	2019	38508	New Species-Specific Primers for Molecular Diagnosis of Bactrocera minax and Bactrocera tsuneonis (Diptera: Tephritidae) in China Based on DNA Barcodes	31842348
PMC6955806	2019	38616	The Complete Mitochondrial Genome of Bactrocera carambolae (Diptera: Tephritidae): Genome Description and Phylogenetic Implications	31795125
PMC6876684	2019	82131	Population genetic structure and intraspecific genetic distance of Periplaneta americana (Blattodea: Blattidae) based on mitochondrial and nuclear DNA markers	31788226
PMC6775173	2019	112644	Six years of fruit fly surveys in Bangladesh: a new species, 33 new country records and discovery of the highly invasive Bactroceracarambolae (Diptera, Tephritidae)	31592216
PMC6753090	2019	46953	Fruit fly identification, population dynamics and fruit damage during fruiting seasons of sweet oranges in Rusitu Valley, Zimbabwe	31537891
PMC6609607	2019	92970	Spatio-temporal temperature variations in MarkSim multimodel data and their impact on voltinism of fruit fly, Bactrocera species on mango	31273224
PMC6627857	2019	32091	RNAi-Mediated Knockdown of Tssk1 and Tektin1 Genes Impair Male Fertility in Bactrocera dorsalis	31185651
PMC6572153	2019	38822	Effects of Water Immersion and Soil Moisture Content on Larval and Pupal Survival of Bactrocera minax (Diptera: Tephritidae)	31091677
PMC6597872	2019	83387	A transcriptional and functional analysis of heat hardening in two invasive fruit fly species, Bactrocera dorsalis and Bactrocera correcta	31293628
PMC6468847	2019	30255	Chemical Compounds from Female and Male Rectal Pheromone Glands of the Guava Fruit Fly, Bactrocera correcta	30889849
PMC6353879	2019	54774	Imaginal disc growth factor 4 regulates development and temperature adaptation in Bactrocera dorsalis	30700762
PMC6255883	2018	150870	Descriptions of four new species of Bactrocera and new country records highlight the high biodiversity of fruit flies in Vietnam (Diptera, Tephritidae, <named-content content-type="subfamily">Dacinae)	30505163
PMC6237899	2018	52032	Description of a new species of Dacus from Sri Lanka, and new country distribution records (Diptera, Tephritidae, <named-content content-type="subfamily">Dacinae)	30473611
PMC6211680	2018	102956	Threshold temperatures and thermal requirements of black soldier fly Hermetia illucens: Implications for mass production	30383771
PMC6171934	2018	109286	Rapid identification of Bactrocera zonata (Dip.: Tephritidae) using TaqMan real-time PCR assay	30286152
PMC6231469	2018	111066	Population structure of a global agricultural invasive pest, Bactrocera dorsalis (Diptera: Tephritidae)	30459843
PMC6007453	2018	108955	Sexual Selection on Leks: A Fruit Fly Primer	29850851
PMC5968858	2018	53774	Identification and characterization of short tandem repeats in the Tibetan macaque genome based on resequencing data	29643326
PMC5902445	2018	36133	Different methods of methyl eugenol application enhance the mating success of male Oriental fruit fly (Dipera: Tephritidae)	29662085
PMC5794786	2018	30120	A conserved motif within cox 2 allows broad detection of economically important fruit flies (Diptera: Tephritidae)	29391551
PMC5855618	2018	38519	Comparative Transcriptome Analyses Uncover Key Candidate Genes Mediating Flight Capacity in Bactrocera dorsalis (Hendel) and Bactrocera correcta (Bezzi) (Diptera: Tephritidae)	29385681
PMC5799784	2018	311275	A global checklist of the 932 fruit fly species in the tribe <named-content content-type="tribe">Dacini (Diptera, Tephritidae)	29416395
PMC5755740	2018	152030	Risk assessment and spread of the potentially invasive Ceratitis rosa Karsch and Ceratitis quilicii De Meyer, Mwatawala &amp; Virgilio sp. Nov. using life-cycle simulation models: Implications for phytosanitary measures and management	29304084
PMC5720772	2017	66355	Complete mitochondrial genome of Zeugodacus tau (Insecta: Tephritidae) and differentiation of Z. tau species complex by mitochondrial cytochrome c oxidase subunit I gene	29216281
PMC5709374	2017	47714	The mitochondrial genome of the wolfberry fruit fly, Neoceratitis asiatica (Becker) (Diptera: Tephritidae) and the phylogeny of Neoceratitis Hendel genus	29192255
PMC5645341	2017	62585	Effects of short-term heat shock and physiological responses to heat stress in two Bradysia adults, Bradysia odoriphaga and Bradysia difformis	29042590
PMC5635064	2017	34818	Phosphine inhibits transcription of the catalase gene through the DRE/DREF system in Drosophila melanogaster	29018235
PMC5557917	2017	33018	Microsatellite evidence of dispersal mechanism of red swamp crayfish (Procambarus clarkii) in the Pearl River basin and implications for its management	28811671
PMC5469387	2017	38918	Isolation and Molecular Characterization of the Transformer Gene From Bactrocera cucurbitae (Diptera: Tephritidae)	28931159
PMC5412357	2017	56268	Mitochondrial Genomes Provide Insights into the Phylogeny of Lauxanioidea (Diptera: Cyclorrhapha)	28420076
PMC5395428	2017	97023	Screening mitochondrial DNA sequence variation as an alternative method for tracking established and outbreak populations of Queensland fruit fly at the species southern range limit	28428851
PMC5144084	2016	32092	Genetic diversity and population structure in Bactrocera correcta (Diptera: Tephritidae) inferred from mtDNA cox1 and microsatellite markers	27929126
PMC5126540	2016	234350	Review of the East Palaearctic and North Oriental Psyttalia Walker, with the description of three new species (Hymenoptera, Braconidae, <named-content content-type="subfamily">Opiinae)	27920599
PMC5095552	2016	31796	The first complete mitochondrial genome of Dacus longicornis (Diptera: Tephritidae) using next-generation sequencing and mitochondrial genome phylogeny of Dacini tribe	27812024
PMC5050210	2016	45486	BdorOBP83a-2 Mediates Responses of the Oriental Fruit Fly to Semiochemicals	27761116
PMC4739531	2016	63764	Complete Mitochondrial Genome of Three Bactrocera Fruit Flies of Subgenus Bactrocera (Diptera: Tephritidae) and Their Phylogenetic Implications	26840430
PMC4736151	2016	76368	The study of the transformer gene from Bactrocera dorsalis and B. correcta with putative core promoter regions	26833079
PMC4714083	2015	106627	Comparative analysis of development and survival of two Natal fruit fly Ceratitisrosa Karsch (Diptera, Tephritidae) populations from Kenya and South Africa	26798273
PMC4714077	2015	139806	A phylogenetic assessment of the polyphyletic nature and intraspecific color polymorphism in the Bactroceradorsalis complex (Diptera, Tephritidae)	26798267
PMC4714075	2015	36754	Comparative sensitivity to methyl eugenol of four putative Bactroceradorsalis complex sibling species _ further evidence that they belong to one and the same species B.dorsalis	26798265
PMC4714074	2015	50021	Inter-regional mating compatibility among Bactroceradorsalis populations in Thailand (Diptera,Tephritidae)	26798264
PMC4714062	2015	154785	Resolving cryptic species complexes of major tephritid pests	26798252
PMC4654397	2015	25983	Developmental Biology of Zeugodacus cucurbitae (Diptera: Tephritidae) in Three Cucurbitaceous Hosts at Different Temperature Regimes	26589874
PMC4622178	2015	38546	Projecting Distribution of the Overwintering Population of Sogatella furcifera (Hemiptera: Delphacidae), in Yunnan, China With Analysis on Key Influencing Climatic Factors	26494777
PMC4607999	2015	30260	Complete mitochondrial genome of Bactrocera arecae (Insecta: Tephritidae) by next-generation sequencing and molecular phylogeny of Dacini tribe	26472633
PMC4580426	2015	75124	Achilles, a New Family of Transcriptionally Active Retrotransposons from the Olive Fruit Fly, with Y Chromosome Preferential Distribution	26398504
PMC4765484	2016	40960	Effects of Methyl Eugenol Feeding on Mating Compatibility of Asian Population of Bactrocera dorsalis (Diptera: Tephritidae) with African Population and with B. carambolae	26362991
PMC4553480	2015	79524	An Overview of Pest Species of Bactrocera Fruit Flies (Diptera: Tephritidae) and the Integration of Biopesticides with Other Biological Approaches for Their Management with a Focus on the Pacific Region	26463186
PMC4380458	2015	120511	The First Mitochondrial Genome of the Sepsid Fly Nemopoda mamaevi Ozerov, 1997 (Diptera: Sciomyzoidea: Sepsidae), with Mitochondrial Genome Phylogeny of Cyclorrhapha	25826648
PMC5380164	2015	31697	Pyrosequencing reveals a shift in symbiotic bacteria populations across life stages of Bactrocera dorsalis	25822599
PMC4652034	2015	72674	Double nexus-Doublesex is the connecting element in sex determination	25797692
PMC4535327	2015	33501	Oviposition Preference and Offspring Performance of Mechoris ursulus (Coleoptera: Attelabidae) in Cyclobalanopsis glaucoides (Fagales: Fagaceae) and Quercus franchetii (Fagales: Fagaceae) in Central Yunnan, China	25791200
PMC4535130	2015	39991	Parasitism, Emergence, and Development of Spalangia endius (Hymenoptera: Pteromalidae) in Pupae of Different Ages of Bactrocera cucurbitae (Diptera: Tephritidae)	25700538
PMC4553526	2014	44617	Aggression in Tephritidae Flies: Where, When, Why? Future Directions for Research in Integrated Pest Management	26463064
PMC4255788	2014	43001	The Bactrocera dorsalis species complex: comparative cytogenetic analysis in support of Sterile Insect Technique applications	25471636
PMC4255779	2014	28531	How functional genomics will impact fruit fly pest control: the example of the Mediterranean fruit fly, Ceratitis capitata	25471105
PMC4222308	2014	48596	Effect of temperature on the development and survival of immature stages of the carambola fruit fly, Bactrocera carambolae, and the Asian papaya fruit fly, Bactrocera papayae, reared on guava diet	25368070
PMC4070923	2014	293605	The Complete Nucleotide Sequence of the Mitochondrial Genome of Bactrocera minax (Diptera: Tephritidae)	24964138
PMC3978049	2014	81092	De novo Cloning and Annotation of Genes Associated with Immunity, Detoxification and Energy Metabolism from the Fat Body of the Oriental Fruit Fly, Bactrocera dorsalis	24710118
PMC3976405	2014	47160	Identification of the Key Weather Factors Affecting Overwintering Success of Apolygus lucorum Eggs in Dead Host Tree Branches	24705353
PMC3937438	2014	98629	Niche Overlap of Congeneric Invaders Supports a Single-Species Hypothesis and Provides Insight into Future Invasion Risk: Implications for Global Management of the Bactrocera dorsalis Complex	24587234
PMC3914838	2014	55661	Transcriptomics and Identification of the Chemoreceptor Superfamily of the Pupal Parasitoid of the Oriental Fruit Fly, Spalangia endius Walker (Hymenoptera: Pteromalidae)	24505315
PMC3828357	2013	54725	Molecular Characterization and Chromosomal Distribution of a Species-Specific Transcribed Centromeric Satellite Repeat from the Olive Fruit Fly, Bactrocera oleae	24244494
PMC3757976	2013	53168	From trickle to flood: the large-scale, cryptic invasion of California by tropical fruit flies	23926154
PMC3682933	2013	106366	Developing diagnostic SNP panels for the identification of true fruit flies (Diptera: Tephritidae) within the limits of COI-based species delimitation	23718854
PMC3522149	2012	164682	The Am-tra2 Gene Is an Essential Regulator of Female Splice Regulation at Two Levels of the Sex Determination Hierarchy of the Honeybee	22942126
PMC4553566	2012	67256	Application of Nuclear Techniques to Improve the Mass Production and Management of Fruit Fly Parasitoids	26466729
PMC3444503	2012	78978	Taxonomic Identity of the Invasive Fruit Fly Pest, Bactrocera invadens: Concordance in Morphometry and DNA Barcoding	23028649
PMC3500151	2012	83016	Methyl Eugenol: Its Occurrence, Distribution, and Role in Nature, Especially in Relation to Insect Behavior and Pollination	22963669
PMC3302808	2012	127482	Positive and Purifying Selection Influence the Evolution of Doublesex in the Anastrepha fraterculus Species Group	22428050
PMC3462397	2011	25601	Molecular Phylogeny and Identification of the Peach Fruit Fly, Bactrocera zonata, Established in Egypt	22958094
PMC3049792	2011	69370	Interchromosomal Duplications on the Bactrocera oleae Y Chromosome Imply a Distinct Evolutionary Origin of the Sex Chromosomes Compared to Drosophila	21408187
PMC3045327	2011	94798	Genomic organization and splicing evolution of the doublesex gene, a Drosophila regulator of sexual differentiation, in the dengue and yellow fever mosquito Aedes aegypti	21310052
PMC3014653	2010	37800	Pre-Release Consumption of Methyl Eugenol Increases the Mating Competitiveness of Sterile Males of the Oriental Fruit Fly, Bactrocera dorsalis, in Large Field Enclosures	20569140
PMC2635384	2008	119189	Isolation and characterization of microsatellite markers from the olive fly, Bactrocera oleae, and their cross-species amplification in the Tephritidae family	19099577
