pmcid	year	count	title	pubmedid
PMC7490381	2020	36114	Male-lure type, lure dosage, and fly age at feeding all influence male mating success in Jarvis' fruit fly	
PMC7479100	2020	56237	Caffeine as a promotor of sexual development in sterile Queensland fruit fly males	
PMC7474526	2020	57424	Identification and Expression Profiles of 14 Odorant-Binding Protein Genes From Pieris rapae (Lepidoptera: Pieridae)	32889524
PMC7488584	2020	50917	Odorant-Binding Proteins Contribute to the Defense of the Red Flour Beetle, Tribolium castaneum, Against Essential Oil of Artemisia vulgaris	
PMC7503466	2020	35995	Lipid Dynamics, Identification, and Expression Patterns of Fatty Acid Synthase Genes in an Endoparasitoid, Meteorus pulchricornis (Hymenoptera: Braconidae)	
PMC7444934	2021	54390	Applications of an electronic nose in the prediction of oxidative stability of stored biodiesel derived from soybean and waste cooking oil	32863405
PMC7433769	2020	38300	A Novel Solid Artificial Diet for Zeugodacus cucurbitae (Diptera: Tephritidae) Larvae With Fitness Parameters Assessed by Two-Sex Life Table	32809019
PMC7469148	2020	61397	Functional Variation in Dipteran Gut Bacterial Communities in Relation to Their Diet, Life Cycle Stage and Habitat	32824605
PMC7439961	2020	95962	Determination of fitness traits of Orius strigicollis Poppius (Hemiptera: Anthocoridae) on Pectinophora gossypiella (Lepidoptera: Gelechiidae) using two-sex life table analysis	32874777
PMC7456853	2020	117879	Integrative Proteomic and MicroRNA Analysis: Insights Into Mechanisms of Eyestalk Ablation-Induced Ovarian Maturation in the Swimming Crab Portunus trituberculatus	32922361
PMC7438476	2020	65892	Bt, Not a Threat to Propylea japonica	32903558
PMC7469153	2020	33696	Radioprotective Effects on Late Third-Instar Bactrocera dorsalis (Diptera: Tephritidae) Larvae in Low-Oxygen Atmospheres	32806714
PMC7472377	2020	48468	The Tripartite Interaction of Host Immunity_Bacillus thuringiensis Infection_Gut Microbiota	32806491
PMC7431611	2020	85864	Comparative Microbiomics of Tephritid Frugivorous Pests (Diptera: Tephritidae) From the Field: A Tale of High Variability Across and Within Species	32849469
PMC7469164	2020	28257	Bacterial Communities in Three Parts of Intestinal Tracts of Carpenter Bees (Xylocopa tenuiscapa)	32756386
PMC7391001	2020	168581	Pest categorisation of Haplaxius crudus	32742440
PMC7469209	2020	40156	Thermal Effects on the Population Parameters and Growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae)	32751320
PMC7391711	2020	52465	Clathrin mediated endocytosis is involved in the uptake of exogenous double-stranded RNA in the white mold phytopathogen Sclerotinia sclerotiorum	32728195
PMC7380273	2020	74508	Identification and expression pattern of chemosensory genes in the transcriptome of Propsilocerus akamusi	32742817
PMC7452774	2020	45075	The paradoxical rarity of a fruit fly fungus attacking a broad range of hosts	32884663
PMC7458406	2020	44375	Chain reactions: molecular mechanisms of RBR ubiquitin ligases	32677670
PMC7363081	2020	106426	Thermal effect on the fecundity and longevity of Bactrocera dorsalis adults and their improved oviposition model	32667946
PMC7404779	2020	74645	Non-Destructive Technologies for Detecting Insect Infestation in Fruits and Vegetables under Postharvest Conditions: A Critical Review	32674380
PMC7404022	2020	35237	De Novo Assembly of the Asian Citrus Psyllid Diaphorina citri (Hemiptera: Psyllidae) Transcriptome across Developmental Stages	32674498
PMC7366552	2020	89952	A Shift Pattern of Bacterial Communities Across the Life Stages of the Citrus Red Mite, Panonychus citri	32754145
PMC7412565	2020	41121	Landscape Vegetation Productivity Influences Population Dynamics of Key Pests in Small Avocado Farms in Kenya	32659943
PMC7339632	2020	170128	Pest categorisation of Helicoverpa zea	32665793
PMC7339215	2020	183347	Pest categorisation of tomato leaf curl New Delhi virus	32665794
PMC7332975	2020	207870	Pest categorisation of the Andean Potato Weevil (<styled-content style="fixed-case" toggle="no">APW) complex (Coleoptera: Curculionidae)	32641976
PMC7411770	2020	17739	RNAi in Insects: A Revolution in Fundamental Research and Pest Control Applications	32635402
PMC7329829	2020	66522	Genome-wide patterns of differentiation over space and time in the Queensland fruit fly	32612249
PMC7391548	2020	95140	Odorant receptor phylogeny confirms conserved channels for sex pheromone and host plant signals in tortricid moths	32760532
PMC7340173	2020	73054	Variability of Gut Microbiota Across the Life Cycle of Grapholita molesta (Lepidoptera: Tortricidae)	32714300
PMC7396349	2020	138758	Genetic characterization and phylogenetic study of Lakor goat from Southwest Maluku Regency based on mitochondrial COI gene	32801575
PMC7320877	2020	62482	Novel Experimental Methods for the Investigation of Hermetia illucens (Diptera: Stratiomyidae) Larvae	32593171
PMC7412485	2020	33009	Discovery of Two Novel Negeviruses in a Dungfly Collected from the Arctic	32604989
PMC7349299	2020	42061	Phylogeography of Organophosphate Resistant ace Alleles in Spanish Olive Fruit Fly Populations: A Mediterranean Perspective in the Global Change Context	32604835
PMC7347240	2020	122844	Expansions of chemosensory gene orthologs among selected tsetse fly species and their expressions in Glossina morsitans morsitans tsetse fly	32589659
PMC7448044	2020	161690	Pest categorisation of Ripersiella hibisci	32874345
PMC7343183	2020	69576	JNK pathway plays a key role in the immune system of the pea aphid and is regulated by microRNA-184	32584915
PMC7314547	2020	99919	Echinoderms provide missing link in the evolution of PrRP/sNPF-type neuropeptide signalling	32579512
PMC7340324	2020	81027	The brachyceran de novo gene PIP82, a phosphorylation target of aPKC, is essential for proper formation and maintenance of the rhabdomeric photoreceptor apical domain in Drosophila	32579558
PMC7496652	2020	85346	Evolutionary trade-offs of insecticide resistance - The fitness costs associated with target-site mutations in the nAChR of Drosophila melanogaster	
PMC7355451	2020	28251	Zingerone in the Flower of Passiflora maliformis Attracts an Australian Fruit Fly, Bactrocera jarvisi (Tryon)	32580521
PMC7325966	2020	49903	Identification and Expression Profiling of Chemosensory Genes in Hermetia illucens via a Transcriptomic Analysis	32655421
PMC7348963	2020	44215	Modified Atmosphere Does Not Reduce the Efficacy of Phytosanitary Irradiation Doses Recommended for Tephritid Fruit Flies	32549285
PMC7293347	2020	44903	A LAMP assay for the detection of Bactrocera tryoni Queensland fruit fly (Diptera: Tephritidae)	32533005
PMC7298100	2020	36572	Involvement of Two Paralogous Methoprene-Tolerant Genes in the Regulation of Vitellogenin and Vitellogenin Receptor Expression in the Rice Stem Borer, Chilo suppressalis	32587605
PMC7312704	2020	35310	Molecular Modeling of Chemosensory Protein 3 from Spodoptera litura and Its Binding Property with Plant Defensive Metabolites	32517283
PMC7283806	2020	116819	Wolbachia pipientis Associated With Tephritid Fruit Fly Pests: From Basic Research to Applications	32582067
PMC7349215	2020	40990	Detection of Wolbachia Infections in Natural and Laboratory Populations of the Moroccan Hessian Fly, Mayetiola destructor (Say)	32498270
PMC7349759	2020	43005	Molecular Cloning and Characterization of Five Glutathione S-Transferase Genes and Promoters from Micromelalopha troglodyta (Graeser) (Lepidoptera: Notodontidae) and Their Response to Tannic Acid Stress	32492871
PMC7262741	2020	44711	Cold Disinfestation for 'Red Globe' Grape (Rhamnales: Vitaceae) Infested With Drosophila suzukii (Diptera: Drosophilidae)	32478839
PMC7356871	2020	39416	Phytochemistry, Toxicology and Therapeutic Value of Petasites hybridus Subsp. Ochroleucus (Common Butterbur) from the Balkans	32486467
PMC7349101	2020	31964	Enzymology, Histological and Ultrastructural Effects of Ar-Turmerone on Culex pipiens pallens Larvae	32486189
PMC7274079	2020	51517	A Novel miRNA-hlo-miR-2-Serves as a Regulatory Factor That Controls Molting Events by Targeting CPR1 in Haemaphysalis longicornis Nymphs	32547523
PMC7273966	2020	43189	Botanical Volatiles Selection in Mediating Electrophysiological Responses and Reproductive Behaviors for the Fall Webworm Moth Hyphantria cunea	32547409
PMC7350354	2020	40140	Host Species Determines the Composition of the Prokaryotic Microbiota in Phlebotomus Sandflies	32485988
PMC7496464	2020	72510	Spatiotemporal Controllability and Environmental Risk Assessment of Genetically Engineered Gene Drive Organisms from the Perspective of European Union Genetically Modified Organism Regulation	
PMC7356580	2020	60345	Microbiome of the Queensland Fruit Fly through Metamorphosis	32466500
PMC7290859	2020	41500	Transcriptome Analysis of the Oriental Fruit Fly Bactrocera dorsalis Early Embryos	32456171
PMC7238629	2020	50311	The tree that hides the forest: cryptic diversity and phylogenetic relationships in the Palaearctic vector Obsoletus/Scoticus Complex (Diptera: Ceratopogonidae) at the European level	32434592
PMC7247421	2020	45818	Role of Biogenic Amines in Oviposition by the Diamondback Moth, Plutella xylostella L	32528307
PMC7290347	2020	66730	Host Plant and Antibiotic Effects on Scent Bouquet Composition of Anastrepha ludens and Anastrepha obliqua Calling Males, Two Polyphagous Tephritid Pests	32423147
PMC7291056	2020	39984	Potential Distribution and the Risks of Bactericera cockerelli and Its Associated Plant Pathogen Candidatus Liberibacter Solanacearum for Global Potato Production	32408479
PMC7221030	2020	194281	The Role of Peptide Hormones in Insect Lipid Metabolism	32457651
PMC7218075	2020	42607	Imaginal Disc Growth Factor 6 (Idgf6) Is Involved in Larval and Adult Wing Development in Bactrocera correcta (Bezzi) (Diptera: Tephritidae)	32435262
PMC7207210	2020	66558	Cloning, expression and characterization of a chitinase from Paenibacillus chitinolyticus strain UMBR 0002	32411515
PMC7197948	2020	47132	Identifications, Characteristics, and Expression Patterns of Small Heat Shock Protein Genes in a Major Mulberry Pest, Glyphodes pyloalis (Lepidoptera: Pyralidae)	32365175
PMC7197780	2020	57883	Effect of ovarian stimulation on the expression of piRNA pathway proteins	32365144
PMC7290822	2020	23758	Assessment of Shape Variation Patterns in Triatoma infestans (Klug 1834) (Hemiptera: Reduviidae: Triatominae): A First Report in Populations from Bolivia	32365855
PMC7290837	2020	69810	Using a Two-Sex Life Table Tool to Calculate the Fitness of Orius strigicollis as a Predator of Pectinophora gossypiella	32365977
PMC7192390	2020	73560	Dual oxidase Duox and Toll-like receptor 3 TLR3 in the Toll pathway suppress zoonotic pathogens through regulating the intestinal bacterial community homeostasis in Hermetia illucens L.	32352968
PMC7188857	2020	43900	Biological and molecular characterization of Aromia bungii (Faldermann, 1835) (Coleoptera: Cerambycidae), an emerging pest of stone fruits in Europe	32346054
PMC7264748	2020	75259	Honey bee (Apis mellifera) gut microbiota promotes host endogenous detoxification capability via regulation of P450 gene expression in the digestive tract	32338446
PMC7181599	2020	41812	Highly variable COI haplotype diversity between three species of invasive pest fruit fly reflects remarkably incongruent demographic histories	32327680
PMC7448086	2020	149700	Pest categorisation of Naupactus leucoloma	32874305
PMC7448047	2020	185123	Pest categorisation of Exomala orientalis	32874304
PMC7186344	2020	46341	Adjusting the Prerelease Gut Microbial Community by Diet Training to Improve the Postrelease Fitness of Captive-Bred Acipenser dabryanus	32373077
PMC7187958	2020	48165	Double-Stranded RNA Technology to Control Insect Pests: Current Status and Challenges	32373146
PMC7240487	2020	33971	Identification and Functional Analysis of Two Chitin Synthase Genes in the Common Cutworm, Spodoptera litura	32316461
PMC7160969	2020	89960	Genetic diversity and differentiation of populations of Chlorops oryzae (Diptera, Chloropidae)	32295587
PMC7176356	2020	111145	Multiple Factors Determine the Structure of Bacterial Communities Associated With Aedes albopictus Under Artificial Rearing Conditions	32351473
PMC7174603	2020	58867	Functional Analysis of Two Odorant-Binding Proteins, MaltOBP9 and MaltOBP10, in Monochamus alternatus Hope	32351402
PMC7185725	2020	107764	Gut microbiota promotes host resistance to low-temperature stress by stimulating its arginine and proline metabolism pathway in adult Bactrocera dorsalis	32294136
PMC7250505	2020	44516	Nudivirus Remnants in the Genomes of Arthropods	32282886
PMC7148303	2020	42997	The sugar substitute erythritol shortens the lifespan of Aedes aegypti potentially by N-linked protein glycosylation	32277123
PMC7205772	2020	46979	Behavioural and Electrophysiological Responses of Female Anopheles gambiae Mosquitoes to Volatiles from a Mango Bait	32274623
PMC7145810	2020	44939	Synthesis of mesoporous silica post-loaded by methyl eugenol as an environment-friendly slow-release bio pesticide	32273543
PMC7154055	2020	25323	Anti-MRSA Activity of Actinomycin X2 and Collismycin A Produced by Streptomyces globisporus WA5-2-37 From the Intestinal Tract of American Cockroach (Periplaneta americana)	32318039
PMC7154139	2020	63221	Sublethal Effects of Triflumezopyrim on Biological Traits and Detoxification Enzyme Activities in the Small Brown Planthopper Laodelphax striatellus (Hemiptera: Delphacidae)	32317981
PMC7240563	2020	41332	Chemical Cues Induced from Fly-Oviposition Mediate the Host-Seeking Behaviour of Fopius arisanus (Hymenoptera: Braconidae), an Effective Egg Parasitoid of Bactrocera dorsalis (Diptera: Tephritidae), within a Tritrophic Context	32272643
PMC7232167	2020	40457	Symbioflor2(r)Escherichia coli Genotypes Enhance Ileal and Colonic Gene Expression Associated with Mucosal Defense in Gnotobiotic Mice	32260205
PMC7177437	2020	44516	Role of Chitin Deacetylase 1 in the Molting and Metamorphosis of the Cigarette Beetle Lasioderma serricorne	32244803
PMC7244894	2020	125638	Insights into the neutral and adaptive processes shaping the spatial distribution of genomic variation in the economically important Moroccan locust (Dociostaurus maroccanus)	32489626
PMC7136388	2020	113607	The Adipokinetic Peptides in Diptera: Structure, Function, and Evolutionary Trends	32296388
PMC7106766	2020	92243	De novo assembly of the olive fruit fly (Bactrocera oleae) genome with linked-reads and long-read technologies minimizes gaps and provides exceptional Y chromosome assembly	32228451
PMC7240746	2020	33025	Male-Biased Adult Production of the Striped Fruit Fly, Zeugodacus scutellata, by Feeding dsRNA Specific to Transformer-2	32231170
PMC4714073	2015	99371	Cytogenetic and symbiont analysis of five members of the B.dorsalis complex (Diptera, Tephritidae): no evidence of chromosomal or symbiont-based speciation events	26798263
PMC4714072	2015	159905	Gene flow and genetic structure of Bactroceracarambolae (Diptera, Tephritidae) among geographical differences and sister species, B.dorsalis, inferred from microsatellite DNA data	26798262
PMC4714068	2015	52176	Relevant genetic differentiation among Brazilian populations of Anastrephafraterculus (Diptera, Tephritidae)	26798258
PMC4714067	2015	146769	Evaluating mating compatibility within fruit fly cryptic species complexes and the potential role of sex pheromones in pre-mating isolation	26798257
PMC4714066	2015	137005	Taxonomy and phenotypic relationships of the Anastrephafraterculus complex in the Mesoamerican and Pacific Neotropical dominions (Diptera, Tephritidae)	26798256
PMC4714065	2015	31261	Sex chromosomes in mitotic and polytene tissues of Anastrephafraterculus (Diptera, Tephritidae) from Argentina: a review	26798255
PMC4714064	2015	128965	Morphometric divergence in populations of Anastrephaobliqua (Diptera, Tephritidae) from Colombia and some Neotropical locations	26798254
PMC4714063	2015	77596	Morphometric study of third-instar larvae from five morphotypes of the Anastrephafraterculus cryptic species complex (Diptera, Tephritidae)	26798253
PMC4714062	2015	154785	Resolving cryptic species complexes of major tephritid pests	26798252
PMC4714061	2015	10179	Editorial	26798251
PMC4658099	2015	41425	Is the Performance of a Specialist Herbivore Affected by Female Choices and the Adaptability of the Offspring?	26600074
PMC4654397	2015	25983	Developmental Biology of Zeugodacus cucurbitae (Diptera: Tephritidae) in Three Cucurbitaceous Hosts at Different Temperature Regimes	26589874
PMC4652233	2015	36861	Proteome analysis of male accessory gland secretions in oriental fruit flies reveals juvenile hormone-binding protein, suggesting impact on female reproduction	26582577
PMC4647701	2015	95668	Transcription analysis of neonicotinoid resistance in Mediterranean (MED) populations of B. tabaci reveal novel cytochrome P450s, but no nAChR mutations associated with the phenotype	26573457
PMC4638339	2015	121262	Global Transcriptome Analysis of the Tentacle of the Jellyfish Cyanea capillata Using Deep Sequencing and Expressed Sequence Tags: Insight into the Toxin- and Degenerative Disease-Related Transcripts	26551022
PMC4636264	2015	75937	siRNA-Mediated Silencing of doublesex during Female Development of the Dengue Vector Mosquito Aedes aegypti	26544686
PMC4636391	2015	115498	Insect Biometrics: Optoacoustic Signal Processing and Its Applications to Remote Monitoring of McPhail Type Traps	26544845
PMC4693176	2015	102097	Reproductive Behavior and Basic Biology of the Oriental Bamboo-Inhabiting Anoplomus rufipes and a Comparison with Frugivorous Dacinae Fruit Flies	26512699
PMC4619733	2015	132515	Potential Distribution Predicted for Rhynchophorus ferrugineus in China under Different Climate Warming Scenarios	26496438
PMC4622178	2015	38546	Projecting Distribution of the Overwintering Population of Sogatella furcifera (Hemiptera: Delphacidae), in Yunnan, China With Analysis on Key Influencing Climatic Factors	26494777
PMC4607999	2015	30260	Complete mitochondrial genome of Bactrocera arecae (Insecta: Tephritidae) by next-generation sequencing and molecular phylogeny of Dacini tribe	26472633
PMC4626671	2015	38324	Flight Capacity of Bactrocera dorsalis (Diptera: Tephritidae) Adult Females Based on Flight Mill Studies and Flight Muscle Ultrastructure	26450591
