pmcid	year	count	title	pubmedid
PMC7457495	2020	42434	Genome-wide analysis of long non-coding RNAs in adult tissues of the melon fly, Zeugodacus cucurbitae (Coquillett)	32867696
PMC7433769	2020	38300	A Novel Solid Artificial Diet for Zeugodacus cucurbitae (Diptera: Tephritidae) Larvae With Fitness Parameters Assessed by Two-Sex Life Table	32809019
PMC7431611	2020	85864	Comparative Microbiomics of Tephritid Frugivorous Pests (Diptera: Tephritidae) From the Field: A Tale of High Variability Across and Within Species	32849469
PMC7438863	2020	85520	Methanolic Extract of Winter Cherry Causes Morpho-Histological and Immunological Ailments in Mulberry Pyralid Glyphodes pyloalis	32903720
PMC7417453	2020	54354	Characterization of Two Mitochondrial Genomes and Gene Expression Analysis Reveal Clues for Variations, Evolution, and Large-Sclerotium Formation in Medical Fungus Wolfiporia cocos	32849413
PMC7346221	2020	126871	Terpenoids as Potential Geroprotectors	32560451
PMC7283806	2020	116819	Wolbachia pipientis Associated With Tephritid Fruit Fly Pests: From Basic Research to Applications	32582067
PMC7262741	2020	44711	Cold Disinfestation for 'Red Globe' Grape (Rhamnales: Vitaceae) Infested With Drosophila suzukii (Diptera: Drosophilidae)	32478839
PMC7290347	2020	66730	Host Plant and Antibiotic Effects on Scent Bouquet Composition of Anastrepha ludens and Anastrepha obliqua Calling Males, Two Polyphagous Tephritid Pests	32423147
PMC7278588	2020	56520	Effects of Traditional Processing Techniques on the Nutritional and Microbiological Quality of Four Edible Insect Species Used for Food and Feed in East Africa	32375385
PMC7181599	2020	41812	Highly variable COI haplotype diversity between three species of invasive pest fruit fly reflects remarkably incongruent demographic histories	32327680
PMC7240563	2020	41332	Chemical Cues Induced from Fly-Oviposition Mediate the Host-Seeking Behaviour of Fopius arisanus (Hymenoptera: Braconidae), an Effective Egg Parasitoid of Bactrocera dorsalis (Diptera: Tephritidae), within a Tritrophic Context	32272643
PMC7275689	2020	55426	Relative Tolerance of Three Morphotypes of the Anastrepha fraterculus Complex (Diptera: Tephritidae) to Cold Phytosanitary Treatment	32161970
PMC7060752	2020	33090	Evaluating the repellent effect of four botanicals against two Bactrocera species on mangoes	32181051
PMC6994132	2020	42284	Towards the implementation of a DNA barcode library for the identification of Peruvian species of Anastrepha (Diptera: Tephritidae)	32004351
PMC6938351	2019	39477	Irradiation dose response under hypoxia for the application of the sterile insect technique in Drosophila suzukii	31891597
PMC7050614	2019	81544	Detection and characterization of bacterial endosymbionts inSoutheast Asian tephritid fruit fly populations	31870298
PMC6929517	2019	60294	Tephritid-microbial interactions to enhance fruit fly performance in sterile insect technique programs	31870316
PMC6929413	2019	46250	Diet and irradiation effects on the bacterial community composition and structure in the gut of domesticated teneral and mature Queensland fruit fly, Bactrocera tryoni (Diptera: Tephritidae)	31870300
PMC6918544	2019	45738	Potential of a fly gut microbiota incorporated gel-based larval diet for rearing Bactrocera dorsalis (Hendel)	31847853
PMC6955761	2019	30727	The Effects of a Cold Disinfestation on Bactrocera dorsalis Survival and Navel Orange Quality	31847197
PMC6956326	2019	38508	New Species-Specific Primers for Molecular Diagnosis of Bactrocera minax and Bactrocera tsuneonis (Diptera: Tephritidae) in China Based on DNA Barcodes	31842348
PMC6955806	2019	38616	The Complete Mitochondrial Genome of Bactrocera carambolae (Diptera: Tephritidae): Genome Description and Phylogenetic Implications	31795125
