pmcid	year	count	title	pubmedid
PMC7485214	2020	64213	Expansion of the Emerging Fungal Pathogen Cryptococcus bacillisporus Into America: Linking Phylogenetic Origin, Geographical Spread and Population Under Exposure Risk	
PMC7412047	2020	52314	Evaluation of the Physiological Host Range for the Parasitoid Ooencyrtus mirus, a Potential Biocontrol Agent of Bagrada hilaris	32664427
PMC7303229	2020	442532	Notes on the hosts of Trissolcus Ashmead (Hymenoptera: Scelionidae) from China	32581638
PMC7349340	2020	20887	Optimizing Trap Characteristics to Monitor the Leaffooted Bug Leptoglossuszonatus (Heteroptera: Coreidae) in Orchards	32526906
PMC7349029	2020	24921	Developmental Differences on the Internal Reproductive Systems between the Prediapause and Prereproductive Riptortus pedestris Adults	32512728
PMC7290786	2020	38922	Life History Evaluation of Ooencyrtus lucidus, a Newly Described Egg Parasitoid of Bagrada hilaris	32397448
PMC7277602	2020	28063	Insecticidal and Enzyme Inhibitory Activities of Isothiocyanates against Red Imported Fire Ants, Solenopsis invicta	32380698
PMC7284966	2020	43340	Revealing Fungal Communities in Alpine Wetlands through Species Diversity, Functional Diversity and Ecological Network Diversity	32349397
PMC7180957	2020	31926	Preliminary Study on the Differences in Hydrocarbons Between Phosphine-Susceptible and -Resistant Strains of Rhyzopertha dominica (Fabricius) and Tribolium castaneum (Herbst) Using Direct Immersion Solid-Phase Microextraction Coupled with GC-MS	32235326
PMC7265894	2020	45302	Soil texture, infective juvenile concentration, and soil organic matter influence the efficacy of Steinernema feltiae isolate Lican Ray	32185943
PMC7074293	2020	30990	The Role of (E)-2-octenyl Acetate as a Pheromone of Bagrada hilaris (Burmeister): Laboratory and Field Evaluation	32050411
PMC6978528	2020	34885	Semiochemicals for intraspecific communication of the fig weevil Aclees sp. cf. foveatus (Coleoptera: Curculionidae): a first survey	31974464
PMC6981309	2020	42498	A fortuitous find: a unique haplotype of Ooencyrtusnezarae Ishii (Encyrtidae: <named-content content-type="subfamily">Encyrtinae) discovered in Florida	32002013
PMC6920760	2019	37745	Electrophysiological Responses of Eighteen Species of Insects to Fire Ant Alarm Pheromone	31739452
PMC6835878	2019	33147	New Method of Analysis of Lipids in Tribolium castaneum (Herbst) and Rhyzopertha dominica (Fabricius) Insects by Direct Immersion Solid-Phase Microextraction (DI-SPME) Coupled with GC_MS	31635132
PMC6681392	2019	39443	Influence of Insect Growth Regulators on Stephanitis pyrioides (Hemiptera: Tingidae) Eggs and Nymphs	31261681
PMC6472788	2019	66568	Influence of starvation on walking behavior of Bagrada hilaris (Hemiptera: Pentatomidae)	30998722
PMC6307740	2018	46665	Volatile unsaturated hydrocarbons emitted by seedlings of Brassica species provide host location cues to Bagrada hilaris	30589910
PMC6316785	2018	23421	Comparisons of Citizen Science Data-Gathering Approaches to Evaluate Urban Butterfly Diversity	30563191
PMC6164602	2018	29135	Behavioral Response of Leptoglossus zonatus (Heteroptera: Coreidae) to Stimuli Based on Colors and its Aggregation Pheromone	30049945
PMC5798814	2018	68437	A roadmap for breeding orphan leafy vegetable species: a case study of Gynandropsis gynandra (Cleomaceae)	29423232
PMC5661020	2017	119115	Capparis spinosa L. in A Systematic Review: A Xerophilous Species of Multi Values and Promising Potentialities for Agrosystems under the Threat of Global Warming	29118777
PMC5578635	2017	83848	Solid-phase microextraction-based cuticular hydrocarbon profiling for intraspecific delimitation in Acyrthosiphon pisum	28859151
PMC5538325	2017	20155	Allantoin Crystal Formation in Bagrada hilaris (Burmeister) (Heteroptera: Pentatomidae) Females	28973574
PMC5492069	2017	48735	A Transcriptome Survey Spanning Life Stages and Sexes of the Harlequin Bug, Murgantia histrionica	28587099
PMC5344380	2017	45082	Spatiotemporal dynamics of the Southern California Asian citrus psyllid (Diaphorina citri) invasion	28278188
PMC4767901	2016	52827	Real-Time PCR Assay for the Identification of the Brown Marmorated Stink Bug (Halyomorpha halys)	26955631
PMC4256200	2014	68851	Electronically Monitored Labial Dabbing and Stylet 'Probing' Behaviors of Brown Marmorated Stink Bug, Halyomorpha halys, in Simulated Environments	25474148
PMC4592587	2014	69281	Semiochemical and Vibrational Cues and Signals Mediating Mate Finding and Courtship in Psylloidea (Hemiptera): A Synthesis	26462826
