pmcid	year	count	title	pubmedid
PMC7370496	2020	56167	Characterization of the bacterial communities of psyllids associated with Rutaceae in Bhutan by high throughput sequencing	32689950
PMC7291171	2020	45109	Can Vibrational Playbacks Disrupt Mating or Influence Other Relevant Behaviours in Bactericera cockerelli (Triozidae: Hemiptera)?	32408539
PMC7098582	2020	187795	A diagnostic real-time PCR assay for the rapid identification of the tomato-potato psyllid, Bactericera cockerelli (&#x160;ulc, 1909) and development of a psyllid barcoding database	32214353
PMC7084730	2020	32549	JA-Ile-Macrolactone 5b Induces Tea Plant (Camellia sinensis) Resistance to Both Herbivore Ectropis obliqua and Pathogen Colletotrichum camelliae	32155845
PMC7074267	2020	50989	New Tools for Conservation Biological Control: Testing Ant-Attracting Artificial Nectaries to Employ Ants as Plant Defenders	32079350
PMC7008834	2020	528319	Pest categorisation of the non-<styled-content style="fixed-case" toggle="no">EU phytoplasmas of Cydonia Mill., Fragaria L., Malus Mill., Prunus L., Pyrus L., Ribes L., Rubus L. and Vitis L.	32626484
PMC6628306	2019	35099	Chemosensory Gene Families in the Oligophagous Pear Pest Cacopsylla chinensis (Hemiptera: Psyllidae)	31212973
PMC6562688	2019	45719	Full-Length Multi-Barcoding: DNA Barcoding from Single Ingredient to Complex Mixtures	31067783
PMC6478344	2019	72699	Different predation capacities and mechanisms of Harmonia axyridis (Coleoptera: Coccinellidae) on two morphotypes of pear psylla Cacopsylla chinensis (Hemiptera: Psyllidae)	31013311
PMC6523298	2019	41601	Scanning Electron Microscopy of the Antennal Sensilla and Their Secretion Analysis in Adults of Aromia bungii (Faldermann, 1835) (Coleoptera, Cerambycidae)	30925753
PMC6408394	2019	45460	When a male perceives a female: the effect of waxy components on the body surface on decision-making in the invasive pest weevil	30891277
PMC5908961	2018	44744	Unraveling the Host Plant Alternation of Cacopsylla pruni _ Adults but Not Nymphs Can Survive on Conifers Due to Phloem/Xylem Composition	29706983
PMC5764970	2018	44232	Putative sex pheromone of the Asian citrus psyllid, Diaphorina citri, breaks down into an attractant	29323263
PMC5746788	2017	43654	Stability of Cacopsylla pyricola (Hemiptera: Psyllidae) Populations in Pacific Northwest Pear Orchards Managed with Long-Term Mating Disruption for Cydia pomonella (Lepidoptera: Tortricidae)	28974000
PMC5423934	2017	1502	Corrigendum: Characterization of Reproductive Dormancy in Male Drosophila melanogaster	28496417
PMC5416828	2017	22524	Elicitors of Host Plant Defenses Partially Suppress Cacopsylla pyricola (Hemiptera: Psyllidae) Populations Under Field Conditions	28365771
PMC5371944	2017	46178	Male Psyllids Differentially Learn in the Context of Copulation	28178203
PMC5101605	2016	87791	Host plant affects morphometric variation of Diaphorina citri (Hemiptera: Liviidae)	27833820
PMC5082361	2016	34182	Determining putative vectors of the Bogia Coconut Syndrome phytoplasma using loop-mediated isothermal amplification of single-insect feeding media	27786249
PMC4970995	2016	54217	Candidate insect vectors of apple proliferation in Northwest Spain	27536523
PMC4964372	2016	39260	Chitosan Effects on Plant Systems	27347928
PMC4659541	2015	29746	Spider Web DNA: A New Spin on Noninvasive Genetics of Predator and Prey	26606730
PMC4498736	2015	60711	Deep Characterization of the Microbiomes of Calophya spp. (Hemiptera: Calophyidae) Gall-Inducing Psyllids Reveals the Absence of Plant Pathogenic Bacteria and Three Dominant Endosymbionts	26161659
PMC4535573	2015	52744	Sublethal Effects of Fenoxycarb on the Plutella xylostella (Lepidoptera: Plutellidae)	26136495
PMC4535576	2015	31124	Relative Abundance of Carsonella ruddii (Gamma Proteobacterium) in Females and Males of Cacopsylla pyricola (Hemiptera: Psyllidae) and Bactericera cockerelli (Hemiptera: Triozidae)	26056318
PMC4592587	2014	69281	Semiochemical and Vibrational Cues and Signals Mediating Mate Finding and Courtship in Psylloidea (Hemiptera): A Synthesis	26462826
PMC3747115	2013	79339	Molecular Test to Assign Individuals within the Cacopsylla pruni Complex	23977301
PMC3744743	2013	152668	True bugs (Hemiptera, Heteroptera) as psyllid predators (Hemiptera, Psylloidea)	24003311
PMC3728767	2013	48255	Effect of non-crop vegetation types on conservation biological control of pests in olive groves	23904994
PMC4091108	2013	66949	Herbivory by the insect diaphorina citri induces greater change in citrus plant volatile profile than does infection by the bacterium, Candidatus Liberibacter asiaticus	23857364
PMC3546740	2012	63538	Plant Glandular Trichomes as Targets for Breeding or Engineering of Resistance to Herbivores	23235331
PMC3465933	2012	23468	A Molecular Approach to Identifying the Natural Prey of the African Creeping Water Bug Naucoris, A Potential Reservoir of Mycobacterium ulcerans	22934669
PMC3281414	2011	40116	A Method for Distinctly Marking Honey Bees, Apis mellifera, Originating from Multiple Apiary Locations	22236037
PMC3281484	2011	47906	Optimizing Immunomarking Systems and Development of a New Marking System Based on Wheat	21870973
PMC3281434	2011	44212	Temperature Studies with the Asian Citrus Psyllid, Diaphorina citri: Cold Hardiness and Temperature Thresholds for Oviposition	21870969
PMC3383422	2010	94593	Checklist of Iranian Encyrtids (Hymenoptera: Chalcidoidea) with Descriptions of New Species	20672988
