pmcid	year	count	title	pubmedid
PMC7518888	2020	144434	Symbiont-mediated cytoplasmic incompatibility: what have we learned in 50 years?	
PMC7421533	2020	433762	Commodity risk assessment of Jasminum polyanthum plants from Israel	32793314
PMC7469157	2020	59841	Effect of Temperature on Life History and Parasitization Behavior of Trichogramma achaeae Nagaraja and Nagarkatti (Hym.: Trichogrammatidae)	32751342
PMC7360630	2020	36165	Spatial and temporal sex ratio bias and Wolbachia-infection in New Zealand Crambidae (Lepidoptera: <named-content content-type="superfamily">Pyraloidea)	32733140
PMC7349277	2020	30841	The Effect of Rosmarinus officinalis Essential Oil Fumigation on Biochemical, Behavioral, and Physiological Parameters of Callosobruchus maculatus	32503195
PMC7425788	2020	31249	Light Traps in Shipping Containers: A New Tool for the Early Detection of Insect Alien Species	32412049
PMC7073712	2020	47941	Species Composition, Temporal Abundance and Distribution of Insect Captures Inside and Outside Commercial Peanut Shelling Facilities	32050416
PMC6988935	2020	58333	Differential expression of heat shock proteins and antioxidant enzymes in response to temperature, starvation, and parasitism in the Carob moth larvae, Ectomyelois ceratoniae (Lepidoptera: Pyralidae)	31995629
PMC6967388	2020	98713	Transgenic Testing Does Not Support a Role for Additional Candidate Genes in Wolbachia Male Killing or Cytoplasmic Incompatibility	31937677
PMC7022865	2019	26399	The Effect of Longwave Ultraviolet Light Radiation on Dendrolimus tabulaeformis Antioxidant and Detoxifying Enzymes	31861292
PMC6869320	2019	57487	Transcriptome analysis of the almond moth, Cadra cautella, female abdominal tissues and identification of reproduction control genes	31752675
PMC6864215	2019	43086	Prediction of survival ratios of Cadra cautella (Lepidoptera: Pyralidae) different life stages after treated with ultraviolet radiation in dates	31762596
PMC6843565	2019	25796	Sugar_Acetic Acid_Ethanol_Water Mixture as a Potent Attractant for Trapping the Oriental Fruit Moth (Lepidoptera: Tortricidae) in Peach_Apple Mixed-Planting Orchards	31597399
PMC6836213	2019	21761	Improving Stored Product Insect Pest Management: From Theory to Practice	31590315
PMC6777490	2019	25190	Suppression of Wolbachia-mediated male-killing in the butterfly Hypolimnas bolina involves a single genomic region	31592190
PMC6835568	2019	55640	Sex Pheromone Aerosol Devices for Mating Disruption: Challenges for a Brighter Future	31547095
PMC6758599	2019	70581	Genetic Diversity and Wolbachia Infection Patterns in a Globally Distributed Invasive Ant	31608104
PMC6736233	2019	127342	The phage gene wmk is a candidate for male killing by a bacterial endosymbiont	31504075
PMC6740152	2019	62249	Successful Invasions of Short Internally Deleted Elements (SIDEs) and Its Partner CR1 in Lepidoptera Insects	31384954
PMC6723273	2019	124134	Tools in the Investigation of Volatile Semiochemicals on Insects: From Sampling to Statistical Analysis	31390759
PMC6688386	2019	97865	Insect Odorscapes: From Plant Volatiles to Natural Olfactory Scenes	31427985
PMC6638262	2019	71918	Effect of Ephestia kuehniella (Lepidoptera: Pyralidae) Larval Diet on Egg Quality and Parasitism by Trichogramma brassicae (Hymenoptera: Trichogrammatidae)	31319420
PMC6592540	2019	35821	Effect of Age-Dependent Parasitism in Eggs of Tuta absoluta (Lepidoptera: Gelechiidae) on Intraguild Predation Between Nabis pseudoferus (Hemiptera: Nabidae) and Trichogramma brassicae (Hymenoptera: Trichogrammatidae)	31234208
PMC6571962	2019	65953	Minimal Thermal Requirements for Development and Activity of Stored Product and Food Industry Pests (Acari, Coleoptera, Lepidoptera, Psocoptera, Diptera and Blattodea): A Review	31126156
