pmcid	year	count	title	pubmedid
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7291086	2020	46386	Evaluation of the Potential of Fungal Biopesticides for the Biological Control of the Seed Bug, Elasmolomus pallens (Dallas) (Hemiptera: Rhyparochromidae)	32370090
PMC7034978	2020	88367	Targeted induction of a silent fungal gene cluster encoding the bacteria-specific germination inhibitor fumigermin	32083553
PMC6836213	2019	21761	Improving Stored Product Insect Pest Management: From Theory to Practice	31590315
PMC6780364	2019	41987	Emigration Effects Induced by Radio Frequency Treatment to Dates Infested by Carpophilus hemipterus	31461918
PMC6563255	2019	57257	Tremorgenic Mycotoxins: Structure Diversity and Biological Activity	31137882
PMC6571962	2019	65953	Minimal Thermal Requirements for Development and Activity of Stored Product and Food Industry Pests (Acari, Coleoptera, Lepidoptera, Psocoptera, Diptera and Blattodea): A Review	31126156
PMC6018495	2018	71274	Molecular detection of small hive beetle Aethina tumida Murray (Coleoptera: Nitidulidae): DNA barcoding and development of a real-time PCR assay	29942045
PMC5916228	2017	188316	Physiology, ecology and industrial applications of aroma formation in yeast	28830094
PMC5345375	2017	692275	The beetle fauna (<named-content content-type="class">Insecta, Coleoptera) of the Rawdhat Khorim National Park, Central Saudi Arabia	28331393
PMC5267528	2016	390546	New records and detailed distribution and abundance of selected arthropod species collected between 1999 and 2011 in Azorean native forests	28174509
PMC4868922	2016	3077254	Litteratura Coleopterologica (1758_1900): a guide to selected books related to the taxonomy of Coleoptera with publication dates and notes	
PMC4829933	2016	972438	Checklist of the Coleoptera of New Brunswick, Canada	27110174
PMC4557006	2015	176012	Marine Indole Alkaloids	26287214
PMC4592618	2014	33300	Factors Affecting Pheromone Production by the Pepper Weevil, Anthonomus eugenii Cano (Coleoptera: Curculionidae) and Collection Efficiency	26462948
PMC5634056	2014	55737	Insect Fauna Associated WithAnacardium occidentale(Sapindales: Anacardiaceae) in Benin, West Africa	25434033
PMC4553470	2013	69621	The Non-Photosynthetic Algae Helicosporidium spp.: Emergence of a Novel Group of Insect Pathogens	26462425
PMC3312420	2011	1734753	A catalogue of Lithuanian beetles (Insecta, Coleoptera)	22461725
PMC3076224	2011	47255	Evaluation and modeling of synergy to pheromone and plant kairomone in American palm weevil	21463509
PMC3153271	2010	97312	Chemical, Physical and Biological Approaches to Prevent Ochratoxin Induced Toxicoses in Humans and Animals	22069658
