pmcid	year	count	title	pubmedid
PMC7479100	2020	56237	Caffeine as a promotor of sexual development in sterile Queensland fruit fly males	
PMC7470329	2020	74930	Toward implementation of combined incompatible and sterile insect techniques for mosquito control: Optimized chilling conditions for handling Aedes albopictus male adults prior to release	32881871
PMC7488584	2020	50917	Odorant-Binding Proteins Contribute to the Defense of the Red Flour Beetle, Tribolium castaneum, Against Essential Oil of Artemisia vulgaris	
PMC7473531	2020	120673	Gluconeogenesis and PEPCK are critical components of healthy aging and dietary restriction life extension	32841230
PMC7478134	2020	45890	Model prediction of a Kunitz-type trypsin inhibitor protein from seeds of Acacia nilotica L. with strong antimicrobial and insecticidal activity	32922126
PMC7433769	2020	38300	A Novel Solid Artificial Diet for Zeugodacus cucurbitae (Diptera: Tephritidae) Larvae With Fitness Parameters Assessed by Two-Sex Life Table	32809019
PMC7433767	2020	35977	Morphological and Developmental Traits of the Binucleation of Male Accessory Gland Cells in the Benthic Water Bug, Aphelocheirus vittatus (Hemiptera: Aphelochiridae)	32809023
PMC7469148	2020	61397	Functional Variation in Dipteran Gut Bacterial Communities in Relation to Their Diet, Life Cycle Stage and Habitat	32824605
PMC7464534	2020	43600	Mode and Tempo of Microsatellite Evolution across 300 Million Years of Insect Evolution	32824315
PMC7469150	2020	40828	Genetic Differentiation of a New World Screwworm Fly Population from Uruguay Detected by SNPs, Mitochondrial DNA and Microsatellites in Two Consecutive Years	32824385
PMC7469193	2020	43330	Impacts of Dietary Nutritional Composition on Larval Development and Adult Body Composition in the Yellow Fever Mosquito (Aedes aegypti)	32824225
PMC7469186	2020	42899	Synergism between Hydramethylnon and Metarhizium anisopliae and Their Influence on the Gut Microbiome of Blattella germanica (L.)	32824260
PMC7469188	2020	33769	Cellular Localization of Two Rickettsia Symbionts in the Digestive System and within the Ovaries of the Mirid Bug, Macrolophous pygmaeus	32823761
PMC7434986	2020	58028	Hydrolytic Profile of the Culturable Gut Bacterial Community Associated With Hermetia illucens	32903451
PMC7469153	2020	33696	Radioprotective Effects on Late Third-Instar Bactrocera dorsalis (Diptera: Tephritidae) Larvae in Low-Oxygen Atmospheres	32806714
PMC7431611	2020	85864	Comparative Microbiomics of Tephritid Frugivorous Pests (Diptera: Tephritidae) From the Field: A Tale of High Variability Across and Within Species	32849469
PMC7416404	2020	61788	Species diversity of different insect families trapped under beer-based volatile fermentation	32789300
PMC7414794	2020	64048	Odorant Binding Proteins and Chemosensory Proteins in Episyrphus balteatus (Diptera: Syrphidae): Molecular Cloning, Expression Profiling, and Gene Evolution	32770251
PMC7438932	2020	104535	Dynamic Courtship Signals and Mate Preferences in Sepia plangon	32903768
PMC7424033	2020	91302	Protein Stores Regulate When Reproductive Displays Begin in the Male Caribbean Fruit Fly	32848894
PMC7410255	2020	75188	Eradicating the large white butterfly from New Zealand eliminates a threat to endemic Brassicaceae	32760094
PMC7413255	2020	31107	Callosobruchus embryo struggle to guarantee progeny production	32764669
PMC7411030	2020	52888	A novel formulation technology for baculoviruses protects biopesticide from degradation by ultraviolet radiation	32764606
PMC7469183	2020	41462	Essential Oils as Post-Harvest Crop Protectants against the Fruit Fly Drosophila suzukii: Bioactivity and Organoleptic Profile	32764515
PMC7403345	2020	94485	Genomic analyses of a livestock pest, the New World screwworm, find potential targets for genetic control programs	32753684
PMC7469189	2020	32036	The Mayan Tropical Rainforest: An Uncharted Reservoir of Tritrophic Host-Fruit Fly-Parasitoid Interactions	32756345
PMC7395136	2020	82517	The historical and current research progress on jujube_a superfruit for the future	32821402
PMC7469177	2020	45694	The Gram-Positive Bacterium Leuconostoc pseudomesenteroides Shows Insecticidal Activity against Drosophilid and Aphid Pests	32722463
PMC7469176	2020	33775	Essential Oil Headspace Volatiles Prevent Invasive Box Tree Moth (Cydalima perspectalis) Oviposition-Insights from Electrophysiology and Behaviour	32718029
PMC7377362	2020	64577	Advances and challenges in genetic technologies to produce single-sex litters	32701961
PMC7387703	2020	78831	Recent Advances in the Development of Environmentally Benign Treatments to Control Root-Knot Nematodes	32793271
PMC7417229	2020	69059	Rapid within- and transgenerational changes in thermal tolerance and fitness in variable thermal landscapes	32788964
PMC7412336	2020	35520	Influence of Cover Crop Termination on Ground Dwelling Arthropods in Organic Vegetable Systems	32679696
PMC7411831	2020	47254	Feeding Behavior and Virus-transmission Ability of Insect Vectors Exposed to Systemic Insecticides	32679858
PMC7404779	2020	74645	Non-Destructive Technologies for Detecting Insect Infestation in Fruits and Vegetables under Postharvest Conditions: A Critical Review	32674380
PMC7359625	2020	40005	Laboratory colonization by Dirofilaria immitis alters the microbiome of female Aedes aegypti mosquitoes	32660640
PMC7395513	2020	64782	Nix alone is sufficient to convert female Aedes aegypti into fertile males and myo-sex is needed for male flight	32661163
PMC7366552	2020	89952	A Shift Pattern of Bacterial Communities Across the Life Stages of the Citrus Red Mite, Panonychus citri	32754145
PMC7363937	2020	46947	Molecular Characterization and Expression Profiling of Three Transformer-2 Splice Isoforms in the Redclaw Crayfish, Cherax quadricarinatus	32733260
PMC7412565	2020	41121	Landscape Vegetation Productivity Influences Population Dynamics of Key Pests in Small Avocado Farms in Kenya	32659943
PMC7366836	2020	32804	An innovative strategy for control of fungus gnats using entomopathogenic nematodes alone or in combination with waterlogging	32628823
PMC7412113	2020	68136	Comparative Cutaneous Water Loss and Desiccation Tolerance of Four Solenopsis spp. (Hymenoptera: Formicidae) in the Southeastern United States	32635677
PMC7452929	2020	28246	Identification of Cyt2Ba from a New Strain of Bacillus thuringiensis and Its Toxicity in Bradysia difformis	32621000
PMC7329829	2020	66522	Genome-wide patterns of differentiation over space and time in the Queensland fruit fly	32612249
PMC7338688	2020	57880	Expression and Roles of Antimicrobial Peptides in Innate Defense of Airway Mucosa: Potential Implication in Cystic Fibrosis	32695100
PMC7466983	2020	66671	Ultraconserved Non-coding DNA Within Diptera and Hymenoptera	32601058
PMC7412485	2020	33009	Discovery of Two Novel Negeviruses in a Dungfly Collected from the Arctic	32604989
PMC7349299	2020	42061	Phylogeography of Organophosphate Resistant ace Alleles in Spanish Olive Fruit Fly Populations: A Mediterranean Perspective in the Global Change Context	32604835
PMC7347240	2020	122844	Expansions of chemosensory gene orthologs among selected tsetse fly species and their expressions in Glossina morsitans morsitans tsetse fly	32589659
PMC7319306	2020	53812	Microbiome diversity in Diaphorina citri populations from Kenya and Tanzania shows links to China	32589643
PMC7314749	2020	81376	Vector competence of Aedes albopictus populations for chikungunya virus is shaped by their demographic history	32581265
PMC7356859	2020	56456	Plant Growth Enhancement using Rhizospheric Halotolerant Phosphate Solubilizing Bacterium Bacillus licheniformis QA1 and Enterobacter asburiae QF11 Isolated from Chenopodium quinoa Willd	32599701
PMC7340324	2020	81027	The brachyceran de novo gene PIP82, a phosphorylation target of aPKC, is essential for proper formation and maintenance of the rhabdomeric photoreceptor apical domain in Drosophila	32579558
PMC7348979	2020	49881	Ecological Drivers and Sex-Based Variation in Body Size and Shape in the Queensland Fruit Fly, Bactrocera tryoni (Diptera: Tephritidae)	32586012
PMC7499380	2020	50556	Bioassay studies on the reaction of Aedes aegypti &amp; Aedes albopictus (Diptera: Culicidae) on different attractants	
PMC7317607	2020	72673	Characterization of the First W-Specific Protein-Coding Gene for Sex Identification in Helicoverpa armigera	32636875
PMC7325966	2020	49903	Identification and Expression Profiling of Chemosensory Genes in Hermetia illucens via a Transcriptomic Analysis	32655421
PMC7304560	2020	51250	Wolbachia (Rickettsiales: Alphaproteobacteria) Infection in the Leafhopper Vector of Sugarcane White Leaf Disease	32559297
PMC7303202	2020	64281	Genetic breakdown of a Tet-off conditional lethality system for insect population control	32555259
PMC7301634	2020	49135	Aedes aegypti larval development and pupal production in the FAO/IAEA mass-rearing rack and factors influencing sex sorting efficiency	32553098
PMC7346221	2020	126871	Terpenoids as Potential Geroprotectors	32560451
PMC7348963	2020	44215	Modified Atmosphere Does Not Reduce the Efficacy of Phytosanitary Irradiation Doses Recommended for Tephritid Fruit Flies	32549285
PMC7495304	2020	112280	The ovipositor actuation mechanism of a parasitic wasp and its functional implications	
PMC7303310	2020	130284	Meta-Analysis and Evaluation by Insect-Mediated Baiting Reveal Different Patterns of Hypocrealean Entomopathogenic Fungi in the Soils From Two Regions of China	32595616
PMC7293347	2020	44903	A LAMP assay for the detection of Bactrocera tryoni Queensland fruit fly (Diptera: Tephritidae)	32533005
PMC7448095	2020	774731	Review and priority setting for substances that are listed without a specific migration limit in Table 1 of Annex 1 of Regulation 10/2011 on plastic materials and articles intended to come into contact with food	32874315
PMC7307793	2020	70096	Regulation of olfactory-based sex behaviors in the silkworm by genes in the sex-determination cascade	32520935
PMC7348825	2020	64369	Insecticidal Activity of Plant Powders against the Parasitoid, Pteromalus venustus, and Its Host, the Alfalfa Leafcutting Bee	32526909
PMC7348990	2020	946	Retraction: Al-Behadili, F.J.M., et al. Cold Responses of the Mediterranean Fruit Fly Ceratitis capitata Wiedemann (Diptera: Tephritidae) in Blueberry. Insects 2020, 11, 276	32527050
PMC7348715	2020	51937	Patterns of Occurrence and Activity of Entomopathogenic Fungi in the Algarve (Portugal) Using Different Isolation Methods	32512919
PMC7272562	2020	5305	Genome Sequence of Beauveria bassiana Strain ATCC 74040, a Widely Employed Insect Pathogen	32499353
PMC7276151	2020	55336	Bee diversity in secondary forests and coffee plantations in a transition between foothills and highlands in the Guatemalan Pacific Coast	32547874
PMC7271990	2020	44798	Characterizing the microbiome of ectoparasitic louse flies feeding on migratory raptors	32497084
PMC7283806	2020	116819	Wolbachia pipientis Associated With Tephritid Fruit Fly Pests: From Basic Research to Applications	32582067
PMC7349215	2020	40990	Detection of Wolbachia Infections in Natural and Laboratory Populations of the Moroccan Hessian Fly, Mayetiola destructor (Say)	32498270
PMC7349676	2020	105223	The Role of Flies as Pollinators of Horticultural Crops: An Australian Case Study with Worldwide Relevance	32498457
PMC7262741	2020	44711	Cold Disinfestation for 'Red Globe' Grape (Rhamnales: Vitaceae) Infested With Drosophila suzukii (Diptera: Drosophilidae)	32478839
PMC7356871	2020	39416	Phytochemistry, Toxicology and Therapeutic Value of Petasites hybridus Subsp. Ochroleucus (Common Butterbur) from the Balkans	32486467
PMC7349611	2020	39633	Evaluation of Drimys winteri (Canelo) Essential Oil as Insecticide against Acanthoscelides obtectus (Coleoptera: Bruchidae) and Aegorhinus superciliosus (Coleoptera: Curculionidae)	32486175
PMC7260734	2020	30007	Schizophyllum commune induced oxidative stress and immunosuppressive activity in Spodoptera litura	32471364
PMC7257554	2020	88537	Alterations of gut microbiome accelerate multiple myeloma progression by increasing the relative abundances of nitrogen-recycling bacteria	32466801
PMC7287358	2020	53193	'What I cannot create, I do not understand': functionally validated synergism of metabolic and target site insecticide resistance	32453986
PMC7356580	2020	60345	Microbiome of the Queensland Fruit Fly through Metamorphosis	32466500
PMC7261851	2020	61244	Sp&#xE4;tzle Homolog-Mediated Toll-Like Pathway Regulates Innate Immune Responses to Maintain the Homeostasis of Gut Microbiota in the Red Palm Weevil, Rhynchophorus ferrugineus Olivier (Coleoptera: Dryophthoridae)	32523559
PMC7290859	2020	41500	Transcriptome Analysis of the Oriental Fruit Fly Bactrocera dorsalis Early Embryos	32456171
PMC7238563	2020	46226	Effect of irradiation on the survival and susceptibility of female Anopheles arabiensis to natural isolates of Plasmodium falciparum	32434542
PMC7290661	2020	39174	Transcriptomic Analysis of Mating Responses in Bemisia tabaci MED Females	32423081
PMC7290347	2020	66730	Host Plant and Antibiotic Effects on Scent Bouquet Composition of Anastrepha ludens and Anastrepha obliqua Calling Males, Two Polyphagous Tephritid Pests	32423147
PMC7287843	2020	25940	Evanescent-Wave Fiber Optic Sensing of the Anionic Dye Uranine Based on Ion Association Extraction	32423008
PMC7345191	2020	38359	Diversity of Linear Non-Ribosomal Peptide in Biocontrol Fungi	32408496
PMC7221154	2020	36819	Cloning and Expression of Cockroach alpha7 Nicotinic Acetylcholine Receptor Subunit	32457646
PMC7290310	2020	54161	Pest Management and Ochratoxin A Contamination in Grapes: A Review	32392817
PMC7277018	2020	49974	Connected Carabids: Network Interactions and Their Impact on Biocontrol by Carabid Beetles	32536691
PMC7218075	2020	42607	Imaginal Disc Growth Factor 6 (Idgf6) Is Involved in Larval and Adult Wing Development in Bactrocera correcta (Bezzi) (Diptera: Tephritidae)	32435262
PMC7290388	2020	36004	Iflavirus Covert Infection Increases Susceptibility to Nucleopolyhedrovirus Disease in Spodoptera exigua	32380682
PMC7319233	2020	58277	Fitness consequences of redundant cues of competition in male Drosophila melanogaster	32607171
PMC7248992	2020	48770	Chemical Characterization and Biological Activity of the Mastic Gum Essential Oils of Pistacia lentiscus var. chia from Turkey <xref ref-type="author-notes" rid="fn1-molecules-25-02136">&#x2020;</xref>	32370246
PMC7290822	2020	23758	Assessment of Shape Variation Patterns in Triatoma infestans (Klug 1834) (Hemiptera: Reduviidae: Triatominae): A First Report in Populations from Bolivia	32365855
PMC7193620	2020	61350	A drug-inducible sex-separation technique for insects	32355156
PMC7192390	2020	73560	Dual oxidase Duox and Toll-like receptor 3 TLR3 in the Toll pathway suppress zoonotic pathogens through regulating the intestinal bacterial community homeostasis in Hermetia illucens L.	32352968
PMC4675934	2015	4523	Genome Sequence of the Mosquitocidal Bacillus thuringiensis Strain BR58, a Biopesticide Product Effective against the Coffee Berry Borer (Hypothenemus hampei)	26659669
PMC4673840	2015	74950	Transcriptional cellular responses in midgut tissue of Aedes aegypti larvae following intoxication with Cry11Aa toxin from Bacillus thuringiensis	26645277
PMC4669136	2015	49905	The Molecular Cytogenetic Characterization of Pistachio (Pistacia vera L.) Suggests the Arrest of Recombination in the Largest Heteropycnotic Pair HC1	26633808
PMC4780390	2015	118872	Evolutionary mechanisms of habitat invasions, using the copepod Eurytemora affinis as a model system	27087851
PMC4714087	2015	93900	A review of the current knowledge on Zeugodacuscucurbitae (Coquillett) (Diptera, Tephritidae) in Africa, with a list of species included in Zeugodacus	26798277
PMC4714086	2015	36909	Population structure and cryptic genetic variation in the mango fruit fly, Ceratitiscosyra (Diptera, Tephritidae)	26798276
PMC4714085	2015	83083	Cuticular hydrocarbons corroborate the distinction between lowland and highland Natal fruit fly (Tephritidae, Ceratitisrosa) populations	26798275
PMC4714083	2015	106627	Comparative analysis of development and survival of two Natal fruit fly Ceratitisrosa Karsch (Diptera, Tephritidae) populations from Kenya and South Africa	26798273
PMC4714082	2015	103007	Description of third instar larvae of Ceratitisfasciventris, C.anonae, C.rosa (FAR complex) and C.capitata (Diptera, Tephritidae)	26798272
PMC4714081	2015	67482	Niche partitioning among two Ceratitisrosa morphotypes and other Ceratitis pest species (Diptera, Tephritidae) along an altitudinal transect in Central Tanzania	26798271
PMC4714080	2015	60228	An integrative approach to unravel the Ceratitis FAR (Diptera, Tephritidae) cryptic species complex: a review	26798270
PMC4714079	2015	70667	Analyses of volatiles produced by the African fruit fly species complex (Diptera, Tephritidae)	26798269
PMC4714078	2015	36147	Effects of laboratory colonization on Bactroceradorsalis (Diptera, Tephritidae) mating behaviour: 'what a difference a year makes'	26798268
PMC4714077	2015	139806	A phylogenetic assessment of the polyphyletic nature and intraspecific color polymorphism in the Bactroceradorsalis complex (Diptera, Tephritidae)	26798267
PMC4714076	2015	69786	Historical perspective on the synonymization of the four major pest species belonging to the Bactroceradorsalis species complex (Diptera, Tephritidae)	26798266
