pmcid	year	count	title	pubmedid
PMC7494183	2020	54075	Construction of the Antheraea pernyi (Lepidoptera: Saturniidae) Multicapsid Nucleopolyhedrovirus Bacmid System	
PMC7482974	2020	66084	The nesting preference of an invasive ant is associated with the cues produced by actinobacteria in soil	
PMC7470329	2020	74930	Toward implementation of combined incompatible and sterile insect techniques for mosquito control: Optimized chilling conditions for handling Aedes albopictus male adults prior to release	32881871
PMC7450566	2020	50852	Full-length transcriptome analysis of Phytolacca americana and its congener P. icosandra and gene expression normalization in three Phytolaccaceae species	32854620
PMC7463341	2020	79644	Making sense of Integrated Pest Management (IPM) in the light of evolution	32908586
PMC7432566	2020	154439	Setting of import tolerances for lufenuron in various commodities of plant and animal origin	32831948
PMC7469220	2020	42332	Monitoring of Target-Site Mutations Conferring Insecticide Resistance in Spodoptera frugiperda	32824659
PMC7433769	2020	38300	A Novel Solid Artificial Diet for Zeugodacus cucurbitae (Diptera: Tephritidae) Larvae With Fitness Parameters Assessed by Two-Sex Life Table	32809019
PMC7472478	2020	65011	Current Insights on Vegetative Insecticidal Proteins (Vip) as Next Generation Pest Killers	32823872
PMC7423959	2020	73922	Peach volatile emission and attractiveness of different host plant volatiles blends to Cydia molesta in adjacent peach and pear orchards	32788645
PMC7469170	2020	47749	Gamma Irradiation and Male Glossina austeni Mating Performance	32796748
PMC7502230	2020	42405	The ability of the green peach aphid (Myzus persicae) to penetrate mesh crop covers used to protect potato crops against tomato potato psyllid (Bactericera cockerelli)	
PMC7413487	2020	182148	Identification of chemosensory genes from the antennal transcriptome of Semiothisa cinerearia	32764791
PMC7411030	2020	52888	A novel formulation technology for baculoviruses protects biopesticide from degradation by ultraviolet radiation	32764606
PMC7463660	2020	34715	Analysis of Volatile Compounds and Sugar Content in Three Polish Regional Ciders with Pear Addition	32764441
PMC7432125	2020	41665	Update on Cuticular Wax Biosynthesis and Its Roles in Plant Disease Resistance	32752176
PMC7469157	2020	59841	Effect of Temperature on Life History and Parasitization Behavior of Trichogramma achaeae Nagaraja and Nagarkatti (Hym.: Trichogrammatidae)	32751342
PMC7386632	2020	46949	Low-temperature derived temporal change in the vertical distribution of Sesamia inferens larvae in winter, with links to its latitudinal distribution	32722719
PMC7469197	2020	42175	Effects of Temperature on Lifespan of Drosophila melanogaster from Different Genetic Backgrounds: Links between Metabolic Rate and Longevity	32722420
PMC7394822	2020	49567	Identification of Candidate Olfactory Genes in the Antennal Transcriptome of the Stink Bug Halyomorpha halys	32792985
PMC7466014	2020	79643	Patterns of Sex Chromosome Differentiation in Spiders: Insights from Comparative Genomic Hybridisation	32722348
PMC7387505	2020	48583	The Independent Biological Activity of Bacillus thuringiensis Cry23Aa Protein Against Cylas puncticollis	32793170
PMC7387575	2020	88937	Identification and Expression Profile of Olfactory Receptor Genes Based on Apriona germari (Hope) Antennal Transcriptome	32792974
PMC7380273	2020	74508	Identification and expression pattern of chemosensory genes in the transcriptome of Propsilocerus akamusi	32742817
PMC7380065	2020	71197	Ecdysone Receptor (EcR) and Ultraspiracle Protein (USP) Genes From Conopomorpha sinensis Bradley Eggs: Identification and Expression in Response to Insecticides	32765302
PMC7404779	2020	74645	Non-Destructive Technologies for Detecting Insect Infestation in Fruits and Vegetables under Postharvest Conditions: A Critical Review	32674380
PMC7411948	2020	47277	Enzymatic Defense Response of Apple Aphid Aphis pomi to Increased Temperature	32664609
PMC7365922	2020	40391	Transcriptome Profile Changes Associated With Heat Shock Reaction in the Entomopathogenic Nematode, Steinernema carpocapsae	32754045
PMC7341793	2020	64483	Characterization of DvSSJ1 transcripts targeting the smooth septate junction (SSJ) of western corn rootworm (Diabrotica virgifera virgifera)	32636422
PMC7412527	2020	35188	Improved Monitoring of Grapholita molesta (Lepidoptera: Tortricidae) in Stone Fruit Orchards with a Pheromone-Kairomone Combination Lure	32635150
PMC7391548	2020	95140	Odorant receptor phylogeny confirms conserved channels for sex pheromone and host plant signals in tortricid moths	32760532
PMC7340173	2020	73054	Variability of Gut Microbiota Across the Life Cycle of Grapholita molesta (Lepidoptera: Tortricidae)	32714300
PMC7412187	2020	61279	Adhesion Performance in the Eggs of the Philippine Leaf Insect Phyllium philippinicum (Phasmatodea: Phylliidae)	32605269
PMC7330086	2020	145136	Insecticidal Activity of Artemisia vulgaris Essential Oil and Transcriptome Analysis of Tribolium castaneum in Response to Oil Exposure	32670352
PMC7314779	2020	35837	Identification and field bioassays of the sex pheromone of Eurytoma maslovskii (Hymenoptera: Eurytomidae)	32581339
PMC7317607	2020	72673	Characterization of the First W-Specific Protein-Coding Gene for Sex Identification in Helicoverpa armigera	32636875
PMC7304561	2020	31749	Mating Disruption of Chilo suppressalis From Sex Pheromone of Another Pyralid Rice Pest Cnaphalocrocis medinalis (Lepidoptera: Pyralidae)	32559298
PMC7307562	2020	118249	Beyond polyphagy and opportunism: natural prey of hunting spiders in the canopy of apple trees	32596048
PMC7292396	2020	55001	Genome sequence analysis of a Helicoverpa armigera single nucleopolyhedrovirus (HearNPV-TR) isolated from Heliothis peltigera in Turkey	32530959
PMC7348803	2020	45155	Evaluation of Exclusion Netting for Coffee Berry Borer (Hypothenemus Hampei) Management	32545306
PMC7426936	2020	73391	Evolution of multiple sex-chromosomes associated with dynamic genome reshuffling in Leptidea wood-white butterflies	32518391
PMC7354547	2020	32911	Bacsnp: Using Single Nucleotide Polymorphism (SNP) Specificities and Frequencies to Identify Genotype Composition in Baculoviruses	32526997
PMC7349915	2020	46952	Suitability of European Trichogramma Species as Biocontrol Agents against the Tomato Leaf Miner Tuta absoluta	32521821
PMC7280263	2020	34759	Predictions of potential geographical distribution of Diaphorina citri (Kuwayama) in China under climate change scenarios	32513980
PMC7283806	2020	116819	Wolbachia pipientis Associated With Tephritid Fruit Fly Pests: From Basic Research to Applications	32582067
PMC7272851	2020	43560	Bacteriophage Usage for Bacterial Disease Management and Diagnosis in Plants	32547337
PMC7273966	2020	43189	Botanical Volatiles Selection in Mediating Electrophysiological Responses and Reproductive Behaviors for the Fall Webworm Moth Hyphantria cunea	32547409
PMC7260174	2020	60931	The use of click beetle pheromone traps to optimize the risk assessment of wireworm (Coleoptera: Elateridae) maize damage	32471978
PMC7253657	2020	105929	Biotechnologie und Umweltschutz	
PMC7271962	2020	25399	Antennal Lobe Atlas of an Emerging Corn Pest, Athetis dissimilis	32547373
PMC7321119	2020	78843	Preparation and Uses of Chlorinated Glycerol Derivatives	32481583
PMC7381591	2020	56420	Anther-smut fungi from more contaminated sites in Chernobyl show lower infection ability and lower viability following experimental irradiation	32724522
PMC7261935	2020	79592	Genetic Biocontrol for Invasive Species	32523938
PMC7288286	2020	47838	A Reference Genome of Bursaphelenchus mucronatus Provides New Resources for Revealing Its Displacement by Pinewood Nematode	32438771
PMC7250938	2020	163163	Tachinid (Diptera, Tachinidae) parasitoids of Lobesiabotrana (Denis &amp; Schifferm&#xFC;ller, 1775) (Lepidoptera, Tortricidae) and other moths	32508497
PMC7291056	2020	39984	Potential Distribution and the Risks of Bactericera cockerelli and Its Associated Plant Pathogen Candidatus Liberibacter Solanacearum for Global Potato Production	32408479
PMC7291346	2020	58629	Airborne Pheromone Quantification in Treated Vineyards with Different Mating Disruption Dispensers against Lobesia botrana	32397370
PMC7290827	2020	36223	Population Genetic Structure of Codling Moth, Cydia pomonella (L.) (Lepidoptera: Tortricidae), in Different Localities and Host Plants in Chile	32384760
PMC7202869	2020	119615	The genetic architecture of a host shift: An adaptive walk protected an aphid and its endosymbiont from plant chemical defenses	32494722
