pmcid	year	count	title	pubmedid
PMC7403033	2021	227673	Subtribe Hyptidinae (Lamiaceae): A promising source of bioactive metabolites	32763419
PMC7394822	2020	49567	Identification of Candidate Olfactory Genes in the Antennal Transcriptome of the Stink Bug Halyomorpha halys	32792985
PMC7387505	2020	48583	The Independent Biological Activity of Bacillus thuringiensis Cry23Aa Protein Against Cylas puncticollis	32793170
PMC7320233	2020	43864	Induced biosynthesis of chlorogenic acid in sweetpotato leaves confers the resistance against sweetpotato weevil attack	32612857
PMC6955951	2019	43027	A Review of Interactions between Insect Biological Control Agents and Semiochemicals	31817457
PMC6995508	2019	44012	Characterization of Terpene Synthase from Tea Green Leafhopper Being Involved in Formation of Geraniol in Tea (Camellia sinensis) Leaves and Potential Effect of Geraniol on Insect-Derived Endobacteria	31801241
PMC6884542	2019	50035	Antennal transcriptome analyses and olfactory protein identification in an important wood-boring moth pest, Streltzoviella insularis (Lepidoptera: Cossidae)	31784624
PMC6874613	2019	64351	Volatile DMNT systemically induces jasmonate-independent direct anti-herbivore defense in leaves of sweet potato (Ipomoea batatas) plants	31758060
PMC6795849	2019	34273	Organic mulches reduce crop attack by sweetpotato weevil (Cylas formicarius)	31619690
PMC6899572	2019	72295	Fungal volatile organic compounds show promise as potent molluscicides	31392825
PMC6728347	2019	51718	Transcriptome and gene expression analysis of three developmental stages of the coffee berry borer, Hypothenemus hampei	31488852
PMC6628306	2019	35099	Chemosensory Gene Families in the Oligophagous Pear Pest Cacopsylla chinensis (Hemiptera: Psyllidae)	31212973
PMC6571001	2019	60985	Sex- and tissue-specific expression of odorant-binding proteins and chemosensory proteins in adults of the scarab beetle Hylamorpha elegans (Burmeister) (Coleoptera: Scarabaeidae)	31223529
PMC6399352	2019	36411	Identification and expression of candidate chemosensory receptors in the white-spotted flower chafer, Protaetia brevitarsis	30833589
PMC6383622	2019	54152	Larvicidal and ovicidal activities of Artocarpus blancoi extracts against Aedes aegypti	30776315
PMC6375930	2019	48718	Curcumin and Quercetin as Potential Radioprotectors and/or Radiosensitizers for X-ray-based Sterilization of Male Navel Orangeworm Larvae	30765894
PMC6408394	2019	45460	When a male perceives a female: the effect of waxy components on the body surface on decision-making in the invasive pest weevil	30891277
PMC6357078	2018	37570	Natural Product Repertoire of the Genus Amphimedon	30598005
PMC6269510	2018	35223	Description of a personality syndrome in a common and invasive ground beetle (Coleoptera: Carabidae)	30504923
PMC6308240	2018	93075	Factors affecting farmers' willingness and ability to adopt and retain vitamin A-rich varieties of orange-fleshed sweet potato in Mozambique	30631382
PMC6784509	2019	31719	Sexual differences in weaponry and defensive behavior in a neotropical harvestman	31616486
PMC6282520	2018	54049	Life-history changes in the cold tolerance of the two-spot spider mite Tetranychus urticae: applications in pest control and establishment risk assessment	30546196
PMC6113244	2018	43568	Identification and expression analysis of putative chemoreception genes from Cyrtorhinus lividipennis (Hemiptera: Miridae) antennal transcriptome	30154418
PMC6117247	2018	106759	Odorant Receptors and Odorant-Binding Proteins as Insect Pest Control Targets: A Comparative Analysis	30197600
PMC6164004	2018	28707	Pheromone-Trap Monitoring System for Pea Leaf Weevil, Sitona lineatus: Effects of Trap Type, Lure Type and Trap Placement within Fields	29954083
PMC6023448	2018	22717	Susceptibility of Duponchelia fovealis Zeller (Lepidoptera: Crambidae) to Soil-Borne Entomopathogenic Fungi	29921814
PMC6074794	2018	39384	Irradiation for Quarantine Control of Coffee Berry Borer, Hypothenemus hampei (Coleoptera: Curculionidae: Scolytinae) in Coffee and a Proposed Generic Dose for Snout Beetles (Coleoptera: Curculionoidea)	29741635
PMC5830975	2018	52720	Comparison of Trap Types, Placement, and Colors for Monitoring Anthonomus musculus (Coleoptera: Curculionidae) Adults in Highbush Blueberries	31329904
PMC5834575	2018	34537	Aphids Playing Possum _ Defensive or Mutualistic Response?	29527095
PMC5769822	2018	83460	A review of thanatosis (death feigning) as an anti-predator behaviour	29386702
PMC5713412	2017	37348	Using Next-Generation Sequencing to Detect Differential Expression Genes in Bradysia odoriphaga after Exposure to Insecticides	29149030
PMC5765502	2017	117645	Evolution of precopulatory and post-copulatory strategies of inbreeding avoidance and associated polyandry	28986951
PMC5593998	2017	45806	Antennal transcriptome and expression analyses of olfactory genes in the sweetpotato weevil Cylas formicarius	28894232
