pmcid	year	count	title	pubmedid
PMC7511395	2020	47467	Tick populations from endemic and non-endemic areas in Germany show differential susceptibility to TBEV	
PMC7497999	2020	89998	Lyme disease and relapsing fever in Mexico: An overview of human and wildlife infections	
PMC7471009	2020	39606	Failure To Detect Prion Infectivity in Ticks following Prion-Infected Blood Meal	32878935
PMC7469740	2020	114719	Vector-borne diseases in pregnancy	32944240
PMC7416948	2020	40641	Assessing the current and future potential geographic distribution of the American dog tick, Dermacentor variabilis (Say) (Acari: Ixodidae) in North America	32776959
PMC7469192	2020	52108	Plant-Derived Natural Compounds for Tick Pest Control in Livestock and Wildlife: Pragmatism or Utopia?	32752256
PMC7415634	2020	68208	Review on parasites of wild and captive giant pandas (Ailuropoda melanoleuca): Diversity, disease and conservation impact	32793415
PMC7429393	2020	121588	Low genetic diversity among Francisella-like endosymbionts within different genotypes of Hyalomma dromedarii ticks infesting camels in Saudi Arabia	32848325
PMC7396615	2020	97581	TickSialoFam (TSFam): A Database That Helps to Classify Tick Salivary Proteins, a Review on Tick Salivary Protein Function and Evolution, With Considerations on the Tick Sialome Switching Phenomenon	32850476
PMC7373693	2020	47878	The effects of climate change on infectious diseases with cutaneous manifestations<xref ref-type="fn" rid="d33e1469">&#x2606;</xref><xref ref-type="fn" rid="d33e1473">&#x2606;&#x2606;</xref><xref ref-type="fn" rid="d33e1480">&#x2605;</xref><xref ref-type="fn" rid="d33e1484">&#x2605;&#x2605;</xref>	32838014
PMC7368706	2020	47259	Assessing human exposure to spotted fever and typhus group rickettsiae in Ontario, Canada (2013_2018): a retrospective, cross-sectional study	32682398
PMC7351536	2020	81477	Interactions between Borrelia burgdorferi and ticks	32651470
PMC7433235	2020	63017	Putative Otobius megnini-associated clinical signs in horses in South Africa (2012_2018)	32633987
PMC7350919	2020	91771	Integrating population genetic structure, microbiome, and pathogens presence data in Dermacentor variabilis	32704442
PMC7409115	2020	49390	Isolation and Propagation of Laboratory Strains and a Novel Flea-Derived Field Strain of Wolbachia in Tick Cell Lines	32630209
PMC7409031	2020	38215	Analysis of Tick Surface Decontamination Methods	32630152
PMC7338900	2020	12015	Molecular Detection of Toxoplasma Gondii in Haemaphysalis Ticks in Korea	32615747
PMC7314838	2020	36674	Northern and southern blacklegged (deer) ticks are genetically distinct with different histories and Lyme spirochete infection rates	32581236
PMC7355616	2020	37407	Interrupted Blood Feeding in Ticks: Causes and Consequences	32560202
PMC7325928	2020	40521	Taxon Appearance From Extraction and Amplification Steps Demonstrates the Value of Multiple Controls in Tick Microbiota Analysis	32655509
PMC7297041	2020	94981	Understanding Tick Biology and Its Implications in Anti-tick and Transmission Blocking Vaccines Against Tick-Borne Pathogens	32582785
PMC7262526	2020	96808	Emerging and re-emerging bacterial zoonoses in Nigeria: current preventive measures and future approaches to intervention	32510001
PMC7241830	2020	90192	An exploratory analysis of demography and movement patterns of dogs: New insights in the ecology of endemic Rocky Mountain-Spotted Fever in Mexicali, Mexico	32437470
PMC7243205	2020	62737	Detection of blood pathogens in camels and their associated ectoparasitic camel biting keds,Hippobosca camelina: the potential application of keds in xenodiagnosis of camel haemopathogens	
PMC7228056	2020	82060	Factors affecting the microbiome of Ixodes scapularis and Amblyomma americanum	32413031
PMC7225584	2020	55799	Poor Unstable Midgut Microbiome of Hard Ticks Contrasts With Abundant and Stable Monospecific Microbiome in Ovaries	32457850
PMC7232095	2020	47003	Parasites in the changing world _ Ten timely examples from the Nordic-Baltic region<xref ref-type="fn" rid="d31e16">&#x2606;</xref>	32435705
PMC7231830	2020	29688	Changes in Protein Phosphorylation during Salivary Gland Degeneration in Haemaphysalis longicornis	32418385
PMC7192947	2020	39529	Synthesis and evaluation of polyamine carbon quantum dots (CQDs) in Litopenaeus vannamei as a therapeutic agent against WSSV	32355276
PMC7344507	2020	35644	Disease Ecology of Rickettsial Species: A Data Science Approach	32349270
PMC7238099	2020	46470	Resistance of Tick Gut Microbiome to Anti-Tick Vaccines, Pathogen Infection and Antimicrobial Peptides	32331444
PMC7144340	2020	23718	DNA of Theileria orientalis, T. equi and T. capreoli in stable flies (Stomoxys calcitrans)	32272968
PMC7156593	2020	83047	Sharing the Ride: Ixodes scapularis Symbionts and Their Interactions	32322563
PMC7101130	2020	39540	Ecology and Epidemiology of Tickborne Pathogens, Washington, USA, 2011_2016	32187009
PMC7101104	2020	28507	Stemming the Rising Tide of Human-Biting Ticks and Tickborne Diseases, United States	32186484
PMC7098747	2020	134848	Differentiation of Francisella tularensis Subspecies and Subtypes	31941692
PMC7143654	2020	51289	Management Options for Ixodes ricinus-Associated Pathogens: A Review of Prevention Strategies	32178257
