pmcid	year	count	title	pubmedid
PMC7497999	2020	89998	Lyme disease and relapsing fever in Mexico: An overview of human and wildlife infections	
PMC7498064	2020	56417	Do bank voles (Myodes glareolus) trapped in live and lethal traps show differences in tick burden?	
PMC7490856	2020	12566	Association between lone star tick bites and increased alpha-gal sensitization: evidence from a prospective cohort of outdoor workers	
PMC7471009	2020	39606	Failure To Detect Prion Infectivity in Ticks following Prion-Infected Blood Meal	32878935
PMC7469740	2020	114719	Vector-borne diseases in pregnancy	32944240
PMC7474356	2020	39333	Ruta chalepensis L. Essential Oil Has a Biological Potential for a Natural Fight against the Pest of Stored Foodstuffs: Tribolium castaneum Herbst	32908563
PMC7437863	2020	87072	The Aedes albopictus (Diptera: Culicidae) microbiome varies spatially and with Ascogregarine infection	32813707
PMC7416948	2020	40641	Assessing the current and future potential geographic distribution of the American dog tick, Dermacentor variabilis (Say) (Acari: Ixodidae) in North America	32776959
PMC7469143	2020	34127	Chemosensory and Behavioural Responses of Ixodes scapularis to Natural Products: Role of Chemosensory Organs in Volatile Detection	32759735
PMC7425989	2020	85368	Circumpolar diversification of the Ixodes uriae tick virome	32745135
PMC7459594	2020	38614	Rickettsia africae an Agent of African Tick Bite Fever in Ticks Collected from Domestic Animals in Eastern Cape, South Africa	32748891
PMC7392405	2020	50336	Presence of Segmented Flavivirus Infections in North America	32687041
PMC7392462	2020	7431	Heartland Virus in Lone Star Ticks, Alabama, USA	32687045
PMC7469192	2020	52108	Plant-Derived Natural Compounds for Tick Pest Control in Livestock and Wildlife: Pragmatism or Utopia?	32752256
PMC7432913	2020	36699	Genomic Characterization and Expression of Juvenile Hormone Esterase-Like Carboxylesterase Genes in Pacific White Shrimp, Litopenaeus vannamei	32751646
PMC7387473	2020	82255	Ehrlichia spp. and Anaplasma spp. in Xenarthra mammals from Brazil, with evidence of novel 'Candidatus Anaplasma spp.'	32724088
PMC7429393	2020	121588	Low genetic diversity among Francisella-like endosymbionts within different genotypes of Hyalomma dromedarii ticks infesting camels in Saudi Arabia	32848325
PMC7432026	2020	46185	A Mini-Review of Ixodes Ticks Climate Sensitive Infection Dispersion Risk in the Nordic Region	32726948
PMC7396615	2020	97581	TickSialoFam (TSFam): A Database That Helps to Classify Tick Salivary Proteins, a Review on Tick Salivary Protein Function and Evolution, With Considerations on the Tick Sialome Switching Phenomenon	32850476
PMC7373693	2020	47878	The effects of climate change on infectious diseases with cutaneous manifestations<xref ref-type="fn" rid="d33e1469">&#x2606;</xref><xref ref-type="fn" rid="d33e1473">&#x2606;&#x2606;</xref><xref ref-type="fn" rid="d33e1480">&#x2605;</xref><xref ref-type="fn" rid="d33e1484">&#x2605;&#x2605;</xref>	32838014
PMC7496946	2020	84422	Active surveillance of pathogens from ticks collected in New York State suburban parks and schoolyards	
PMC7371965	2020	112844	Towards a more healthy conservation paradigm: integrating disease and molecular ecology to aid biological conservation&#x2020;	
PMC7368706	2020	47259	Assessing human exposure to spotted fever and typhus group rickettsiae in Ontario, Canada (2013_2018): a retrospective, cross-sectional study	32682398
PMC7366483	2020	26565	First report of Cytauxzoon sp. infection in Germany: organism description and molecular confirmation in a domestic cat	32677003
