pmcid	year	count	title	pubmedid
PMC7488527	2020	80263	Stagewise resolution of temperature-dependent embryonic and postembryonic development in the cowpea seed beetle Callosobruchus maculatus (F.)	32917176
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7452120	2020	60983	HIF-1alpha-BNIP3-mediated mitophagy in tubular cells protects against renal ischemia/reperfusion injury	32829253
PMC7469141	2020	43862	The Attraction of the Dung Beetle Anoplotrupes stercorosus (Coleoptera: Geotrupidae) to Volatiles from Vertebrate Cadavers	32727148
PMC7388766	2020	34315	Assessing the potentials of two local topical ointments as affordable treatment against tungiasis infestation: A self-experimentation in Igbokoda, Nigeria	32743082
PMC7417388	2020	34782	A mummified human corpse and associated insects of forensic importance in indoor conditions	32666322
PMC7260273	2020	43631	The embryonic expression pattern of a second, hitherto unrecognized, paralog of the pair-rule gene sloppy-paired in the beetle Tribolium castaneum	32430691
PMC7295711	2020	19742	The ballistic performance of bone when impacted by fragments	32358725
PMC7178596	2020	70824	Oncopeltus-like gene expression patterns in Murgantia histrionica, a new hemipteran model system, suggest ancient regulatory network divergence	32337018
PMC7240428	2020	24690	Behavioral and Electrophysiological Responses of the Fringed Larder Beetle Dermestes frischii to the Smell of a Cadaver at Different Decomposition Stages	32290328
PMC7137943	2020	60998	Forest habitat parameters influence abundance and diversity of cadaver-visiting dung beetles in Central Europe	32269801
PMC7143747	2020	20188	Cool Down_Warm Up: Differential Responses of Stored Product Insects after Gradual Temperature Changes	32121521
PMC7034907	2020	49161	Synchrotron "virtual archaeozoology" reveals how Ancient Egyptians prepared a decaying crocodile cadaver for mummification	32084197
PMC7040246	2020	59952	An Overview of Embryogenesis: External Morphology and Transcriptome Profiling in the Hemipteran Insect Nilaparvata lugens	32132932
PMC7042617	2020	23835	Two human cases associated with forensic insects in Riyadh, Saudi Arabia	32127766
PMC7319460	2020	57014	Contrasting female mate preferences for red coloration in a fish	32617091
PMC6721801	2019	133930	Hemimetabolous insects elucidate the origin of sexual development via alternative splicing	31478483
PMC6684155	2019	64640	Various 3D printed materials mimic bone ultrasonographically: 3D printed models of the equine cervical articular process joints as a simulator for ultrasound guided intra-articular injections	31386687
PMC6715786	2019	32259	Downregulation of FGF Signaling by Spry4 Overexpression Leads to Shape Impairment, Enamel Irregularities, and Delayed Signaling Center Formation in the Mouse Molar	31485553
