pmcid	year	count	title	pubmedid
PMC7472478	2020	65011	Current Insights on Vegetative Insecticidal Proteins (Vip) as Next Generation Pest Killers	32823872
PMC7469144	2020	31470	Automatic Field Detection of Western Corn Rootworm (Diabrotica virgifera virgifera; Coleoptera: Chrysomelidae) with a New Probe	32752147
PMC7394452	2020	89786	Western corn rootworm abundance, injury to corn, and resistance to Cry3Bb1 in the local landscape of previous problem fields	32735582
PMC7391001	2020	168581	Pest categorisation of Haplaxius crudus	32742440
PMC7411984	2020	48949	Biology and Management of Pest Diabrotica Species in South America	32650377
PMC7339632	2020	170128	Pest categorisation of Helicoverpa zea	32665793
PMC7339215	2020	183347	Pest categorisation of tomato leaf curl New Delhi virus	32665794
PMC7341793	2020	64483	Characterization of DvSSJ1 transcripts targeting the smooth septate junction (SSJ) of western corn rootworm (Diabrotica virgifera virgifera)	32636422
PMC7332975	2020	207870	Pest categorisation of the Andean Potato Weevil (<styled-content style="fixed-case" toggle="no">APW) complex (Coleoptera: Curculionidae)	32641976
PMC7448044	2020	161690	Pest categorisation of Ripersiella hibisci	32874345
PMC7448086	2020	149700	Pest categorisation of Naupactus leucoloma	32874305
PMC7448047	2020	185123	Pest categorisation of Exomala orientalis	32874304
PMC7164779	2020	58922	Characterization of the Complete Mitochondrial Genome of Epicauta impressicornis (Coleoptera: Meloidae) and Its Phylogenetic Implications for the Infraorder Cucujiformia	32302386
PMC7447992	2020	209138	Pest categorisation of Liriomyza bryoniae	32874254
PMC7448051	2020	250160	Pest categorisation of Liriomyza sativae	32874253
PMC7448062	2020	201843	Pest categorisation of Nemorimyza maculosa	32874252
PMC7056747	2020	84975	Resistance and Tolerance to Root Herbivory in Maize Were Mediated by Domestication, Spread, and Breeding	32174953
PMC7000536	2020	52419	Advancing ecological risk assessment on genetically engineered breeding stacks with combined insect-resistance traits	31953798
PMC7008910	2020	395697	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses of Rubus L.	32626483
