pmcid	year	count	title	pubmedid
PMC7477086	2020	27110	Sequence_Activity Relationships for the Snf7 Insecticidal dsRNA in Chrysomelidae	
PMC7391001	2020	168581	Pest categorisation of Haplaxius crudus	32742440
PMC7387505	2020	48583	The Independent Biological Activity of Bacillus thuringiensis Cry23Aa Protein Against Cylas puncticollis	32793170
PMC7411984	2020	48949	Biology and Management of Pest Diabrotica Species in South America	32650377
PMC7339632	2020	170128	Pest categorisation of Helicoverpa zea	32665793
PMC7339215	2020	183347	Pest categorisation of tomato leaf curl New Delhi virus	32665794
PMC7341793	2020	64483	Characterization of DvSSJ1 transcripts targeting the smooth septate junction (SSJ) of western corn rootworm (Diabrotica virgifera virgifera)	32636422
PMC7332975	2020	207870	Pest categorisation of the Andean Potato Weevil (<styled-content style="fixed-case" toggle="no">APW) complex (Coleoptera: Curculionidae)	32641976
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7448044	2020	161690	Pest categorisation of Ripersiella hibisci	32874345
PMC7317097	2020	10098	Genome Sequence of a Small RNA Virus of the Southern Corn Rootworm, Diabrotica undecimpunctata howardi Barber (Coleoptera: Chrysomelidae)	32586857
PMC7317098	2020	12886	Diabrotica undecimpunctata virus 2, a Novel Small RNA Virus Discovered from Southern Corn Rootworm, Diabrotica undecimpunctata howardi Barber (Coleoptera: Chrysomelidae)	32586858
PMC7289159	2020	46311	Assessing the Risks of Topically Applied dsRNA-Based Products to Non-target Arthropods	32582240
PMC7349367	2020	24029	Reference Gene Selection for Expression Analyses by qRT-PCR in Dendroctonus valens	32471281
PMC7237494	2020	47560	Entomopathogenic nematodes from Mexico that can overcome the resistance mechanisms of the western corn rootworm	32427834
PMC7291302	2020	61336	The Cytocidal Spectrum of Bacillus thuringiensis Toxins: From Insects to Human Cancer Cells	32384723
PMC7448086	2020	149700	Pest categorisation of Naupactus leucoloma	32874305
PMC7448047	2020	185123	Pest categorisation of Exomala orientalis	32874304
PMC7081190	2020	58420	Selection of reference genes for normalization of RT-qPCR data in gene expression studies in Anthonomus eugenii Cano (Coleoptera: Curculionidae)	32193506
PMC7317564	2020	92293	A standardised bioassay method using a bench-top spray tower to evaluate entomopathogenic fungi for control of the greenhouse whitefly, Trialeurodes vaporariorum	32077577
PMC7447992	2020	209138	Pest categorisation of Liriomyza bryoniae	32874254
PMC7448051	2020	250160	Pest categorisation of Liriomyza sativae	32874253
PMC7448062	2020	201843	Pest categorisation of Nemorimyza maculosa	32874252
PMC7074096	2020	30661	Selection of the Reference Gene for Expression Normalization in Papaver somniferum L. under Abiotic Stress and Hormone Treatment	31979407
PMC7008910	2020	395697	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses of Rubus L.	32626483
PMC7008913	2020	201955	Pest categorisation of Spodoptera eridania	32626486
PMC7008801	2020	118308	List of non-<styled-content style="fixed-case" toggle="no">EU phytoplasmas of Cydonia Mill., Fragaria L., Malus Mill., Prunus L., Pyrus L., Ribes L., Rubus L. and Vitis L.	32626485
PMC7008834	2020	528319	Pest categorisation of the non-<styled-content style="fixed-case" toggle="no">EU phytoplasmas of Cydonia Mill., Fragaria L., Malus Mill., Prunus L., Pyrus L., Ribes L., Rubus L. and Vitis L.	32626484
PMC7008835	2020	433355	List of non-EU Scolytinae of coniferous hosts	32626487
PMC7008872	2020	220279	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU Scolytinae of coniferous hosts	32626488
PMC7008906	2020	180927	Pest categorisation of potato virus X (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626491
PMC7008886	2020	112332	List of non-<styled-content style="fixed-case" toggle="no">EU viruses and viroids infecting potato (Solanum tuberosum) and other tuber-forming Solanum species	32626476
PMC7008841	2020	194753	Pest categorisation of potato virus S (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626479
PMC7008826	2020	198060	Pest categorisation of potato virus Y (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626492
PMC7008912	2020	171735	Pest categorisation of potato leafroll virus (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626493
PMC7008883	2020	688454	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses and viroids of potato	32626477
PMC7008853	2020	175301	Pest categorisation of potato virus A (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626489
PMC7008812	2020	168427	Pest categorisation of potato virus M (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626478
PMC7008781	2020	174564	Pest categorisation of potato virus V (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32626490
PMC6982748	2020	35437	Evaluation of Pesticide Residues in Vegetables from the Asir Region, Saudi Arabia	31947847
PMC6938495	2020	102643	Molecularly tagged genes and quantitative trait loci in cucumber with recommendations for QTL nomenclature	31908806
PMC7022289	2019	25592	Feeding Delivery of dsHvSnf7 Is a Promising Method for Management of the Pest Henosepilachnavigintioctopunctata (Coleoptera: Coccinellidae)	31906124
PMC7020435	2019	54505	The Role of Plant-Associated Microbes in Mediating Host-Plant Selection by Insect Herbivores	31861487
PMC6955927	2019	40529	Soil Microarthropods and Soil Health: Intersection of Decomposition and Pest Suppression in Agroecosystems	31756962
PMC7008784	2019	277138	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses of Ribes L.	32626160
PMC7008829	2019	165133	Pest categorisation of Diabrotica virgifera zeae	32626159
PMC7008808	2019	152698	Pest categorisation of Diabrotica barberi	32626158
PMC7008898	2019	211811	Assessment of genetically modified maize <styled-content style="fixed-case" toggle="no">MON 87427 &#xD7; <styled-content style="fixed-case" toggle="no">MON 89034 &#xD7; <styled-content style="fixed-case" toggle="no">MIR162 &#xD7; <styled-content style="fixed-case" toggle="no">MON 87411 and subcombinations, for food and feed uses, under Regulation (<styled-content style="fixed-case" toggle="no">EC) No 1829/2003 (application <styled-content style="fixed-case" toggle="no">EFSA-<styled-content style="fixed-case" toggle="no">GMO-<styled-content style="fixed-case" toggle="no">NL-2017-144)	32626155
PMC6831680	2019	41983	Development of an improved and accessible diet for western corn rootworm larvae using response surface modeling	31690801
PMC7008942	2019	214892	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU Acleris spp.	32626141
PMC6814711	2019	49032	Survey of bacteria associated with western corn rootworm life stages reveals no difference between insects reared in different soils	31653954
PMC6835575	2019	42327	Improving the Health Benefits of Snap Bean: Genome-Wide Association Studies of Total Phenolic Content	31635241
PMC6977960	2019	32970	Double-Stranded RNAs in Plant Protection Against Pathogenic Organisms and Viruses in Agriculture	31993231
PMC7009187	2019	267766	List of non-EU viruses and viroids of Cydonia Mill., Fragaria L., Malus Mill., Prunus L., Pyrus L., Ribes L., Rubus L. and Vitis L.	32626418
PMC7009144	2019	489527	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses and viroids of Prunus L.	32626421
PMC7009087	2019	538074	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses and viroids of Vitis L.	32626420
PMC7009162	2019	369700	Pest categorisation of non-EU viruses of Fragaria L.	32626424
PMC7009133	2019	466957	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses and viroids of Cydonia Mill., Malus Mill. and Pyrus L.	32626419
PMC6835606	2019	36941	Use of Flowering Plants to Enhance Parasitism and Predation Rates on Two Squash Bug Species Anasa tristis and Anasa armigera (Hemiptera: Coreidae)	31557963
