pmcid	year	count	title	pubmedid
PMC7481718	2020	21647	Steinernema diaprepesi (Rhabditida: Steinernematidae) parasitizing Gonipterus platensis (Coleoptera: Curculionidae)	32968508
PMC7469172	2020	38254	Lethal and Sublethal Effects of Chlorpyrifos on Biological Traits and Feeding of the Aphidophagous Predator Harmonia axyridis	32752271
PMC7377440	2020	36543	Dihydroxyacetone of wheat root exudates serves as an attractant for Heterodera avenae	32702002
PMC7387505	2020	48583	The Independent Biological Activity of Bacillus thuringiensis Cry23Aa Protein Against Cylas puncticollis	32793170
PMC7366840	2020	71098	First record of native entomopathogenic nematodes from Montana agroecosystems	32628826
PMC7366836	2020	32804	An innovative strategy for control of fungus gnats using entomopathogenic nematodes alone or in combination with waterlogging	32628823
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7348715	2020	51937	Patterns of Occurrence and Activity of Entomopathogenic Fungi in the Algarve (Portugal) Using Different Isolation Methods	32512919
PMC7265894	2020	45302	Soil texture, infective juvenile concentration, and soil organic matter influence the efficacy of Steinernema feltiae isolate Lican Ray	32185943
PMC7160172	2020	61180	Plants use identical inhibitors to protect their cell wall pectin against microbes and insects	32313638
PMC7022586	2019	23256	Interspecific Hybridization between the Two Sympatric Termite Reticulitermes Species under Laboratory Conditions	31877914
PMC6928651	2019	50647	The Ecology of Salicylic Acid Signaling: Primary, Secondary and Tertiary Effects with Applications in Agriculture	31766518
PMC6831680	2019	41983	Development of an improved and accessible diet for western corn rootworm larvae using response surface modeling	31690801
PMC6836108	2019	28616	&#x399;nteractions between Beauveria bassiana and Isaria fumosorosea and Their Hosts Sitophilus granarius (L.) and Sitophilus oryzae (L.) (Coleoptera: Curculionidae)	31635123
PMC6794192	2019	74702	Effects of Aqueous Extracts from Amazon Plants on Plutella xylostella (Lepidoptera: Plutellidae) and Brevicoryne brassicae (Homoptera: Aphididae) in Laboratory, Semifield, and field trials	31616937
PMC7148182	2020	88852	The role of carbon dioxide in nematode behaviour and physiology	31601281
PMC6764797	2019	55384	Someone like me: Size-assortative pairing and mating in an Amazonian fish, sailfin tetra Crenuchus spilurus	31560725
PMC6681335	2019	29289	Cuticular Hydrocarbon Recognition in the Mating Behavior of Two Pissodes Species	31340524
PMC6679302	2019	34316	Citrus Pests and Diseases Recognition Model Using Weakly Dense Connected Convolution Network	31331122
PMC6626128	2019	43977	Active sound production of scarab beetle larvae opens up new possibilities for species-specific pest monitoring in soils	31300666
PMC6771575	2019	51791	Role and exploitation of underground chemical signaling in plants	31166074
PMC6618153	2019	73623	Evolution and function of multimodal courtship displays	31341343
PMC6501679	2019	50003	Lethal and sublethal synergistic effects of a new systemic pesticide, flupyradifurone (Sivanto(r)), on honeybees	30966981
PMC6690754	2019	53618	Plant terpenes that mediate below-ground interactions: prospects for bioengineering terpenoids for plant protection	30884099
PMC6403226	2019	43615	Multidimensional approach to formulating a specialized diet for northern corn rootworm larvae	30842452
PMC6505152	2019	77328	Isolation by Distance, Source-Sink Population Dynamics and Dispersal Facilitation by Trade Routes: Impact on Population Genetic Structure of a Stored Grain Pest	30808690
PMC6465237	2019	67970	The symbiotic bacteria Alcaligenes faecalis of the entomopathogenic nematodes Oscheius spp. exhibit potential biocontrol of plant- and entomopathogenic fungi	30618110
PMC6299004	2018	60857	The occurrence and formation of monoterpenes in herbivore-damaged poplar roots	30560919
PMC6911842	2019	55421	Penis size and sperm quality, are all bats grey in the dark?	31857816
PMC6316592	2018	40915	Evaluation of a Push-Pull System for the Management of Frankliniella Species (Thysanoptera: Thripidae) in Tomato	30544566
PMC6342177	2018	43558	Size-dependent mating pattern in a nuptial gift-giving insect	30680127
PMC6201888	2018	28708	Risk taking of educated nematodes	30359415
PMC6113682	2018	68940	Brawls Bring Buzz: Male Size Influences Competition and Courtship in Diadasia rinconis (Hymenoptera: Apidae)	30165489
PMC6090812	2018	26127	Small females prefer small males: size assortative mating in Aedes aegypti mosquitoes	30068363
PMC6009653	2018	45475	Biological Control Potential of Two Steinernematid Species Against the Date Fruit Stalk Borer (Oryctes elegans Prell, Coleoptera: Scarabaeidae)	29931123
PMC5996133	2018	129912	Belowground Microbiota and the Health of Tree Crops	29922245
PMC5977470	2018	51786	A targeted in situ hybridization screen identifies putative seminal fluid proteins in a simultaneously hermaphroditic flatworm	29848299
PMC6074794	2018	39384	Irradiation for Quarantine Control of Coffee Berry Borer, Hypothenemus hampei (Coleoptera: Curculionidae: Scolytinae) in Coffee and a Proposed Generic Dose for Snout Beetles (Coleoptera: Curculionoidea)	29741635
PMC5923455	2018	65454	Invertebrate Iridoviruses: A Glance over the Last Decade	29601483
PMC5916303	2018	90601	Size-assortative choice and mate availability influences hybridization between red wolves (Canis rufus) and coyotes (Canis latrans)	29721269
PMC5830975	2018	52720	Comparison of Trap Types, Placement, and Colors for Monitoring Anthonomus musculus (Coleoptera: Curculionidae) Adults in Highbush Blueberries	31329904
PMC5873255	2018	62360	Temporal migration patterns and mating tactics influence size-assortative mating in Rana temporaria	29622935
PMC5693442	2017	101942	Diet improvement for western corn rootworm (Coleoptera: Chrysomelidae) larvae	29149192
PMC7121382	2017	117754	Insect RNAi: Integrating a New Tool in the Crop Protection Toolkit	
PMC5655848	2017	26670	Interactions of Root-Feeding Insects with Fungal and Oomycete Plant Pathogens	29104577
PMC5625325	2017	44994	Novel Alleles of Two Tightly Linked Genes Encoding Polygalacturonase-Inhibiting Proteins (VrPGIP1 and VrPGIP2) Associated with the Br Locus That Confer Bruchid (Callosobruchus spp.) Resistance to Mungbean (Vigna radiata) Accession V2709	29033965
PMC5460232	2017	53065	Parasitic nematode Meloidogyne incognita interactions with different Capsicum annum cultivars reveal the chemical constituents modulating root herbivory	28588235
PMC5496533	2017	64611	Bacterial phytopathogen infection disrupts belowground plant indirect defense mediated by tritrophic cascade	28690813
PMC5437016	2017	47057	Multitrophic Effects of Belowground Parasitoid Learning	28522853
PMC5423596	2017	69646	How plant neighborhood composition influences herbivory: Testing four mechanisms of associational resistance and susceptibility	28486538
PMC5381874	2017	47588	Vision-mediated exploitation of a novel host plant by a tephritid fruit fly	28380069
PMC5336270	2017	72365	Modeling the cost-effectiveness of insect rearing on artificial diets: A test with a tephritid fly used in the sterile insect technique	28257496
PMC5331645	2017	54418	Alternative reproductive tactics and inverse size-assortment in a high-density fish spawning aggregation	28245824
PMC7009882	2017	1218115	Scientific Opinion addressing the state of the science on risk assessment of plant protection products for in-soil organisms	32625401
PMC5345054	2017	116405	Three new species of entimine weevils in Early Miocene amber from the Dominican Republic (Coleoptera: Curculionidae)	28325975
PMC5256374	2017	36578	Ethylene response pathway modulates attractiveness of plant roots to soybean cyst nematode Heterodera glycines	28112257
PMC5214545	2017	63137	Get Tough, Get Toxic, or Get a Bodyguard: Identifying Candidate Traits Conferring Belowground Resistance to Herbivores in Grasses	28105030
PMC6055635	2017	56117	Thrips counts and disease incidence in response to reflective particle films and conservation tillage in cotton and peanut cropping systems	30046183
PMC5198226	2016	55022	Crapemyrtle Bark Scale: A New Threat for Crapemyrtles, a Popular Landscape Plant in the U.S.	27999262
PMC5198218	2016	55938	Biological Control beneath the Feet: A Review of Crop Protection against Insect Root Herbivores	27916820
PMC6079637	2016	64536	A mechanism for sequence specificity in plant-mediated interactions between herbivores	27898177
PMC5198214	2016	42510	Efficacy of Topical Application, Leaf Residue or Soil Drench of Blastospores of Isaria fumosorosea for Citrus Root Weevil Management: Laboratory and Greenhouse Investigations	27879644
PMC5112363	2016	71882	RNAi Efficiency, Systemic Properties, and Novel Delivery Methods for Pest Insect Control: What We Know So Far	27909411
PMC5095600	2016	34128	Eliciting maize defense pathways aboveground attracts belowground biocontrol agents	27811992
PMC4872219	2016	49033	Effects of biotic and abiotic factors on phenotypic partitioning of wing morphology and development in Sclerodermus pupariae (Hymenoptera: Bethylidae)	27194095
PMC4866275	2016	55543	Sexually antagonistic selection on genetic variation underlying both male and female same-sex sexual behavior	27175796
PMC4858831	2016	70170	Temperature-dependent changes in the host-seeking behaviors of parasitic nematodes	27154502
PMC4854467	2016	24959	Stimulation of the Salicylic Acid Pathway Aboveground Recruits Entomopathogenic Nematodes Belowground	27136916
PMC4868922	2016	3077254	Litteratura Coleopterologica (1758_1900): a guide to selected books related to the taxonomy of Coleoptera with publication dates and notes	
PMC4814458	2016	70943	Concilience in Entomopathogenic Nematode Responses to Water Potential and Their Geospatial Patterns in Florida	27064422
PMC4698634	2016	42507	Visualization of Assembly Intermediates and Budding Vacuoles of Singapore Grouper Iridovirus in Grouper Embryonic Cells	26727547
PMC4691168	2015	68107	Plant Adaptation to Multiple Stresses during Submergence and Following Desubmergence	26694376
PMC4588215	2015	49303	Live substrate positively affects root growth and stolon direction in the woodland strawberry, Fragaria vesca	26483826
PMC4585912	2015	25254	Social Networks of Educated Nematodes	26404058
PMC4578773	2015	57871	The Influence of Host Plant Extrafloral Nectaries on Multitrophic Interactions: An Experimental Investigation	26394401
PMC4525197	2015	48996	Aboveground and Belowground Herbivores Synergistically Induce Volatile Organic Sulfur Compound Emissions from Shoots but Not from Roots	26195194
PMC4516919	2015	96416	Venom Proteins from Parasitoid Wasps and Their Biological Functions	26131769
PMC4469322	2015	163424	Lateral Dispersal and Foraging Behavior of Entomopathogenic Nematodes in the Absence and Presence of Mobile and Non-Mobile Hosts	26079715
PMC4414589	2015	48091	Detection of Temporal Changes in Insect Body Reflectance in Response to Killing Agents	25923362
PMC4408369	2015	82674	Novel Set-Up for Low-Disturbance Sampling of Volatile and Non-volatile Compounds from Plant Roots	25795090
