pmcid	year	count	title	pubmedid
PMC7503728	2020	52054	Expression of Thioredoxin/Thioredoxin Reductase System Genes in Aphid-Challenged Maize Seedlings	
PMC7502230	2020	42405	The ability of the green peach aphid (Myzus persicae) to penetrate mesh crop covers used to protect potato crops against tomato potato psyllid (Bactericera cockerelli)	
PMC7332040	2020	89912	High levels of population genetic differentiation in the American crocodile (Crocodylus acutus)	32614920
PMC7349642	2020	48670	Suitability and Profitability of a Cereal Aphid for the Parasitoid Aphidius platensis in the Context of Conservation Biological Control of Myzus persicae in Orchards	32575581
PMC7160944	2020	63707	Development of a universal endogenous qPCR control for eukaryotic DNA samples	32322292
PMC7240687	2020	44712	Host Plants Influence the Symbiont Diversity of Eriosomatinae (Hemiptera: Aphididae)	32244698
PMC6965137	2020	57005	Insecticidal activity and biochemical composition of Citrullus colocynthis, Cannabis indica and Artemisia argyi extracts against cabbage aphid (Brevicoryne brassicae L.)	31949220
PMC6992952	2020	32114	Data on winged insect dynamics in melon crops in southeastern France	32016141
PMC6932783	2019	91155	External morphology and developmental changes of tarsal tips and mouthparts of the invasive spotted lanternfly, Lycorma delicatula (Hemiptera: Fulgoridae)	31877184
PMC6835795	2019	31690	Population Genetic Structure of Aphis gossypii Glover (Hemiptera: Aphididae) in Korea	31561591
PMC6723448	2019	78961	Managing Floral Resources in Apple Orchards for Pest Control: Ideas, Experiences and Future Directions	31405257
PMC7009170	2019	494262	Scientific statement on the coverage of bats by the current pesticide risk assessment for birds and mammals	32626374
PMC6620339	2019	90124	The composition of the aphid fauna (Insecta, Hemiptera) of the Royal Botanic Gardens, Kew	31292495
PMC6628405	2019	70940	Integrated Pest Management (IPM) for Small-Scale Farms in Developed Economies: Challenges and Opportunities	31234382
PMC6564008	2019	110734	A matrix model describing host_parasitoid population dynamics: The case of Aphelinus certus and soybean aphid	31194816
PMC6572432	2019	39533	The Contribution of Surrounding Margins in the Promotion of Natural Enemies in Mediterranean Apple Orchards	31126134
PMC6572627	2019	40096	Fine Morphology of the Mouthparts in Cheilocapsus nigrescens (Hemiptera: Heteroptera: Miridae) Reflects Adaptation for Phytophagous Habits	31109148
PMC6502340	2019	48408	Effects of restricting movement between root and canopy populations of woolly apple aphid	31059561
PMC6523324	2019	28919	First Screening of Entomopathogenic Nematodes and Fungus as Biocontrol Agents against an Emerging Pest of Sugarcane, Cacosceles newmannii (Coleoptera: Cerambycidae)	31027196
PMC6600799	2019	27169	Genetic differentiation of Pseudoregma bambucicola population based on mtDNA COII gene	31303837
PMC6450873	2019	123796	Apple whole genome sequences: recent advances and new prospects	30962944
PMC6468374	2019	71968	Morphological and Molecular Analysis of Australian Earwigs (Dermaptera) Points to Unique Species and Regional Endemism in the Anisolabididae Family	30875825
PMC6403475	2019	26835	Applied Biological Control in Brazil: From Laboratory Assays to Field Application	30822777
PMC6411660	2019	37394	Insect Behavior and Physiological Adaptation Mechanisms Under Starvation Stress	30890949
PMC6387383	2019	41938	Neonicotinoid Insecticides Alter the Transcriptome of Soybean and Decrease Plant Resistance	30759791
PMC6023359	2018	50184	Transmission Success of Entomopathogenic Nematodes Used in Pest Control	29925806
PMC5674205	2017	132567	Review of the tribe <named-content content-type="tribe">Chilocorini Mulsant from Iran (Coleoptera, Coccinellidae)	29134036
PMC5620721	2017	44588	Getting More Power from Your Flowers: Multi-Functional Flower Strips Enhance Pollinators and Pest Control Agents in Apple Orchards	28930157
PMC5576687	2017	44089	Role of the aphid species and their feeding locations in parasitization behavior of Aphelinus abdominalis, a parasitoid of the lettuce aphid Nasonovia ribisnigri	28854232
PMC6151543	2017	89665	The Influence of Lead on Generation of Signalling Molecules and Accumulation of Flavonoids in Pea Seedlings in Response to Pea Aphid Infestation	28837107
PMC5432507	2017	67897	Genetic variation and phylogeographic structure of the cotton aphid, Aphis gossypii, based on mitochondrial DNA and microsatellite markers	28507345
PMC5421791	2017	70984	Fine structure of mouthparts and feeding performance of Pyrrhocoris sibiricus Kuschakevich with remarks on the specialization of sensilla and stylets for seed feeding	28481941
PMC5376087	2017	64929	Characterizing the spatial distribution of brown marmorated stink bug, Halyomorpha halys St&#xE5;l (Hemiptera: Pentatomidae), populations in peach orchards	28362797
PMC5057442	2016	83353	Folk knowledge of invertebrates in Central Europe - folk taxonomy, nomenclature, medicinal and other uses, folklore, and nature conservation	27729074
PMC4933539	2016	17464	Differential Induction of Flavonoids in Groundnut in Response to Helicoverpa armigera and Aphis craccivora Infestation	27398031
PMC4933086	2016	63286	Cost-benefit trade-offs of bird activity in apple orchards	27413639
PMC4811529	2016	100951	QTLs for Woolly Poplar Aphid (Phloeomyzus passerinii L.) Resistance Detected in an Inter-Specific Populus deltoides x P. nigra Mapping Population	27022954
PMC4715455	2016	129873	Unveiling the status of alien animals in the arid zone of Asia	26793423
PMC5216080	2016	56220	Morphometric analysis of young petiole galls on the narrow-leaf cottonwood, Populus angustifolia, by the sugarbeet root aphid, Pemphigus betae	26739691
PMC4691162	2015	69945	The Complete Mitochondrial Genome of Mindarus keteleerifoliae (Insecta: Hemiptera: Aphididae) and Comparison with Other Aphididae Insects	26694371
PMC4643147	2015	95495	Development of a Susceptibility Index of Apple Cultivars for Codling Moth, Cydia pomonella (L.) (Lepidoptera: Tortricidae) Oviposition	26617629
