pmcid	year	count	title	pubmedid
PMC7508886	2020	48211	Digestive activity and organic compounds of Nezara viridula watery saliva induce defensive soybean seed responses	
PMC7416138	2020	80122	Two Tachykinin-Related Peptides with Antimicrobial Activity Isolatedfrom Triatoma infestans Hemolymph	32843839
PMC7412047	2020	52314	Evaluation of the Physiological Host Range for the Parasitoid Ooencyrtus mirus, a Potential Biocontrol Agent of Bagrada hilaris	32664427
PMC7463329	2020	123096	Multiple invasions of a generalist herbivore-Secondary contact between two divergent lineages of Nezara viridula Linnaeus in Australia	32908608
PMC7197946	2020	20232	Parasitism of Adult Pentatomidae by Tachinidae in Soybean in the North Central Region of the United States	32365174
PMC6797616	2019	67434	The Principal Salivary Gland Is the Primary Source of Digestive Enzymes in the Saliva of the Brown Marmorated Stink Bug, Halyomorpha halys	31680993
PMC6835606	2019	36941	Use of Flowering Plants to Enhance Parasitism and Predation Rates on Two Squash Bug Species Anasa tristis and Anasa armigera (Hemiptera: Coreidae)	31557963
PMC6483992	2019	61127	Differential impacts of pesticides on Euschistus heros (Hem.: Pentatomidae) and its parasitoid Telenomus podisi (Hym.: Platygastridae)	31024056
PMC6678072	2019	67740	Behavioral Responses of Thrips (Thysanoptera: Thripidae) and Tarnished Plant Bug (Hemiptera: Miridae) to a New Bt Toxin, Cry51Aa2.834_16 in Cotton	30920619
PMC6435312	2019	75309	Predation on stink bugs (Hemiptera: Pentatomidae) in cotton and soybean agroecosystems	30913247
PMC6390097	2019	46940	Reduced caterpillar damage can benefit plant bugs in Bt cotton	30804420
PMC6380218	2019	59264	Influence of Pheromone-Baited Traps on Stink Bugs in Cotton	30794727
PMC6224277	2018	64788	Lethal and behavioral effects of synthetic and organic insecticides on Spodoptera exigua and its predator Podisus maculiventris	30408828
PMC6316212	2018	31065	Application of Trap Cropping as Companion Plants for the Management of Agricultural Pests: A Review	30257517
PMC5638903	2017	55873	Citrus peel essential oil nanoformulations to control the tomato borer, Tuta absoluta: chemical properties and biological activity	29026207
PMC5620716	2017	57500	Comparative Programs for Arthropod, Disease and Weed Management in New York Organic Apples	28869562
PMC5585857	2017	68404	Methyl jasmonate induction of cotton: a field test of the 'attract and reward' strategy of conservation biological control	28894566
PMC5620685	2017	45505	Ecosystem-Based Incorporation of Nectar-Producing Plants for Stink Bug Parasitoids	28672808
PMC5463341	2017	85053	The evolution of trypanosomatid taxonomy	28595622
PMC5469386	2017	55541	Probing Behavior of Dichelops furcatus (F.) (Heteroptera: Pentatomidae) on Wheat Plants Characterized by Electropenetrography (EPG) and Histological Studies	28931161
PMC5400260	2017	111371	Evaluation of mature soybean pods as a food source for two pod-sucking bugs, Riptortus pedestris (Hemiptera: Alydidae) and Halyomorpha halys (Hemiptera: Pentatomidae)	28430798
PMC5088694	2016	87953	Density and Egg Parasitism of Stink Bugs (Hemiptera: Pentatomidae) in Elderberry and Dispersal Into Crops	27773875
PMC4913459	2016	62964	Identification of Genes Potentially Responsible for extra-Oral Digestion and Overcoming Plant Defense from Salivary Glands of the Tarnished Plant Bug (Hemiptera: Miridae) Using cDNA Sequencing	27324587
PMC4901325	2016	34505	Distinct properties of proteases and nucleases in the gut, salivary gland and saliva of southern green stink bug, Nezara viridula	27282882
PMC4771716	2016	74819	Contrasting Role of Temperature in Structuring Regional Patterns of Invasive and Native Pestilential Stink Bugs	26928562
PMC4684188	2015	47060	Demographic Parameters of Nezara viridula (Heteroptera: Pentatomidae) Reared on Two Diets Developed for Lygus spp.	26685317
PMC4626664	2015	26697	Aggregation and Association of NDVI, Boll Injury, and Stink Bugs in North Carolina Cotton	26411787
PMC4677500	2015	73563	Spatiotemporal Distribution of Chinavia hilaris (Hemiptera: Pentatomidae) in Peanut-Cotton Farmscapes	26175464
PMC4535476	2015	94793	Spatiotemporal Distribution of Chinavia hilaris (Hemiptera: Pentatomidae) in Corn Farmscapes	25843581
PMC4535328	2015	189376	Spatial and Temporal Dynamics of Stink Bugs in Southeastern Farmscapes	25843577
PMC4256200	2014	68851	Electronically Monitored Labial Dabbing and Stylet 'Probing' Behaviors of Brown Marmorated Stink Bug, Halyomorpha halys, in Simulated Environments	25474148
PMC4227672	2014	78119	Transcriptome of the Invasive Brown Marmorated Stink Bug, Halyomorpha halys (St&#xE5;l) (Heteroptera: Pentatomidae)	25386688
PMC4190369	2014	72822	Adjacent Habitat Influence on Stink Bug (Hemiptera: Pentatomidae) Densities and the Associated Damage at Field Corn and Soybean Edges	25295593
PMC4359364	2014	81661	Recurrent loss of CenH3 is associated with independent transitions to holocentricity in insects	25247700
PMC4212873	2014	47537	Spatial distribution of stink bugs (Hemiptera: Pentatomidae) in wheat	25205358
PMC4006787	2014	94159	Landscape Factors Facilitating the Invasive Dynamics and Distribution of the Brown Marmorated Stink Bug, Halyomorpha halys (Hemiptera: Pentatomidae), after Arrival in the United States	24787576
PMC3981664	2014	58465	Characterization of Overwintering Sites of the Invasive Brown Marmorated Stink Bug in Natural Landscapes Using Human Surveyors and Detector Canines	24717734
PMC3935659	2014	46798	Insights into the Saliva of the Brown Marmorated Stink Bug Halyomorpha halys (Hemiptera: Pentatomidae)	24586332
PMC4115179	2014	34408	Physical barriers for suppression of movement of adult stink bugs into cotton	25100928
PMC3663817	2013	50048	LED-Induced fluorescence and image analysis to detect stink bug damage in cotton bolls	23421982
PMC3605025	2012	39460	Selection of Soybean Pods by the Stink Bugs, Nezara viridula and Piezodorus guildinii	23437991
PMC3596936	2012	26399	Residual Activity of Methoprene and Novaluron as Surface Treatments to Manage the Flour Beetles, Tribolium castaneum and Tribolium confusum	23421852
PMC3398418	2012	71182	Toxins for Transgenic Resistance to Hemipteran Pests	22822455
PMC3462398	2011	29420	Insecticidal Management and Movement of the Brown Stink Bug, Euschistus servus, in Corn	22950984
PMC3202857	2011	39464	Spatial Patterns of Aflatoxin Levels in Relation to Ear-Feeding Insect Damage in Pre-Harvest Corn	22069748
PMC3061576	2008	53147	Effects of Vegetated Field Borders on Arthropods in Cotton Fields in Eastern North Carolina	20345293
PMC1615236	2005	36169	The shield-backed bug, Pachycoris stallii: Description of immature stages, effect of maternal care on nymphs, and notes on life history	17119611
