pmcid	year	count	title	pubmedid
PMC7506528	2020	50450	The use of light spectrum blocking films to reduce populations of Drosophila suzukii Matsumura in fruit crops	
PMC7493910	2020	50072	Transcriptome response comparison between vector and non-vector aphids after feeding on virus-infected wheat plants	
PMC7489515	2020	61392	Fitness costs in clothianidin-resistant population of the melon aphid, Aphis gossypii	
PMC7488527	2020	80263	Stagewise resolution of temperature-dependent embryonic and postembryonic development in the cowpea seed beetle Callosobruchus maculatus (F.)	32917176
PMC7482974	2020	66084	The nesting preference of an invasive ant is associated with the cues produced by actinobacteria in soil	
PMC7469931	2020	45606	Effects of cowpea mild mottle virus on soybean cultivars in Brazil	32944424
PMC7450957	2020	77802	Saving time maintaining reliability: a new method for quantification of Tetranychus urticae damage in Arabidopsis whole rosettes	32854637
PMC7481519	2020	44557	Begomovirus-Associated Betasatellite Virulence Factor betaC1 Attenuates Tobacco Defense to Whiteflies via Interacting With Plant SKP1	32973859
PMC7440640	2020	86047	Relative susceptibility to pesticides and environmental conditions of Frankliniella intonsa and F. occidentalis (Thysanoptera: Thripidae), an underlying reason for their asymmetrical occurrence	32817683
PMC7466434	2020	62202	Transcriptomic Analysis of the Kuruma Prawn Marsupenaeus japonicus Reveals Possible Peripheral Regulation of the Ovary	32973675
PMC7469186	2020	42899	Synergism between Hydramethylnon and Metarhizium anisopliae and Their Influence on the Gut Microbiome of Blattella germanica (L.)	32824260
PMC7434863	2020	53220	Species Identity and Initial Size Rather Than Neighborhood Interactions Influence Survival in a Response-Surface Examination of Competition	32903341
PMC7469195	2020	31186	Interactive Effects of an Herbivore-Induced Plant Volatile and Color on an Insect Community in Cranberry	32806513
PMC7464891	2020	37992	Zeaxanthin and Lutein: Photoprotectors, Anti-Inflammatories, and Brain Food	32784397
PMC7427430	2020	97836	Plant Immune System Activation Upon Citrus Leprosis Virus C Infection Is Mimicked by the Ectopic Expression of the P61 Viral Protein	32849736
PMC7459587	2020	37799	Applications of Proteomic Tools to Study Insect Vector_Plant Virus Interactions	32784674
PMC7414104	2020	29243	Development of a lateral flow test for bed bug detection	32770120
PMC7410255	2020	75188	Eradicating the large white butterfly from New Zealand eliminates a threat to endemic Brassicaceae	32760094
PMC7459483	2020	107639	Development of an IPM Strategy for Thrips and Tomato spotted wilt virus in Processing Tomatoes in the Central Valley of California	32764311
PMC7469196	2020	24818	DNA Barcoding: A Reliable Method for the Identification of Thrips Species (Thysanoptera, Thripidae) Collected on Sticky Traps in Onion Fields	32752172
PMC7376646	2020	97945	The genome sequence of the grape phylloxera provides insights into the evolution, adaptation, and invasion routes of an iconic pest	32698880
PMC7387647	2020	49442	Nitric Oxide Boosts Bemisia tabaci Performance Through the Suppression of Jasmonic Acid Signaling Pathway in Tobacco Plants	32792979
PMC7396427	2020	146025	Comparison of the complete mitochondrial genome of Phyllophorus liuwutiensis (Echinodermata: Holothuroidea: Phyllophoridae) to that of other sea cucumbers	32573974
PMC7380168	2020	118690	Detection of Plant Viruses and Disease Management: Relevance of Genetic Diversity and Evolution	32765569
PMC7412371	2020	47420	Attributes of Yellow Traps Affecting Attraction of Diaphorina citri (Hemiptera: Liviidae)	32708797
PMC7375090	2020	85230	Marine Oomycetes of the Genus Halophytophthora Harbor Viruses Related to Bunyaviruses	32760358
PMC7411608	2020	41279	High Voltage Electric Fields Have Potential to Create New Physical Pest Control Systems	32679911
PMC7412340	2020	54234	Prophylactic Avoidance of Hazardous Prey by the Ant Host Myrmica rubra	32674516
PMC7411814	2020	48027	Host Plant Species of Bemisia tabaci Affect Orientational Behavior of the Ladybeetle Serangium japonicum and Their Implication for the Biological Control Strategy of Whiteflies	32664559
PMC7411919	2020	45857	Wavelength-Specific Behavior of the Western Flower Thrips (Frankliniella occidentalis): Evidence for a Blue-Green Chromatic Mechanism	32659926
PMC7360853	2020	35653	The Use of Engineered Plant Viruses in a Trans-Kingdom Silencing Strategy Against Their Insect Vectors	32733507
PMC7359143	2020	53721	Microscopic analysis of the microbiota of three commercial Phytoseiidae species (Acari: Mesostigmata)	32638184
PMC7382290	2020	74781	A plant DNA virus replicates in the salivary glands of its insect vector via recruitment of host DNA synthesis machinery	32636269
PMC7452929	2020	28246	Identification of Cyt2Ba from a New Strain of Bacillus thuringiensis and Its Toxicity in Bradysia difformis	32621000
PMC7411846	2020	29204	Behavioral Responses of Thrips hawaiiensis (Thysanoptera: Thripidae) to Volatile Compounds Identified from Gardenia jasminoides Ellis (Gentianales: Rubiaceae)	32630187
PMC7338578	2020	32955	A Chemosensory Protein BtabCSP11 Mediates Reproduction in Bemisia tabaci	32695020
PMC7404550	2020	56122	Evaluation of Garlic Landraces from Foggia Province (Puglia Region; Italy)	32610546
PMC7400459	2020	64431	Variation Profile of the Orthotospovirus Genome	32610472
PMC7412485	2020	33009	Discovery of Two Novel Negeviruses in a Dungfly Collected from the Arctic	32604989
PMC7371651	2020	56732	Attraction of Chrysotropia ciliata (Neuroptera, Chrysopidae) Males to P-Anisaldehyde, a Compound with Presumed Pheromone Function	32588285
PMC7463329	2020	123096	Multiple invasions of a generalist herbivore-Secondary contact between two divergent lineages of Nezara viridula Linnaeus in Australia	32908608
PMC7496652	2020	85346	Evolutionary trade-offs of insecticide resistance - The fitness costs associated with target-site mutations in the nAChR of Drosophila melanogaster	
PMC7376122	2020	22988	Field evaluation of nucleopolyhedrosis virus and some biorational insecticides against Helicoverpa armigera Hubner (Noctuidae: Lepidoptera)	32714035
PMC7307562	2020	118249	Beyond polyphagy and opportunism: natural prey of hunting spiders in the canopy of apple trees	32596048
PMC7356856	2020	50157	Corn Stunt Disease: An Ideal Insect_Microbial_Plant Pathosystem for Comprehensive Studies of Vector-Borne Plant Diseases of Corn	32545891
PMC7289347	2020	68175	Comparison of air temperature measured in a vineyard canopy and at a standard weather station	32525911
PMC7378116	2020	146738	An update of the Worldwide Integrated Assessment (WIA) on systemic pesticides. Part 4: Alternatives in major cropping systems	32500500
PMC7263575	2020	36549	Effects of melon yellow spot orthotospovirus infection on the preference and developmental traits of melon thrips, Thrips palmi, in cucumber	32479526
PMC7349870	2020	20974	Control of Whitefly (Hemiptera: Aleyrodidae), Trialeurodes vaporariorum, with Electron Beam and X-Ray Radiation of Fresh Strawberies for Export	32486491
PMC7273966	2020	43189	Botanical Volatiles Selection in Mediating Electrophysiological Responses and Reproductive Behaviors for the Fall Webworm Moth Hyphantria cunea	32547409
PMC7251882	2020	66346	Multi-faceted analysis provides little evidence for recurrent whole-genome duplications during hexapod evolution	32460826
PMC7251205	2020	116970	Hadaka Virus 1: a Capsidless Eleven-Segmented Positive-Sense Single-Stranded RNA Virus from a Phytopathogenic Fungus, Fusarium oxysporum	32457242
PMC7271259	2020	39852	Semifield Evaluation of Improved Passive Outdoor Host Seeking Device (POHD) for Outdoor Control of Anopheles arabiensis Mosquitoes	32547328
PMC7290661	2020	39174	Transcriptomic Analysis of Mating Responses in Bemisia tabaci MED Females	32423081
PMC7290743	2020	30668	KASP Genotyping as a Molecular Tool for Diagnosis of Cassava-Colonizing Bemisia tabaci	32423055
PMC7281679	2020	38244	Organic Amendments Modulate Soil Microbiota and Reduce Virus Disease Incidence in the TSWV-Tomato Pathosystem	32423086
PMC7247006	2020	46524	Zinc and Copper Enhance Cucumber Tolerance to Fusaric Acid by Mediating Its Distribution and Toxicity and Modifying the Antioxidant System	32397623
PMC7496960	2020	62930	Nonanal modulates oviposition preference in female Helicoverpa assulta (Lepidoptera: Noctuidae) via the activation of peripheral neurons	
PMC7203134	2020	50811	Relationships of virus titers and transmission rates among sympatric and allopatric virus isolates and thrips vectors support local adaptation	32376869
PMC7198579	2020	42846	Chemical identification of an aggregation pheromone in the termite Reticulitermes speratus	32366829
PMC7291231	2020	34516	Effects of Diallyl Trisulfide, an Active Substance from Garlic Essential Oil, on Energy Metabolism in Male Moth Sitotroga cerealella (Olivier)	32365606
PMC7190127	2020	46453	Host plant nutrient contents influence nutrient contents in Bradysia cellarum and Bradysia impatiens	32348333
PMC7187958	2020	48165	Double-Stranded RNA Technology to Control Insect Pests: Current Status and Challenges	32373146
PMC7299927	2020	70753	Transcriptional and metabolite analysis reveal a shift in direct and indirect defences in response to spider-mite infestation in cucumber (Cucumis sativus)	32306368
PMC7238027	2020	41718	Thrips as the Transmission Bottleneck for Mixed Infection of Two Orthotospoviruses	32326567
PMC7159206	2020	82450	Effect of internal surface structure of the north wall on Chinese solar greenhouse thermal microclimate based on computational fluid dynamics	32294132
PMC7177692	2020	106774	Overview of Biotic Stresses in Pepper (Capsicum spp.): Sources of Genetic Resistance, Molecular Breeding and Genomics	32276403
PMC7136007	2020	68495	Probing Behavior of Diaphorina citri (Hemiptera: Liviidae) on Valencia Orange Influenced by Sex, Color, and Size	32252064
PMC7180957	2020	31926	Preliminary Study on the Differences in Hydrocarbons Between Phosphine-Susceptible and -Resistant Strains of Rhyzopertha dominica (Fabricius) and Tribolium castaneum (Herbst) Using Direct Immersion Solid-Phase Microextraction Coupled with GC-MS	32235326
PMC7118686	2020	112984	Population Numbers and Physiological Response of an Invasive and Native Thrip Species Following Repeated Exposure to Imidacloprid	
PMC7101305	2020	35734	Evaluation of Stratiolaelaps scimitus (Acari: Laelapidae) for controlling the root-knot nematode, Meloidogyne incognita (Tylenchida: Heteroderidae)	32221411
PMC7240613	2020	34856	Molecular Characterization of Neoseiulus barkeri Vitellogenin Genes and Vitellogenin Receptor during Reproductive Diapause	32225063
PMC7232525	2020	43681	The Tomato spotted wilt virus (TSWV) Genome is Differentially Targeted in TSWV-Infected Tomato (Solanum lycopersicum) with or without Sw-5 Gene	32224858
PMC7143231	2020	37021	Selection of Predatory Mites for the Biological Control of Potato Tuber Moth in Stored Potatoes	32244992
PMC7081190	2020	58420	Selection of reference genes for normalization of RT-qPCR data in gene expression studies in Anthonomus eugenii Cano (Coleoptera: Curculionidae)	32193506
PMC7081841	2020	54907	Air Exposure Affects Physiological Responses, Innate Immunity, Apoptosis and DNA Methylation of Kuruma Shrimp, Marsupenaeus japonicus	32226395
PMC7142566	2020	35445	Behavioral Responses of Western Flower Thrips (Frankliniella occidentalis) to Visual and Olfactory Cues at Short Distances	32168875
PMC7142666	2020	19202	Bacterial Endosymbiont Diversity among Bemisia tabaci (Hemiptera: Aleyrodidae) Populations in Florida	32168905
PMC7178818	2020	34020	Soil Application of Metarhizium anisopliae JEF-314 Granules to Control, Flower Chafer Beetle, Protaetia brevitarsis seulensis	32363042
PMC7150927	2020	51421	Molecular Insights into Host and Vector Manipulation by Plant Viruses	32121032
PMC7154910	2020	37611	A TMT-Based Quantitative Proteome Analysis to Elucidate the TSWV Induced Signaling Cascade in Susceptible and Resistant Cultivars of Solanum lycopersicum	32110948
PMC7074471	2020	29712	Male-Produced (&#x2212;)-&#x3B4;-Heptalactone, Pheromone of Fruit Fly Rhagoletis batava (Diptera: Tephritidae), a Sea Buckthorn Berries Pest	32102198
PMC7029577	2020	39757	A multiplex PCR assay for rapid identification of major tospovirus vectors reported in India	32070289
PMC7039109	2020	64672	eCALIBRATOR: A Comparative Tool to Identify Key Genes and Pathways for Eucalyptus Defense Against Biotic Stressors	32127794
PMC7070593	2020	43059	Essential Oil Yield and Composition of the Balkan Endemic Satureja pilosa Velen. (Lamiaceae)	32070040
PMC7083670	2020	90898	Genetic variability, community structure, and horizontal transfer of endosymbionts among three Asia II-Bemisia tabaci mitotypes in Pakistan	32211166
PMC7074251	2020	29411	Invasion History of Sirex noctilio Based on COI Sequence: The First Six Years in China	32050499
PMC7317203	2020	103608	Hyperspectral remote sensing to detect leafminer-induced stress in bok choy and spinach according to fertilizer regime and timing	31970888
PMC7076654	2020	64200	Cytokinins Are Abundant and Widespread among Insect Species	32041320
PMC6999899	2020	50467	Comparative transcriptome provides molecular insight into defense-associated mechanisms against spider mite in resistant and susceptible common bean cultivars	32017794
PMC6998375	2020	46196	Identification of transcriptome and fluralaner responsive genes in the common cutworm Spodoptera litura Fabricius, based on RNA-seq	32013879
PMC7155073	2020	91016	Conditioning the soil microbiome through plant_soil feedbacks suppresses an aboveground insect pest	31863484
PMC7074224	2020	38603	A Greenhouse Test to Explore and Evaluate Light-Emitting Diode (LED) Insect Traps in the Monitoring and Control of Trialeurodes vaporariorum	32024157
PMC7073766	2020	60885	The Time_Concentration_Mortality Responses of Western Flower Thrips, Frankliniella occidentalis, to the Synergistic Interaction of Entomopathogenic Fungus Metarhizium flavoviride, Insecticides, and Diatomaceous Earth	32024074
PMC7012576	2020	18119	Life Cycle-Based Host Range Analysis for Tomato Spotted Wilt Virus in Korea	32089662
PMC7073685	2020	24592	Assessment of Chrysoperla comanche (Banks) and Chrysoperla externa (Hagen) as Biological Control Agents of Frankliniella occidentalis (Pergande) (Thysanoptera: Thripidae) on Tomato (Solanum lycopersicum) under Glasshouse Conditions	32013231
PMC7077190	2020	37008	Manipulation of Jasmonate Signaling by Plant Viruses and Their Insect Vectors	32012772
PMC6977789	2020	43148	Role of phosphoglucomutase in regulating trehalose metabolism in Nilaparvata lugens	32030330
PMC6977273	2020	51415	Gene content evolution in the arthropods	31969194
PMC7074244	2020	36684	Larval Host Preference and Suitability for the Sawfly Mesoneura rufonota among Five Cinnamomun Tree Species	31979148
PMC3142104	2009	1407	Southern Plant Diagnostic Network Invasive Arthropod Workshop	
PMC2724403	2009	40550	Jasmonate-dependent plant defense restricts thrips performance and preference	19635132
PMC2724694	2009	50535	Independent responses to ultraviolet radiation and herbivore attack in broccoli	19542197
PMC3011895	2009	32005	Entomopathogenic Activity of a Variety of the Fungus, Colletotrichum acutatum, Recovered from the Elongate Hemlock Scale, Fiorinia externa	19613442
PMC2674504	2009	39188	Foam nest components of the t&#xFA;ngara frog: a cocktail of proteins conferring physical and biological resilience	19324764
PMC2710796	2008	40344	Semliki Forest virus strongly reduces mosquito host defence signaling	18811601
PMC2474614	2008	46366	The origin and evolution of plant cystatins and their target cysteine proteinases indicate a complex functional relationship	18616807
PMC2375910	2008	83786	Comparative transcriptome analysis of Arabidopsis thaliana infested by diamond back moth (Plutella xylostella) larvae reveals signatures of stress response, secondary metabolism, and signalling	18400103
PMC2469278	2008	44119	Herbivore benefits from vectoring plant virus through reduction of period of vulnerability to predation	18392858
PMC3061595	2008	40216	Onion Thrips, Thrips tabaci, Have Gut Bacteria That are Closely Related to the Symbionts of the Western Flower Thrips, Frankliniella occidentalis	20298113
PMC3061575	2008	24187	Life Table Analysis for Immatures and Female Adults of the Predatory Beetle, Delphastus catalinae, Feeding on Whiteflies Under Three Constant Temperatures	20345295
PMC3061574	2008	26654	Assessment of Geographic and Host-Associated Population Variations of the Carob Moth, Ectomyelois ceratoniae, on Pomegranate, Fig, Pistachio and Walnut, Using AFLP Markers	20345296
PMC3061584	2008	1338	Fourth International Bemisia Workshop International Whitefly Genomics Workshop December 3_8, 2006, Duck Key, Florida, USA	
PMC2031921	2007	83303	Different Transcript Patterns in Response to Specialist and Generalist Herbivores in the Wild Arabidopsis Relative Boechera divaricarpa	17957263
PMC2999430	2007	117	VIII International Symposium on Thysanoptera and TospovirusesSeptember 11_15, 2005Asilomar, Pacific Grove, California	
PMC1773017	2007	65900	Vector-Virus Mutualism Accelerates Population Increase of an Invasive Whitefly	17264884
PMC2990331	2006	53614	Thysanoptera (Thrips) Within Citrus Orchards in Florida: Species Distribution, Relative and Seasonal Abundance Within Trees, and Species on Vines and Ground Cover Plants	20233100
PMC2990302	2006	36534	Plasma phenoloxidase of the larval tobacco budworm, Heliothis virescens, is virucidal	19537988
PMC535352	2004	44851	Density-dependence and within-host competition in a semelparous parasite of leaf-cutting ants	15541185
PMC524658	2003	36261	IPM-compatibility of foliar insecticides for citrus: Indices derived from toxicity to beneficial insects from four orders	15841234
PMC524648	2003	39265	Toxicity of fruit fly baits to beneficial insects in citrus.	15841224
PMC6985590	2020	62421	Comparative Transcriptome Analysis of the Heat Stress Response in Monochamus alternatus Hope (Coleoptera: Cerambycidae)	32038275
PMC7074388	2020	16922	Photosynthesis Inhibiting Effects of Pesticides on Sweet Pepper Leaves	31973019
PMC7013810	2020	54594	An Analysis of Global Research Trends on Greenhouse Technology: Towards a Sustainable Agriculture	31968567
PMC6971079	2020	81736	Rearrangement and evolution of mitochondrial genomes in Thysanoptera (Insecta)	31959910
PMC7022610	2020	39856	Genetic Diversity of Bemisia tabaci (Gennadius) (Hemiptera: Aleyrodidae) Colonizing Sweet Potato and Cassava in South Sudan	31963536
PMC6965624	2020	24356	Higher Ramie mosaic virus transmission efficiency by females than by males of Bemisia tabaci MED	31949196
PMC7024201	2020	48101	Iridoids: Research Advances in Their Phytochemistry, Biological Activities, and Pharmacokinetics	31936853
PMC7008883	2020	688454	Pest categorisation of non-<styled-content style="fixed-case" toggle="no">EU viruses and viroids of potato	32626477
PMC6982748	2020	35437	Evaluation of Pesticide Residues in Vegetables from the Asir Region, Saudi Arabia	31947847
PMC6932786	2019	71412	Selection of valid reference genes for quantitative real-time PCR in Cotesia chilonis (Hymenoptera: Braconidae) exposed to different temperatures	31877150
PMC6982998	2019	27438	alpha-Ionone, an Apocarotenoid, Induces Plant Resistance to Western Flower Thrips, Frankliniella occidentalis, Independently of Jasmonic Acid	31861560
PMC6923365	2019	42390	Phytoseiid predatory mites can disperse entomopathogenic fungi to prey patches	31857623
PMC7168672	2019	34014	Status and Epidemiology of Maize Lethal Necrotic Disease in Northern Tanzania	31861452
PMC6917271	2019	72918	The salivary gland proteome of root-galling grape phylloxera (Daktulosphaira vitifoliae Fitch) feeding on Vitis spp.	31846459
PMC6956224	2019	35933	Response to Multiple Stressors: Enhanced Tolerance of Neoseiulus barkeri Hughes (Acari: Phytoseiidae) to Heat and Desiccation Stress through Acclimation	31847063
PMC6999849	2019	78426	Functional Genomics of a Symbiotic Community: Shared Traits in the Olive Fruit Fly Gut Microbiota	31830246
PMC6908590	2019	31212	Egg parasitoid exploitation of plant volatiles induced by single or concurrent attack of a zoophytophagous predator and an invasive phytophagous pest	31831800
PMC6899333	2019	36455	Molecular Features and Expression Patterns of Vitellogenin Receptor in Calliptamus italicus (Orthoptera: Acrididae)	31812980
PMC6955951	2019	43027	A Review of Interactions between Insect Biological Control Agents and Semiochemicals	31817457
PMC6963952	2019	48214	Bacterium-Mediated RNA Interference: Potential Application in Plant Protection	31817412
PMC6885351	2019	76323	Multiple ecosystem services from field margin vegetation for ecological sustainability in agriculture: scientific evidence and knowledge gaps	31799074
PMC6868284	2019	54243	A thrips vector of tomato spotted wilt virus responds to tomato acylsugar chemical diversity with reduced oviposition and virus inoculation	31748622
PMC6861241	2019	86698	Metatranscriptomic Analysis of Multiple Environmental Stresses Identifies RAP2.4 Gene Associated with Arabidopsis Immunity to Botrytis cinerea	31740741
PMC6873825	2019	64480	The Roles of Four Novel P450 Genes in Pesticides Resistance in Apis cerana cerana Fabricius: Expression Levels and Detoxification Efficiency	31803222
PMC6920860	2019	53661	Identification and Expression Profiling of Peripheral Olfactory Genes in the Parasitoid Wasp Aphidius ervi (Hymenoptera: Braconidae) Reared on Different Aphid Hosts	31717299
