pmcid	year	count	title	pubmedid
PMC7357564	2020	77461	Arthropod IGF, relaxin and gonadulin, putative orthologs of Drosophila insulin-like peptides 6, 7 and 8, likely originated from an ancient gene triplication	32728497
PMC7310253	2020	45143	Histone deacetylase 3 is required for development and metamorphosis in the red flour beetle, Tribolium castaneum	32571203
PMC7317607	2020	72673	Characterization of the First W-Specific Protein-Coding Gene for Sex Identification in Helicoverpa armigera	32636875
PMC7240479	2020	74725	A Review of the Phenotypic Traits Associated with Insect Dispersal Polymorphism, and Experimental Designs for Sorting out Resident and Disperser Phenotypes	32235446
PMC6880982	2019	77382	A specific type of insulin-like peptide regulates the conditional growth of a beetle weapon	31774806
PMC6814814	2019	52995	Complex interactions between sperm viability and female fertility	31653962
PMC6571962	2019	65953	Minimal Thermal Requirements for Development and Activity of Stored Product and Food Industry Pests (Acari, Coleoptera, Lepidoptera, Psocoptera, Diptera and Blattodea): A Review	31126156
PMC6506240	2019	76167	Genetic architecture and sex-specific selection govern modular, male-biased evolution of doublesex	31086812
PMC6394555	2019	28415	Effects of Chronic Metal Exposure on the Morphology of Beetles Species Representing Different Ecological Niches	30666388
PMC6295036	2018	65009	Epigenetic modifications acetylation and deacetylation play important roles in juvenile hormone action	30547764
PMC6303786	2018	63101	The histone deacetylase NlHDAC1 regulates both female and male fertility in the brown planthopper, Nilaparvata lugens	30977704
PMC6280856	2018	64140	Life-history consequences of bidirectional selection for male morph in a male-dimorphic bulb mite	30421131
PMC6316112	2018	21957	First Case of Dual Size Asymmetry in an Identical Arthropod Organ: Different Asymmetries of the Combative (Sexual) and Cutting (Non-Sexual) Parts of Mandibles in the Horned Stored-Product Beetle Gnatocerus cornutus (Fabricius, 1798)	30380611
PMC5799738	2018	2602586	Catalogue of Tenebrionidae (Coleoptera) of North America	29416389
PMC5524875	2017	53790	Identification and functional characterization of the sex-determining gene doublesex in the sawfly, Athalia rosae (Hymenoptera: Tenthredinidae)	28798494
PMC5324616	2016	96589	Constrained evolution of the sex comb in Drosophila simulans	27859860
PMC4941388	2016	32635	Molecular cloning and functional characterization of the sex-determination gene doublesex in the sexually dimorphic broad-horned beetle Gnatocerus cornutus (Coleoptera, Tenebrionidae)	27404087
PMC5035384	2016	55443	Pre and Post-copulatory Selection Favor Similar Genital Phenotypes in the Male Broad Horned Beetle	27371390
PMC4979707	2016	40245	Adult nutrition, but not inbreeding, affects male primary sexual traits in the leaf-footed cactus bug Narnia femorata (Hemiptera: Coreidae)	27547313
PMC4897696	2016	48235	Differential effects of male nutrient balance on pre- and post-copulatory traits, and consequences for female reproduction in Drosophila melanogaster	27270223
PMC4866275	2016	55543	Sexually antagonistic selection on genetic variation underlying both male and female same-sex sexual behavior	27175796
PMC5080317	2016	27765	Do weaponless males of the hermit crab Pagurus minutus give up contests without escalation? Behavior of intruders that lack their major cheliped in male_male contests	27829701
PMC4999037	2016	71867	Sexual Selection on male cuticular hydrocarbons via male_male competition and female choice	27037514
PMC4829933	2016	972438	Checklist of the Coleoptera of New Brunswick, Canada	27110174
PMC4526545	2015	42649	Building a Beetle: How Larval Environment Leads to Adult Performance in a Horned Beetle	26244874
PMC4495758	2015	55646	Rival male chemical cues evoke changes in male pre- and post-copulatory investment in a flour beetle	26167098
PMC4368692	2015	93369	The Dilemma of Choosing a Reference Character for Measuring Sexual Size Dimorphism, Sexual Body Component Dimorphism, and Character Scaling: Cryptic Dimorphism and Allometry in the Scorpion Hadrurus arizonensis	25793523
PMC4594587	2014	7036	The roles of juvenile hormone, insulin/target of rapamycin, and ecydsonesignaling in regulating body size in Drosophila	26842847
PMC3842246	2013	78872	Exaggerated Trait Allometry, Compensation and Trade-Offs in the New Zealand Giraffe Weevil (Lasiorhynchus barbicornis)	24312425
PMC3783933	2013	51980	Mechanisms regulating nutrition-dependent developmental plasticity through organ-specific effects in insects	24133450
PMC3847581	2013	72453	Sexual activity increases resistance against Pseudomonas entomophila in male Drosophila melanogaster	24010544
PMC3707739	2013	110614	Sexual dimorphism dominates divergent host plant use in stick insect trophic morphology	23819550
PMC3686212	2013	73309	Two sexes, one genome: the evolutionary dynamics of intralocus sexual conflict	23789088
PMC3576577	2013	84540	Polyandry as a mediator of sexual selection before and after mating	23339234
PMC7109890	2012	47005	Attractiveness of an Aggregation Pheromone Lure and Chicken Droppings to Adults and Larvae of Alphitobius diaperinus (Coleoptera: Tenebrionidae)	23356087
PMC3256137	2012	69446	Sex, War, and Disease: The Role of Parasite Infection on Weapon Development and Mating Success in a Horned Beetle (Gnatocerus cornutus)	22247759
PMC3312420	2011	1734753	A catalogue of Lithuanian beetles (Insecta, Coleoptera)	22461725
