pmcid	year	count	title	pubmedid
PMC7376935	2020	53846	Males of a sexually cannibalistic spider chemically assess relative female quality	32703164
PMC7466190	2020	84272	Antidiabetic Food-Derived Peptides for Functional Feeding: Production, Functionality and In Vivo Evidences	32718070
PMC7390942	2020	76044	Salmonella Typhimurium Level in Mealworms (Tenebrio molitor) After Exposure to Contaminated Substrate	32793145
PMC7373731	2020	54151	Fermentation Versus Meat Preservatives to Extend the Shelf Life of Mealworm (Tenebrio molitor) Paste for Feed and Food Applications	32760364
PMC7404777	2020	36618	Evaluation of Anti-Inflammatory and Atheroprotective Properties of Wheat Gluten Protein Hydrolysates in Primary Human Monocytes	32630013
PMC7404774	2020	81185	Current Trends of Bioactive Peptides-New Sources and Therapeutic Effect	32610520
PMC7341494	2020	52346	The Effect of Hydrolyzed Insect Meals in Sea Trout Fingerling (Salmo trutta m. trutta) Diets on Growth Performance, Microbiota and Biochemical Blood Parameters	32545777
PMC7353569	2020	54930	Animal-Origin Prebiotics Based on Chitin: An Alternative for the Future? A Critical Review	32545663
PMC7289377	2020	47049	Comparison of cricket diet with peanut-based and milk-based diets in the recovery from protein malnutrition in mice and the impact on growth, metabolism and immune function	32525953
PMC7321092	2020	40638	High Hydrostatic Pressure-Assisted Enzymatic Hydrolysis Affect Mealworm Allergenic Proteins	32527059
PMC7319135	2020	90177	No evidence of sickness behavior in immune-challenged field crickets	32607212
PMC7341516	2020	46536	Black Soldier Fly (Hermetia illucens) Larvae Protein Derivatives: Potential to Promote Animal Health	32485877
PMC7261824	2020	86476	Thermal Impact on the Culturable Microbial Diversity Along the Processing Chain of Flour From Crickets (Acheta domesticus)	32523562
PMC7290520	2020	35257	Fermented Edible Insects for Promoting Food Security in Africa	32380684
PMC7278588	2020	56520	Effects of Traditional Processing Techniques on the Nutritional and Microbiological Quality of Four Edible Insect Species Used for Food and Feed in East Africa	32375385
PMC7138310	2020	140087	Methods for independently manipulating palatability and color in small insect prey	32255810
PMC7101423	2020	55596	Exploring the role of host specialisation and oxidative stress in interspecific lifespan variation in subtropical tephritid flies	32221391
PMC7230224	2020	42950	Degree of Hydrolysis Affects the Techno-Functional Properties of Lesser Mealworm Protein Hydrolysates	32218377
PMC7102401	2020	79517	Cricket (Gryllodes sigillatus) meal fed to healthy adult dogs does not affect general health and minimally impacts apparent total tract digestibility	32179914
PMC7069193	2020	48108	Juvenile diet quality and intensity of sexual conflict in the mite Sancassania berlesei	32164531
PMC6998128	2020	59674	Sex-specific patterns of senescence in artificial insect populations varying in sex-ratio to manipulate reproductive effort	32013878
PMC6992175	2020	48227	The gut bacterial communities across six grasshopper species from a coastal tallgrass prairie	31999781
PMC7000658	2020	49257	Microbiome-Guided Exploration of the Microbial Assemblage of the Exotic Beverage "Insect Tea" Native to Southwestern China	32063890
PMC6985256	2020	49390	Shotgun proteomics, in-silico evaluation and immunoblotting assays for allergenicity assessment of lesser mealworm, black soldier fly and their protein hydrolysates	31988363
PMC7006461	2020	51902	Resource-dependent evolution of female resistance responses to sexual conflict	32055411
PMC7023496	2020	31701	Could Defatted Mealworm (Tenebrio molitor) and Mealworm Oil Be Used as Food Ingredients?	31906597
PMC6903733	2019	64832	Hermetia illucens in diets for zebrafish (Danio rerio): A study of bacterial diversity by using PCR-DGGE and metagenomic sequencing	31821372
PMC7382160	2019	99635	Effect of enzyme-assisted hydrolysis on protein pattern, technofunctional, and sensory properties of lupin protein isolates using enzyme combinations	32724568
PMC6915536	2019	42617	Comparative Characterization of Protein Hydrolysates from Three Edible Insects: Mealworm Larvae, Adult Crickets, and Silkworm Pupae	31717478
PMC6920846	2019	53767	Comparison of Six Commercial Meat Starter Cultures for the Fermentation of Yellow Mealworm (Tenebrio molitor) Paste	31717367
PMC7069913	2019	56075	Light input pathways to the circadian clock of insects with an emphasis on the fruit fly Drosophila melanogaster	31691095
PMC6815191	2019	69200	Antibacterial immune functions of subadults and adults in a semelparous spider	31660257
PMC7015479	2019	45196	Insects in food and feed _ allergenicity risk assessment and analytical detection	32626465
PMC6743483	2019	85275	Diets with and without edible cricket support a similar level of diversity in the gut microbiome of dogs	31565574
PMC6769811	2019	47996	Microbiological Profile and Bioactive Properties of Insect Powders Used in Food and Feed Formulations	31505883
PMC6728817	2019	119164	Edible Insects as a Protein Source: A Review of Public Perception,Processing Technology, and Research Trends	31508584
PMC6722799	2019	32148	Impact of Naturally Contaminated Substrates on Alphitobius diaperinus and Hermetia illucens: Uptake and Excretion of Mycotoxins	31426582
PMC6724024	2019	88718	Insects for Food and Feed-Safety Aspects Related to Mycotoxins and Metals	31357435
PMC6660708	2019	47489	Same but different: aquatic prey capture in paedomorphic and metamorphic Alpine newts	31372238
PMC6720556	2019	32691	Former Foodstuff Products in Tenebrio Molitor Rearing: Effects on Growth, Chemical Composition, Microbiological Load, and Antioxidant Status	31349633
