pmcid	year	count	title	pubmedid
PMC7501621	2020	34221	Subolesin vaccination inhibits blood feeding and reproduction of Haemaphysalis longicornis in rabbits	
PMC7500676	2020	52115	Proteolytic profile of larval developmental stages of Penaeus vannamei: An activity and mRNA expression approach	
PMC7454071	2020	8136	Severe Fever with Thrombocytopenia Syndrome Virus in Ticks and SFTS Incidence in Humans, South Korea	32818414
PMC7471206	2020	106521	Vectors of disease at the northern distribution limit of the genus Dermacentor in Eurasia: D. reticulatus and D. silvarum	32815071
PMC7429691	2020	48106	Molecular detection of pathogens in ticks and fleas collected from companion dogs and cats in East and Southeast Asia	32799914
PMC7431613	2020	109827	Exploring the Diversity Within the Genus Francisella _ An Integrated Pan-Genome and Genome-Mining Approach	32849479
PMC7417564	2020	52824	Karyotype changes in long-term cultured tick cell lines	32778731
PMC7427506	2020	21149	Editorial: Tick and Tick-Borne Pathogens: Molecular and Immune Targets for Control Strategies	32848809
PMC7409422	2020	32114	Severe fever with thrombocytopenia syndrome: a systematic review and meta-analysis of epidemiology, clinical signs, routine laboratory diagnosis, risk factors, and outcomes	32758175
PMC7409506	2020	12096	Molecular identification of severe fever with thrombocytopenia syndrome viruses from tick and bitten patient in Southeast China	32758245
PMC7469192	2020	52108	Plant-Derived Natural Compounds for Tick Pest Control in Livestock and Wildlife: Pragmatism or Utopia?	32752256
PMC7415620	2020	26349	Rickettsiae exposure related to habitats of the oriental house rat (Rattus tanezumi, Temminck, 1844) in Salaya suburb, Thailand	32793413
PMC7442441	2020	25016	Epidemiological Characteristics of Field Tick-Borne Pathogens in Gwang-ju Metropolitan Area, South Korea, from 2014 to 2018	32864308
PMC7391622	2020	55425	Insights into the phylogenetic relationships and drug targets of Babesia isolates infective to small ruminants from the mitochondrial genomes	32727571
PMC7415634	2020	68208	Review on parasites of wild and captive giant pandas (Ailuropoda melanoleuca): Diversity, disease and conservation impact	32793415
PMC7387794	2020	58032	An Entry-Triggering Protein of Ehrlichia Is a New Vaccine Candidate against Tick-Borne Human Monocytic Ehrlichiosis	32723916
PMC7431440	2020	35918	Hepatozoon canis in hunting dogs from Southern Italy: distribution and risk factors	32725320
PMC7387473	2020	82255	Ehrlichia spp. and Anaplasma spp. in Xenarthra mammals from Brazil, with evidence of novel 'Candidatus Anaplasma spp.'	32724088
PMC7396615	2020	97581	TickSialoFam (TSFam): A Database That Helps to Classify Tick Salivary Proteins, a Review on Tick Salivary Protein Function and Evolution, With Considerations on the Tick Sialome Switching Phenomenon	32850476
PMC7387652	2020	66035	Nairobi Sheep Disease Virus: A Historical and Epidemiological Perspective	32793646
PMC7376908	2020	46975	Molecular detection and genetic characteristics of Babesia gibsoni in dogs in Shaanxi Province, China	32698848
PMC7496946	2020	84422	Active surveillance of pathogens from ticks collected in New York State suburban parks and schoolyards	
PMC7379154	2020	59909	B Cell Responses in the Development of Mammalian Meat Allergy	32765532
PMC7378379	2020	112678	Discovery of Exosomes From Tick Saliva and Salivary Glands Reveals Therapeutic Roles for CXCL12 and IL-8 in Wound Healing at the Tick_Human Skin Interface	32766239
PMC7399889	2020	39351	Mapping the Potential Distribution of Major Tick Species in China	32708816
PMC7400589	2020	76911	Biotic Factors Influence Microbiota of Nymph Ticks from Vegetation in Sydney, Australia	32668699
PMC7346470	2020	27066	Molecular detection of Bartonella in ixodid ticks collected from yaks and plateau pikas (Ochotona curzoniae) in Shiqu County, China	32646425
PMC7470110	2020	104321	Design, synthesis, and in vitro evaluation of aza-peptide aldehydes and ketones as novel and selective protease inhibitors	32633155
PMC7331985	2020	84226	Repression of tick microRNA-133 induces organic anion transporting polypeptide expression critical for Anaplasma phagocytophilum survival in the vector and transmission to the vertebrate host	32614824
