pmcid	year	count	title	pubmedid
PMC7518888	2020	144434	Symbiont-mediated cytoplasmic incompatibility: what have we learned in 50 years?	
PMC7508886	2020	48211	Digestive activity and organic compounds of Nezara viridula watery saliva induce defensive soybean seed responses	
PMC7501782	2020	96375	Density and diversity of macroinvertebrates in Colombian Andean streams impacted by mining, agriculture and cattle production	
PMC7489515	2020	61392	Fitness costs in clothianidin-resistant population of the melon aphid, Aphis gossypii	
PMC7467256	2020	48191	Characterizing the nectar microbiome of the non-native tropical milkweed, Asclepias curassavica, in an urban environment	32877468
PMC7502704	2020	68182	Next-generation gene drive for population modification of the malaria vector mosquito, Anopheles gambiae	32839345
PMC7482270	2020	34467	Zebra stripes, tabanid biting flies and the aperture effect	32811316
PMC7469148	2020	61397	Functional Variation in Dipteran Gut Bacterial Communities in Relation to Their Diet, Life Cycle Stage and Habitat	32824605
PMC7430747	2020	61790	Association of insularity and body condition to cloacal bacteria prevalence in a small shorebird	32804958
PMC7434986	2020	58028	Hydrolytic Profile of the Culturable Gut Bacterial Community Associated With Hermetia illucens	32903451
PMC7416404	2020	61788	Species diversity of different insect families trapped under beer-based volatile fermentation	32789300
PMC7460302	2020	78054	Dynamic Model for the Epidemiology of Diarrhea and Simulation Considering Multiple Disease Carriers	32781748
PMC7411018	2020	43831	Asynchrony among insect pollinator groups and flowering plants with elevation	32764658
PMC7469183	2020	41462	Essential Oils as Post-Harvest Crop Protectants against the Fruit Fly Drosophila suzukii: Bioactivity and Organoleptic Profile	32764515
PMC7469155	2020	47530	Arthropod Communities in Urban Agricultural Production Systems under Different Irrigation Sources in the Northern Region of Ghana	32752151
PMC7456782	2020	46129	Inferences about the transmission of lumpy skin disease virus between herds from outbreaks in Albania in 2016	30581093
PMC7412747	2020	72577	Comparative Genomic and Metabolomic Analyses of Two Pseudomonas aeruginosa Strains With Different Antifungal Activities	32849439
PMC7416072	2020	50103	The highly rearranged karyotype of the hangingfly Bittacussinicus (Mecoptera, Bittacidae): the lowest chromosome number in the order	32843950
PMC7410850	2020	545323	Checklist of thallus-forming <named-content content-type="class">Laboulbeniomycetes from Belgium and the Netherlands, including Hesperomyceshalyziae and Laboulbeniaquarantenae spp. nov.	32831551
PMC7392893	2020	66584	Isoform-specific functions of an evolutionarily conserved 3 bp micro-exon alternatively spliced from another exon in Drosophila homothorax gene	32732884
PMC7464394	2020	48312	Tackling the Molecular Drug Sensitivity in the Sea Louse Caligus rogercresseyi Based on mRNA and lncRNA Interactions	32726954
PMC7469141	2020	43862	The Attraction of the Dung Beetle Anoplotrupes stercorosus (Coleoptera: Geotrupidae) to Volatiles from Vertebrate Cadavers	32727148
PMC7424079	2020	34311	Study on Periplaneta americana (Blattodea: Blattidae) Fungal Infections in Hospital Sewer System, Esfahan City, Iran, 2017	32832161
PMC7382646	2020	77620	Review of clinical aspects, epidemiology and diagnosis of haemotropic Mycoplasma ovis in small ruminants: current status and future perspectives in tropics focusing on Malaysia	32712811
PMC7398874	2020	41634	Antimicrobial Peptide AMP-17 Affects Candida albicans by Disrupting Its Cell Wall and Cell Membrane Integrity	32801789
PMC7401607	2020	31515	Mass Production of the Black Soldier Fly, Hermetia illucens (L.), (Diptera: Stratiomyidae) Reared on Three Manure Types	32708338
PMC7397145	2020	90186	A Review of the Ephedra genus: Distribution, Ecology, Ethnobotany, Phytochemistry and Pharmacological Properties	32698308
PMC7412232	2020	52542	Putative Role of Arthropod Vectors in African Swine Fever Virus Transmission in Relation to Their Bio-Ecological Properties	32698448
PMC7368071	2020	12637	SARS-CoV-2 failure to infect or replicate in mosquitoes: an extreme challenge	32681089
PMC7412132	2020	26101	Molecular Identification and Geometric Morphometric Analysis of Haematoboscaaberrans (Diptera: Muscidae)	32708722
PMC7381443	2020	44060	Seasonal records of benthic macroinvertebrates in a stream on the eastern edge of the Igua&#xE7;u National Park, Brazil	32754002
PMC7417388	2020	34782	A mummified human corpse and associated insects of forensic importance in indoor conditions	32666322
PMC7404193	2020	76086	Black Soldier Fly Larvae Adapt to Different Food Substrates through Morphological and Functional Responses of the Midgut	32668813
PMC7400431	2020	42253	Breeding Habitat Preferences of Major Culicoides Species (Diptera: Ceratopogonidae) in Germany	32664561
PMC7363845	2020	62085	For Whom the Clock Ticks: Clinical Chronobiology for Infectious Diseases	32733482
