pmcid	year	count	title	pubmedid
PMC7508886	2020	48211	Digestive activity and organic compounds of Nezara viridula watery saliva induce defensive soybean seed responses	
PMC7498604	2020	43051	Lethal and sub-lethal effects of low-temperature exposures on Halyomorpha halys (Hemiptera: Pentatomidae) adults before and after overwintering	
PMC7485756	2020	38879	Seasonal changes in population structure of the ambrosia beetle Xylosandrus compactus and its associated fungi in a southern Mediterranean environment	
PMC7488116	2020	102647	GetOrganelle: a fast and versatile toolkit for accurate de novo assembly of organelle genomes	32912315
PMC7479346	2020	214886	Memory and mutualism in species sustainability: A time-fractional Lotka-Volterra model with harvesting	32939415
PMC7441993	2020	112086	Bionetworks, system biology, and superorganisms	
PMC7430709	2020	49198	Field evaluation of sunflower as a potential trap crop of Lygus pratensis in cotton fields	32804952
PMC7423067	2020	43978	Conspecific chemical cues facilitate mate trailing by invasive Argentine black and white tegus	32785239
PMC7414796	2020	43393	Unveiling the Feeding Behavior of Tibraca limbativentris (Hemiptera: Pentatomidae) on Rice Using an Electropenetrography Waveform Library	32770250
PMC7459587	2020	37799	Applications of Proteomic Tools to Study Insect Vector_Plant Virus Interactions	32784674
PMC7407435	2020	88687	Maintenance management and eradication of established aquatic invaders	32836349
PMC7425231	2020	63661	Differentially Expressed Homologous Genes Reveal Interspecies Differences of Paragonimus Proliferus based on Transcriptome Analysis	32855607
PMC7469209	2020	40156	Thermal Effects on the Population Parameters and Growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae)	32751320
PMC7394822	2020	49567	Identification of Candidate Olfactory Genes in the Antennal Transcriptome of the Stink Bug Halyomorpha halys	32792985
PMC7469208	2020	39539	Identification and Expression of Inward-Rectifying Potassium Channel Subunits in Plutella xylostella	32707967
PMC7469154	2020	47746	Insights from Population Genomics to Enhance and Sustain Biological Control of Insect Pests	32708047
PMC7374819	2020	58482	Quantifying flight aptitude variation in wild Anopheles gambiae in order to identify long-distance migrants	32698842
PMC7404022	2020	35237	De Novo Assembly of the Asian Citrus Psyllid Diaphorina citri (Hemiptera: Psyllidae) Transcriptome across Developmental Stages	32674498
PMC7412047	2020	52314	Evaluation of the Physiological Host Range for the Parasitoid Ooencyrtus mirus, a Potential Biocontrol Agent of Bagrada hilaris	32664427
PMC7412311	2020	39972	Parasitism of Locally Recruited Egg Parasitoids of the Fall Armyworm in Africa	32660082
PMC7412527	2020	35188	Improved Monitoring of Grapholita molesta (Lepidoptera: Tortricidae) in Stone Fruit Orchards with a Pheromone-Kairomone Combination Lure	32635150
PMC7411695	2020	26833	Floral Resources for Trissolcus japonicus, a Parasitoid of Halyomorpha halys	32635248
PMC7370172	2020	43827	Gene Expression and Functional Analyses of Odorant Receptors in Small Hive Beetles (Aethina tumida)	32605135
PMC7324797	2020	104820	DNA Methylation and Demethylation Are Regulated by Functional DNA Methyltransferases and DnTET Enzymes in Diuraphis noxia	32655611
PMC7324779	2020	22249	Editorial: Insects at the Center of Interactions With Other Organisms	32655406
PMC7303229	2020	442532	Notes on the hosts of Trissolcus Ashmead (Hymenoptera: Scelionidae) from China	32581638
PMC7348803	2020	45155	Evaluation of Exclusion Netting for Coffee Berry Borer (Hypothenemus Hampei) Management	32545306
PMC7349340	2020	20887	Optimizing Trap Characteristics to Monitor the Leaffooted Bug Leptoglossuszonatus (Heteroptera: Coreidae) in Orchards	32526906
PMC7284012	2020	31379	Phage Therapy in the Year 2035	32582107
PMC7349651	2020	48438	Biology, Ecology, and Management of Erthesina fullo (Hemiptera: Pentatomidae): A Review	32503349
PMC7404234	2020	52109	High-Efficiency CRISPR/Cas9 Mutagenesis of the white Gene in the Milkweed Bug Oncopeltus fasciatus	32493719
PMC7274154	2020	38104	Identification and Characterization of GPCRs for Pyrokinin and CAPA Peptides in the Brown Marmorated Stink Bug, Halyomorpha halys (Hemiptera: Pentatomidae)	32547421
PMC7255104	2020	70432	Receptor Characterization and Functional Activity of Pyrokinins on the Hindgut in the Adult Mosquito, Aedes aegypti	32528310
PMC7290990	2020	39959	An Insight into the Role of Trissolcus mitsukurii as Biological Control Agent of Halyomorpha halys in Northeastern Italy	32422980
PMC7224452	2020	55052	Sublethal and transgenerational effects of sulfoxaflor on the demography and feeding behaviour of the mirid bug Apolygus lucorum	32407334
PMC7291171	2020	45109	Can Vibrational Playbacks Disrupt Mating or Influence Other Relevant Behaviours in Bactericera cockerelli (Triozidae: Hemiptera)?	32408539
PMC7214431	2020	60215	Crop and forest pest metawebs shift towards increased linkage and suitability overlap under climate change	32393851
PMC7496960	2020	62930	Nonanal modulates oviposition preference in female Helicoverpa assulta (Lepidoptera: Noctuidae) via the activation of peripheral neurons	
PMC7290786	2020	38922	Life History Evaluation of Ooencyrtus lucidus, a Newly Described Egg Parasitoid of Bagrada hilaris	32397448
