pmcid	year	count	title	pubmedid
PMC7502231	2020	86631	Evidence of transfer of miRNAs from the diet to the blood still inconclusive	
PMC7501787	2020	81356	Entomopathogenic fungi decrease Rhizoctonia disease in potato in field conditions	
PMC7490912	2020	73563	Differences in midgut transcriptomes between resistant and susceptible strains of Chilo suppressalis to Cry1C toxin	
PMC7482933	2020	97070	Transgene behavior in Zea mays L. crosses across different genetic backgrounds: Segregation patterns, cry1Ab transgene expression, insecticidal protein concentration and bioactivity against insect pests	
PMC7481228	2020	37631	A novel nudivirus infecting the invasive demon shrimp Dikerogammarus haemobaphes (Amphipoda)	
PMC7474526	2020	57424	Identification and Expression Profiles of 14 Odorant-Binding Protein Genes From Pieris rapae (Lepidoptera: Pieridae)	32889524
PMC7473575	2020	130045	The influence of transgenic (Bt) and non-transgenic (non-Bt) cotton mulches on weed dynamics, soil properties and productivity of different winter crops	32886700
PMC7481525	2020	72182	Salivary Protein 1 of Brown Planthopper Is Required for Survival and Induces Immunity Response in Plants	32973857
PMC7450062	2020	50411	Analysis of leaf morphology, secondary metabolites and proteins related to the resistance to Tetranychus cinnabarinus in cassava (Manihot esculenta Crantz)	32848172
PMC7466441	2020	44051	Validating the Potential of Double-Stranded RNA Targeting Colorado Potato Beetle Mesh Gene in Laboratory and Field Trials	32973826
PMC7437935	2020	47062	Comparative analysis of diet-associated responses in two rice planthopper species	32807078
PMC7469166	2020	35683	From Diverse Origins to Specific Targets: Role of Microorganisms in Indirect Pest Biological Control	32823898
PMC7472478	2020	65011	Current Insights on Vegetative Insecticidal Proteins (Vip) as Next Generation Pest Killers	32823872
PMC7438476	2020	65892	Bt, Not a Threat to Propylea japonica	32903558
PMC7472377	2020	48468	The Tripartite Interaction of Host Immunity_Bacillus thuringiensis Infection_Gut Microbiota	32806491
PMC7450494	2020	52949	Genome Editing for Resistance to Insect Pests: AnEmerging Tool for Crop Improvement	32875201
PMC7439470	2020	59087	Visualizing Nudivirus Assembly and Egress	32788378
PMC7465836	2020	37524	Genome-Wide Analysis Reveals Transcription Factors Regulated by Spider-Mite Feeding in Cucumber (Cucumissativus)	32796676
PMC7427126	2020	47880	Expression of Bt Protein in Transgenic Bt Cotton Plants and Ecological Fitness of These Plants in Different Habitats	32849750
PMC7414852	2020	45115	Molecular architecture and activation of the insecticidal protein Vip3Aa from Bacillus thuringiensis	32769995
PMC7419637	2020	41669	Field Exploitation of Multiple Functions of Beneficial Microorganisms for Plant Nutrition and Protection: Real Possibility or Just a Hope?	32849475
PMC7394452	2020	89786	Western corn rootworm abundance, injury to corn, and resistance to Cry3Bb1 in the local landscape of previous problem fields	32735582
PMC7385851	2020	119975	Generation of Cry11 Variants of Bacillus thuringiensis by Heuristic Computational Modeling	32782424
PMC7469216	2020	50416	Temporal Variation in Genetic Composition of Migratory Helicoverpa Zea in Peripheral Populations	32717838
PMC7467972	2020	69808	Asymmetric Responses to Climate Change: Temperature Differentially Alters Herbivore Salivary Elicitor and Host Plant Responses to Herbivory	32700062
PMC7371693	2020	80855	Injection of seminal fluid into the hemocoel of honey bee queens (Apis mellifera) can stimulate post-mating changes	32686702
PMC7363820	2020	51987	Juvenile hormone regulates the shift from migrants to residents in adult oriental armyworm, Mythimna separata	32669571
PMC7360048	2020	85124	Characterization of ASR gene and its role in drought tolerance in chickpea (Cicer arietinum L.)	32663226
PMC7412047	2020	52314	Evaluation of the Physiological Host Range for the Parasitoid Ooencyrtus mirus, a Potential Biocontrol Agent of Bagrada hilaris	32664427
PMC7412147	2020	27045	Comparative Toxicity of Helicoverpa armigera and Helicoverpa zea (Lepidoptera: Noctuidae) to Selected Insecticides	32664300
PMC7412302	2020	33254	Delving into the Causes and Effects of Entomopathogenic Endophytic Metarhizium brunneum Foliar Application-Related Mortality in Spodoptera littoralis Larvae	32660021
PMC7402345	2020	51911	Plastid Transformation: How Does it Work? Can it Be Applied to Crops? What Can it Offer?	32659946
PMC7339632	2020	170128	Pest categorisation of Helicoverpa zea	32665793
PMC7341793	2020	64483	Characterization of DvSSJ1 transcripts targeting the smooth septate junction (SSJ) of western corn rootworm (Diabrotica virgifera virgifera)	32636422
PMC7325846	2020	112685	Animal tissue culture principles and applications	
PMC7333248	2020	107450	Dynamics of Insect_Microbiome Interaction Influence Host and Microbial Symbiont	32676060
PMC7330602	2020	58766	Local Aphid Species Infestation on Invasive Weeds Affects Virus Infection of Nearest Crops Under Different Management Systems _ A Preliminary Study	32670307
PMC7356841	2020	72046	Transcriptome Analysis of Wounding in the Model Grass Lolium temulentum	32580425
PMC7307738	2020	63053	Transcriptome analysis of a social caterpillar, Drepana arcuata: De novo assembly, functional annotation and developmental analysis	32569288
PMC7332103	2020	111050	Novel partiti-like viruses are conditional mutualistic symbionts in their normal lepidopteran host, African armyworm, but parasitic in a novel host, Fall armyworm	32569314
PMC7308289	2020	106062	The Impact of Bt Corn on Aflatoxin-Related Insurance Claims in the United States	32572162
PMC7308303	2020	43001	Cross-crop resistance of Spodoptera frugiperda selected on Bt maize to genetically-modified soybean expressing Cry1Ac and Cry1F proteins in Brazil	32572133
PMC7376185	2020	29278	Interaction of HaNPVs with two novel insecticides against Helicoverpa armigera Hubner (Noctuidae: Lepidoptera)	32714038
PMC7317607	2020	72673	Characterization of the First W-Specific Protein-Coding Gene for Sex Identification in Helicoverpa armigera	32636875
PMC7304561	2020	31749	Mating Disruption of Chilo suppressalis From Sex Pheromone of Another Pyralid Rice Pest Cnaphalocrocis medinalis (Lepidoptera: Pyralidae)	32559298
PMC7354626	2020	33278	Reduced Membrane-Bound Alkaline Phosphatase Does Not Affect Binding of Vip3Aa in a Heliothis virescens Resistant Colony	32575644
PMC7320233	2020	43864	Induced biosynthesis of chlorogenic acid in sweetpotato leaves confers the resistance against sweetpotato weevil attack	32612857
