pmcid	year	count	title	pubmedid
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7464977	2020	22615	Leguminous Seeds Powder Diet Reduces the Survival and Development of the Khapra beetle, Trogoderma granarium Everts (Coleoptera: Dermestidae)	32756491
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7349662	2020	21839	Measuring the Inter and Intraspecific Sexual Shape Dimorphism and Body Shape Variation in Generalist Ground Beetles in Russia	32531974
PMC7250819	2020	39197	Frequency and consequences of the collection of already parasitized caterpillars by a potter wasp	32457338
PMC7177163	2020	99617	Severe Insect Pest Impacts on New Zealand Pasture: The Plight of an Ecological Outlier	32322881
PMC6745856	2019	179149	Global genetic diversity, lineage distribution, and Wolbachia infection of the alfalfa weevil Hypera postica (Coleoptera: Curculionidae)	31534674
PMC6681335	2019	29289	Cuticular Hydrocarbon Recognition in the Mating Behavior of Two Pissodes Species	31340524
PMC6382212	2019	58728	Water-induced strong protection against acute exposure to low subzero temperature of adult Aedes albopictus	30716071
PMC6612549	2018	48962	Co-occurrence of pederin-producing and Wolbachia endobacteria in Paederus fuscipes Curtis, 1840 (Coleoptera: Staphilinidae) and its evolutionary consequences	30560551
PMC6316135	2018	43528	Dispersal in Host_Parasitoid Interactions: Crop Colonization by Pests and Specialist Enemies	30301166
PMC6074794	2018	39384	Irradiation for Quarantine Control of Coffee Berry Borer, Hypothenemus hampei (Coleoptera: Curculionidae: Scolytinae) in Coffee and a Proposed Generic Dose for Snout Beetles (Coleoptera: Curculionoidea)	29741635
PMC5745990	2017	56150	Photoperiodic responses of Sahelian malaria mosquitoes Anopheles coluzzii and An. arabiensis	29282150
PMC5674169	2017	59956	Revision of the genus Limobius, with the description of a new species (Coleoptera, Curculionidae, <named-content content-type="tribe">Hyperini)	29118637
PMC5647859	2017	34266	Tolerance: the forgotten child of plant resistance	29062607
PMC5416751	2017	61612	Temperature-Dependent Biological and Demographic Parameters of Coleomegilla maculata (Coleoptera: Coccinellidae)	28423419
PMC5388315	2017	72794	Modeling Temperature-Dependent Development of Glyphodes pyloalis (Lepidoptera: Pyralidae)	28423429
PMC5108919	2016	31357	Invertebrate Biosecurity Challenges in High-Productivity Grassland: The New Zealand Example	27895651
PMC5004264	2016	65665	The pesticidal Cry6Aa toxin from Bacillus thuringiensis is structurally similar to HlyE-family alpha pore-forming toxins	27576487
PMC4979698	2016	68372	Thermal reaction norms can surmount evolutionary constraints: comparative evidence across leaf beetle species	27547304
PMC4895216	2016	47784	Summer diapause induced by high temperatures in the oriental tobacco budworm: ecological adaptation to hot summers	27271223
PMC4872219	2016	49033	Effects of biotic and abiotic factors on phenotypic partitioning of wing morphology and development in Sclerodermus pupariae (Hymenoptera: Bethylidae)	27194095
PMC4926666	2016	62319	The morphology of the immature stages of Metadonusvuillefroyanus (Capiomont, 1868) (Coleoptera, Curculionidae, <named-content content-type="tribe">Hyperini) and notes on its biology	27408538
PMC4938854	2016	85630	Three-way interaction among plants, bacteria, and coleopteran insects	27170360
PMC5615908	2016	31739	Evaluation of toxicity of biorational insecticides against larvae of the alfalfa weevil	28959570
PMC4829933	2016	972438	Checklist of the Coleoptera of New Brunswick, Canada	27110174
PMC4715455	2016	129873	Unveiling the status of alien animals in the arid zone of Asia	26793423
PMC4714340	2015	30217	Functional morphology of the copulatory organs of a reed beetle and a shining leaf beetle (Coleoptera: Chrysomelidae: <named-content content-type="subfamily">Donaciinae, <named-content content-type="subfamily">Criocerinae) using X-ray micro-computed tomography <xref ref-type="fn" rid="FN1">*</xref>	26798321
PMC4477519	2015	27130	Impact of Cultivation and Subsequent Burial on Cydia pomonella (Lepidoptera: Tortricidae) and Conotrachelus nenuphar (Coleoptera: Curculionidae)	26470248
PMC4494152	2015	61407	Relations of Wolbachia Infection with Phylogeography of Philaenus spumarius (Hemiptera: Aphrophoridae) Populations Within and Beyond the Carpathian Contact Zone	25681033
PMC4099382	2014	91136	Identification of morphological and chemical markers of dry- and wet-season conditions in female Anopheles gambiae mosquitoes	24970701
PMC3783440	2013	140546	Bioclimatic Thresholds, Thermal Constants and Survival of Mealybug, Phenacoccus solenopsis (Hemiptera: Pseudococcidae) in Response to Constant Temperatures on Hibiscus	24086597
PMC3676838	2013	128610	Plant Defense against Insect Herbivores	23681010
PMC3677338	2013	739479	The genera in the second catalogue (1833_1836) of Dejean's Coleoptera collection	23794836
PMC3337068	2012	363707	New Coleoptera records from New Brunswick, Canada: Anthribidae, Brentidae, Dryophthoridae, Brachyceridae, and Curculionidae, with additions to the fauna of Quebec, Nova Scotia and Prince Edward Island	22539901
PMC3312838	2012	55234	Parasitic wasp responses to symbiont-based defense in aphids	22364271
PMC4553623	2012	126582	Insect Sex Determination Manipulated by Their Endosymbionts: Incidences, Mechanisms and Implications	26467955
PMC3312420	2011	1734753	A catalogue of Lithuanian beetles (Insecta, Coleoptera)	22461725
PMC3169270	2011	9746	Electrophysiology of Scorpion Peg Sensilla	21525840
PMC3127418	2008	37924	Larval Survival of Fuller's Rose Weevil, Naupactus cervinus, on Common Groundcover Species in Orchards of New Zealand Kiwifruit	20298112
PMC2709146	1994	80	The genetic control of ovariole number in Sitophilus oryzae L (Coleoptera, Curculionidae) is temperature sensitive	
PMC1475109	1976	903	Environmental and toxicological aspects of insect growth regulators.	789059
