pmcid	year	count	title	pubmedid
PMC7433766	2020	75230	Gut Bacteria in the Holometabola: A Review of Obligate and Facultative Symbionts	32809024
PMC7469224	2020	26589	Sex-Specific Wolbachia Infection Patterns in Populations of Polygraphus proximus Blandford (Coleoptera; Curculionidae: Scolytinae)	32824858
PMC7487225	2020	50286	Effect of gut microbiota on alpha-amanitin tolerance in Drosophila tripunctata	32953071
PMC7378549	2020	109916	The coffee agroecosystem: bio-economic analysis of coffee berry borer control (Hypothenemus hampei)	32703996
PMC7390957	2020	50393	Nitrogen and Ergosterol Concentrations Varied in Live Jack Pine Phloem Following Inoculations With Fungal Associates of Mountain Pine Beetle	32793164
PMC7411575	2020	34696	Genetic Diversity in Invasive Populations of Argentine Stem Weevil Associated with Adaptation to Biocontrol	32674400
PMC7337030	2020	62375	Selection of Beauveria bassiana (Hypocreales: Cordycipitaceae) strains to control Xyleborus affinis (Curculionidae: Scolytinae) females	32685289
PMC7329388	2020	47947	Influence of genetic diversity of seventeen Beauveria bassiana isolates from different hosts on virulence by comparative genomics	32605539
PMC7344319	2020	71159	Characterization of Spodoptera litura Gut Bacteria and Their Role in Feeding and Growth of the Host	32714311
PMC7325037	2020	74898	Phylogenetic analysis of the Tc1/mariner superfamily reveals the unexplored diversity of pogo-like elements	32612713
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7314810	2020	85688	The genome of pest Rhynchophorus ferrugineus reveals gene families important at the plant-beetle interface	32581279
PMC7349354	2020	33592	Acute Toxicity and Sublethal Effects of Lemongrass Essential Oil and Their Components against the Granary Weevil, Sitophilus granarius	32570794
PMC7348803	2020	45155	Evaluation of Exclusion Netting for Coffee Berry Borer (Hypothenemus Hampei) Management	32545306
PMC7274575	2020	13335	Newsletter<inline-graphic xlink:href="fx1_lrg.gif"><alt-text id="alttext0010">Image 1</alt-text></inline-graphic>	32536739
PMC7246026	2020	41976	SMRT sequencing of the full-length transcriptome of the Rhynchophorus ferrugineus (Coleoptera: Curculionidae)	32509454
PMC7248198	2020	71977	Horizontal Gene Transfer: From Evolutionary Flexibility to Disease Progression	32509768
