pmcid	year	count	title	pubmedid
PMC7442752	2020	475470	The first survey of the beetles (Coleoptera) of the Farasan Archipelago of the southern Red Sea, Kingdom of Saudi Arabia	32879610
PMC7469181	2020	40648	Insecticidal Activity of 28 Essential Oils and a Commercial Product Containing Cinnamomum cassia Bark Essential Oil against Sitophilus zeamais Motschulsky	32726904
PMC7397326	2020	38019	Optimization and Characterization of Microwave-Assisted Hydro-Distillation Extraction of Essential Oils from Cinnamomum camphora Leaf and Recovery of Polyphenols from Extract Fluid	32674448
PMC7404640	2020	85928	Control of Foodborne Biological Hazards by Ionizing Radiations	32635407
PMC7411770	2020	17739	RNAi in Insects: A Revolution in Fundamental Research and Pest Control Applications	32635402
PMC7411846	2020	29204	Behavioral Responses of Thrips hawaiiensis (Thysanoptera: Thripidae) to Volatile Compounds Identified from Gardenia jasminoides Ellis (Gentianales: Rubiaceae)	32630187
PMC7330086	2020	145136	Insecticidal Activity of Artemisia vulgaris Essential Oil and Transcriptome Analysis of Tribolium castaneum in Response to Oil Exposure	32670352
PMC7384159	2020	23199	Desymmetrization of C2-Symmetric Bis(Boronic Esters) by Zweifel Olefinations	32068298
PMC7353542	2020	30659	Evaluation of the Toxicity of Satureja intermedia C. A. Mey Essential Oil to Storage and Greenhouse Insect Pests and a Predator Ladybird	32498219
PMC7388312	2020	32236	Integrative transcriptomics and metabolomics analyses provide hepatotoxicity mechanisms of asarum	32742371
PMC7246407	2020	44855	A Systematic Review of Essential Oils and the Endocannabinoid System: A Connection Worthy of Further Exploration	32508955
PMC7290670	2020	34531	Functional Identification of Px-fringe and Px-engrailed Genes under Heat Stress in Chlorpyrifos-Resistant and -Susceptible Plutela xylostella (Lepidoptera: Plutellidae)	32392846
PMC7277602	2020	28063	Insecticidal and Enzyme Inhibitory Activities of Isothiocyanates against Red Imported Fire Ants, Solenopsis invicta	32380698
PMC7197948	2020	47132	Identifications, Characteristics, and Expression Patterns of Small Heat Shock Protein Genes in a Major Mulberry Pest, Glyphodes pyloalis (Lepidoptera: Pyralidae)	32365175
PMC7291318	2020	28020	Effect of Six Insecticides on Egg Hatching and Larval Mortality of Trogoderma granarium Everts (Coleoptera: Dermedtidae)	32344913
PMC7174982	2020	61252	Overview of Covid-19; its prevention and management in the light of Unani medicine	32334163
PMC7240615	2020	46866	Ultramorphological Characteristics of Falsogastrallus sauteri Pic (Coleoptera: Ptinidae) and a New Species of Cephalonomia Westwood (Hymenoptera: Bethylidae): A Book-Boring Beetle and Its Natural Enemy in Taiwan	32260140
PMC7240364	2020	32482	Biological Features and Population Growth of Two Southeastern European Tribolium confusum Jacquelin du Val (Coleoptera: Tenebrionidae) Strains	32252265
PMC7177437	2020	44516	Role of Chitin Deacetylase 1 in the Molting and Metamorphosis of the Cigarette Beetle Lasioderma serricorne	32244803
PMC7180760	2020	25880	Essential Oils Extracted from Different Species of the Lamiaceae Plant Family as Prospective Bioagents against Several Detrimental Pests	32231104
PMC7143231	2020	37021	Selection of Predatory Mites for the Biological Control of Potato Tuber Moth in Stored Potatoes	32244992
PMC7143226	2020	34697	Toxicity and Synergistic Effect of Elsholtzia ciliata Essential Oil and Its Main Components against the Adult and Larval Stages of Tribolium castaneum	32188172
PMC7143742	2020	26922	Analysis of Pole-Ascending_Descending Action by Insects Subjected to High Voltage Electric Fields	32188072
PMC7154898	2020	48730	Citrus Essential Oils (CEOs) and Their Applications in Food: An Overview	32168877
PMC7050306	2020	21871	Mating Delay Reduces Reproductive Performance but not Longevity in a Monandrous Moth	32118258
PMC7039226	2020	99621	Mating-Induced Differential Expression in Genes Related to Reproduction and Immunity in Spodoptera litura (Lepidoptera: Noctuidae) Female Moths	32092133
PMC7073712	2020	47941	Species Composition, Temporal Abundance and Distribution of Insect Captures Inside and Outside Commercial Peanut Shelling Facilities	32050416
PMC7005593	2020	50596	Clip-Domain Serine Protease Gene (LsCLIP3) Is Essential for Larval_Pupal Molting and Immunity in Lasioderma serricorne	32082184
PMC6965137	2020	57005	Insecticidal activity and biochemical composition of Citrullus colocynthis, Cannabis indica and Artemisia argyi extracts against cabbage aphid (Brevicoryne brassicae L.)	31949220
