pmcid	year	count	title	pubmedid
PMC7304411	2020	86312	Analysing ambiguities in trypanosomatids taxonomy by barcoding	32578684
PMC7349340	2020	20887	Optimizing Trap Characteristics to Monitor the Leaffooted Bug Leptoglossuszonatus (Heteroptera: Coreidae) in Orchards	32526906
PMC6999898	2020	58065	Chromosomal divergence and evolutionary inferences in Pentatomomorpha infraorder (Hemiptera, Heteroptera) based on the chromosomal location of ribosomal genes	32017800
PMC6956224	2019	35933	Response to Multiple Stressors: Enhanced Tolerance of Neoseiulus barkeri Hughes (Acari: Phytoseiidae) to Heat and Desiccation Stress through Acclimation	31847063
PMC6836135	2019	30217	Cold Tolerance and Population Dynamics of Leptoglossus zonatus (Hemiptera: Coreidae)	31627302
PMC6835505	2019	45306	Assessing Feeding Damage from Two Leaffooted Bugs, Leptoglossus clypealis Heidemann and Leptoglossus zonatus (Dallas) (Hemiptera: Coreidae), on Four Almond Varieties	31591308
PMC6723408	2019	32984	Seasonal Dynamics of the Leaffooted Bug Leptoglossus zonatus and Its Implications for Control in Almonds and Pistachios	31430888
PMC6261047	2018	83013	The structure and morphologic changes of antennae of Cyrtorhinus lividipennis (Hemiptera: Miridae: Orthotylinae) in different instars	30475842
PMC6176531	2018	105405	The Amylases of Insects	30305796
PMC6164602	2018	29135	Behavioral Response of Leptoglossus zonatus (Heteroptera: Coreidae) to Stimuli Based on Colors and its Aggregation Pheromone	30049945
PMC5523724	2017	160109	The Coreidae of Honduras (Hemiptera: Coreidae)	28781567
PMC5563518	2017	62366	Morphological study of the antennal sensilla in Gerromorpha (Insecta: Hemiptera: Heteroptera)	28883684
PMC4774136	2016	39688	Rapid assessment of insect fauna based on local knowledge: comparing ecological and ethnobiological methods	26932264
PMC4476731	2015	75167	Mortality Dynamics of Spodoptera frugiperda (Lepidoptera: Noctuidae) Immatures in Maize	26098422
PMC4535499	2015	43283	Cytogenetics Analysis and Testis Morphology of Aquatic Species of the Families Belostomatidae, Gelastocoridae, Gerridae, Notonectidae, and Veliidae (Heteroptera)	25797798
PMC5657900	2014	33055	Morphology and Chemical Analysis of the Metathoracic Scent Glands System inAdelphocoris suturalis(Hemiptera: Miridae)	25527598
PMC5633981	2014	70541	Insects Associated WithJatropha curcasLinn. (Euphorbiaceae) in West Niger	25528746
PMC4015393	2013	20846	The Metathoracic Scent Gland of the Leaf-Footed Bug, Leptoglossus zonatus	24773315
PMC3970605	2013	29196	Actin expression in trypanosomatids (Euglenozoa:Kinetoplastea)	23903980
PMC3142104	2009	1407	Southern Plant Diagnostic Network Invasive Arthropod Workshop	
