pmcid	year	count	title	pubmedid
PMC7469210	2020	28393	The Inability of Spotted Lanternfly (Lycorma delicatula) to Vector a Plant Pathogen between its Preferred Host, Ailanthus altissima, in a Laboratory Setting	32784902
PMC7413517	2020	54488	Functional morphology of antennae and sensilla of Hippodamia variegata (Coleoptera: Coccinellidae)	32764805
PMC7419273	2020	67915	Advances in optical mapping for genomic research	32802277
PMC7386586	2020	53656	Interspecific hierarchies from aggressiveness and body size among the invasive alien hornet, Vespa velutina nigrithorax, and five native hornets in South Korea	32722670
PMC7411794	2020	36545	Ecological Niche Modeling to Calculate Ideal Sites to Introduce a Natural Enemy: The Case of Apanteles opuntiarum (Hymenoptera: Braconidae) to Control Cactoblastis cactorum (Lepidoptera: Pyralidae) in North America	32707668
PMC7349340	2020	20887	Optimizing Trap Characteristics to Monitor the Leaffooted Bug Leptoglossuszonatus (Heteroptera: Coreidae) in Orchards	32526906
PMC7367183	2020	50552	One fly_one genome: chromosome-scale genome assembly of a single outbred Drosophila melanogaster	32491177
PMC7288286	2020	47838	A Reference Genome of Bursaphelenchus mucronatus Provides New Resources for Revealing Its Displacement by Pinewood Nematode	32438771
PMC7290786	2020	38922	Life History Evaluation of Ooencyrtus lucidus, a Newly Described Egg Parasitoid of Bagrada hilaris	32397448
PMC7290656	2020	49663	Habitat Preferences and Trophic Position of Brachydiplax chalybea flavovittata Ris, 1911 (Insecta: Odonata) Larvae in Youngsan River Wetlands of South Korea	32365933
PMC7153555	2020	175513	Evolution of switchable aposematism: insights from individual-based simulations	32309047
PMC7240569	2020	42732	Use of Molecular Gut Content Analysis to Decipher the Range of Food Plants of the Invasive Spotted Lanternfly, Lycorma delicatula	32244630
PMC7265891	2020	28240	A draft genome of a field-collected Steinernema feltiae strain NW	32180379
PMC7142546	2020	42002	First Report of Aleurocanthus spiniferus on Ailanthus altissima: Profiling of the Insect Microbiome and MicroRNAs	32138145
PMC7142569	2020	53242	Morphological Disparity of the Mouthparts in Polyphagous Species of Largidae (Heteroptera: Pentatomomorpha: Pyrrhocoroidea) Reveals Feeding Specialization	32110911
PMC6932783	2019	91155	External morphology and developmental changes of tarsal tips and mouthparts of the invasive spotted lanternfly, Lycorma delicatula (Hemiptera: Fulgoridae)	31877184
PMC6791401	2019	49439	A high-quality genome assembly from a single, field-collected spotted lanternfly (Lycorma delicatula) using the PacBio Sequel II system	31609423
PMC6835606	2019	36941	Use of Flowering Plants to Enhance Parasitism and Predation Rates on Two Squash Bug Species Anasa tristis and Anasa armigera (Hemiptera: Coreidae)	31557963
PMC6835943	2019	35545	Genetic Diversity and Population Structure of Natural Lycorma delicatula (White) (Hemiptera: Fulgoridea) Populations in China as Revealed by Microsatellite and Mitochondrial Markers	31547578
PMC6627702	2019	27228	Functional Morphology and Defensive Behavior in a Social Aphid	31181861
PMC6572627	2019	40096	Fine Morphology of the Mouthparts in Cheilocapsus nigrescens (Hemiptera: Heteroptera: Miridae) Reflects Adaptation for Phytophagous Habits	31109148
PMC6511058	2019	12236	A pair of native fungal pathogens drives decline of a new invasive herbivore	31010927
PMC6523532	2019	41873	Current Status of Forest Health Policy in the United States	31013809
PMC6409566	2019	40029	Antennal Morphology and Sexual Dimorphism of Antennal Sensilla in Callitettix versicolor (Fabricius) (Hemiptera: Cercopidae)	30791453
PMC6361905	2019	44374	Population structure and genetic differentiation of tea green leafhopper, Empoasca (Matsumurasca) onukii, in China based on microsatellite markers	30718743
PMC6346206	2019	7665	Genome Sequence of a Lethal Vascular Wilt Fungus, Verticillium nonalfalfae, a Biological Control Used Against the Invasive Ailanthus altissima	30701257
PMC6237927	2018	51851	Defense sequestration associated with narrowing of diet and ontogenetic change to aposematic colours in the spotted lanternfly	30442911
PMC6164602	2018	29135	Behavioral Response of Leptoglossus zonatus (Heteroptera: Coreidae) to Stimuli Based on Colors and its Aggregation Pheromone	30049945
PMC6007673	2018	75715	The Complete Mitochondrial Genome of Ugyops sp. (Hemiptera: Delphacidae)	29924333
PMC6007429	2018	20197	Chipping to Destroy Egg Masses of the Spotted Lanternfly, Lycorma delicatula (Hemiptera: Fulgoridae)	29868780
PMC5871016	2018	72733	Relating antennal sensilla diversity and possible species behaviour in the planthopper pest Lycorma delicatula (Hemiptera: Fulgoromorpha: Fulgoridae)	29584780
PMC5789261	2018	38131	The First Record of Ooencyrtus nezarae (Hymenoptera: Encyrtidae) on Kudzu Bug (Hemiptera: Plataspidae) in North America	
PMC5677484	2017	179972	Genetic structure and demographic history of Lymantria dispar (Linnaeus, 1758) (Lepidoptera: Erebidae) in its area of origin and adjacent areas	29152205
PMC5585334	2017	58053	Deep-level phylogeny of Cicadomorpha inferred from mitochondrial genomes sequenced by NGS	28874826
PMC5453536	2017	60471	De novo characterization of the pine aphid Cinara pinitabulaeformis Zhang et Zhang transcriptome and analysis of genes relevant to pesticides	28570707
PMC5421791	2017	70984	Fine structure of mouthparts and feeding performance of Pyrrhocoris sibiricus Kuschakevich with remarks on the specialization of sensilla and stylets for seed feeding	28481941
PMC5416831	2017	164	Journal of Insect Science - Front Cover	
PMC5270392	2017	25780	An Old Remedy for a New Problem? Identification of Ooencyrtus kuvanae (Hymenoptera: Encyrtidae), an Egg Parasitoid of Lycorma delicatula (Hemiptera: Fulgoridae) in North America	28069731
PMC5186755	2016	63336	Effect of Different Lignocellulosic Diets on Bacterial Microbiota and Hydrolytic Enzyme Activities in the Gut of the Cotton Boll Weevil (Anthonomus grandis)	28082962
PMC5128874	2016	40570	Development of mouthparts in the cicada Meimuna mongolica (Distant): successive morphological patterning and sensilla differentiation from nymph to adult	27901084
PMC5069475	2016	38461	A Mitochondrial Genome of Rhyparochromidae (Hemiptera: Heteroptera) and a Comparative Analysis of Related Mitochondrial Genomes	27756915
PMC4912114	2016	84072	All 37 Mitochondrial Genes of Aphid Aphis craccivora Obtained from Transcriptome Sequencing: Implications for the Evolution of Aphids	27314587
PMC4890751	2016	64547	Structure and Sensilla of the Mouthparts of the Spotted Lanternfly Lycorma delicatula (Hemiptera: Fulgoromorpha: Fulgoridae), a Polyphagous Invasive Planthopper	27253390
PMC4583188	2015	144372	The Temporal and Spatial Invasion Genetics of the Western Corn Rootworm (Coleoptera: Chrysomelidae) in Southern Europe	26406466
PMC4613255	2015	62401	Development of Seven Microsatellite Markers Using Next Generation Sequencing for the Conservation on the Korean Population of Dorcus hopei (E. Saunders, 1854) (Coleoptera, Lucanidae)	26370965
PMC4677489	2015	38990	Biological Activity of trans-2-Hexenal Against Bradysia odoriphaga (Diptera: Sciaridae) at Different Developmental Stages	26170398
PMC4535569	2015	51648	Characterization of 12 Novel Microsatellite Markers of Sogatella furcifera (Hemiptera: Delphacidae) Identified From Next-Generation Sequence Data	26163593
PMC4490450	2015	120579	Hemipteran Mitochondrial Genomes: Features, Structures and Implications for Phylogeny	26039239
PMC4101842	2014	80705	Long-branch attraction and the phylogeny of true water bugs (Hemiptera: Nepomorpha) as estimated from mitochondrial genomes	24884699
PMC3701526	2013	51534	The complete mitochondrial genomes of two rice planthoppers, Nilaparvata lugens and Laodelphax striatellus: conserved genome rearrangement in Delphacidae and discovery of new characteristics of atp8 and tRNA genes	23799924
PMC3597614	2013	82637	A Preliminary Molecular Phylogeny of Planthoppers (Hemiptera: Fulgoroidea) Based on Nuclear and Mitochondrial DNA Sequences	23516472
PMC3563593	2013	86953	The Complete Mitochondrial Genome of the Stalk-Eyed Bug Chauliops fallax Scott, and the Monophyly of Malcidae (Hemiptera: Heteroptera)	23390534
PMC3493603	2012	97222	A Molecular Phylogeny of Hemiptera Inferred from Mitochondrial Genome Sequences	23144967
PMC3250431	2012	49067	The Complete Mitochondrial Genome and Novel Gene Arrangement of the Unique-Headed Bug Stenopirates sp. (Hemiptera: Enicocephalidae)	22235294
PMC3248651	2011	28357	The Complete Mitochondrial Genome of the Damsel Bug Alloeorhynchus bakeri (Hemiptera: Nabidae)	22211108
PMC2711072	2009	48194	Phylogenetic analysis of the true water bugs (Insecta: Hemiptera: Heteroptera: Nepomorpha): evidence from mitochondrial genomes	19523246
