pmcid	year	count	title	pubmedid
PMC7430709	2020	49198	Field evaluation of sunflower as a potential trap crop of Lygus pratensis in cotton fields	32804952
PMC7469162	2020	46203	'Candidatus Liberibacter Solanacearum' Is Unlikely to Be Transmitted Spontaneously from Infected Carrot Plants to Citrus Plants by Trioza Erytreae	32784442
PMC7414796	2020	43393	Unveiling the Feeding Behavior of Tibraca limbativentris (Hemiptera: Pentatomidae) on Rice Using an Electropenetrography Waveform Library	32770250
PMC7469201	2020	54407	How Does the Intricate Mouthpart Apparatus Coordinate for Feeding in the Hemimetabolous Insect Pest Erthesina fullo?	32759849
PMC7411831	2020	47254	Feeding Behavior and Virus-transmission Ability of Insect Vectors Exposed to Systemic Insecticides	32679858
PMC7351760	2020	51162	Mechanism and consequences for avoidance of superparasitism in the solitary parasitoid Cotesia vestalis	32651407
PMC7338578	2020	32955	A Chemosensory Protein BtabCSP11 Mediates Reproduction in Bemisia tabaci	32695020
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7345159	2020	58734	In Vitro and In Vivo Assessment of the Efficacy of Bromoageliferin, an Alkaloid Isolated from the Sponge Agelas dilatata, against Pseudomonas aeruginosa	32585891
PMC7348700	2020	35965	Drosophila melanogaster Response to Feeding with Neomycin-Based Medium Expressed in Fluctuating Asymmetry	32570778
PMC7404234	2020	52109	High-Efficiency CRISPR/Cas9 Mutagenesis of the white Gene in the Milkweed Bug Oncopeltus fasciatus	32493719
PMC7237031	2020	54303	Insecticidal activity of marigold Tagetes patula plants and foliar extracts against the hemipteran pests, Lygus hesperus and Bemisia tabaci	32428032
PMC7247421	2020	45818	Role of Biogenic Amines in Oviposition by the Diamondback Moth, Plutella xylostella L	32528307
PMC7290861	2020	39271	Drench Application of Systemic Insecticides Disrupts Probing Behavior of Diaphorina citri (Hemiptera: Liviidae) and Inoculation of Candidatus Liberibacter asiaticus	32429404
PMC7291042	2020	34356	Transcriptional Response of ATP-Binding Cassette (ABC) Transporters to Insecticide in the Brown Planthopper, Nilaparvata lugens (St&#xE5;l)	32370222
PMC7204558	2020	66286	Overwintering Physiology and Cold Tolerance of the Sunn Pest, Eurygaster integriceps, an Emphasis on the Role of Cryoprotectants	32425803
PMC7290381	2020	45877	Sublethal Effects of Diamide Insecticides on Development and Flight Performance of Chloridea virescens (Lepidoptera: Noctuidae): Implications for Bt Soybean Refuge Area Management	32354195
PMC7425782	2020	50137	Evaluation of Current Tarnished Plant Bug (Hemiptera: Miridae) Thresholds in Transgenic MON 88702 Cotton Expressing the Bt Cry51Aa2.834_16 Trait	32333008
PMC7162499	2020	20774	Inoculation of tomato plants with rhizobacteria suppresses development of whitefly Bemisia tabaci (GENNADIUS) (HEMIPTERA: ALEYRODIDAE): Agro-ecological application	32298309
PMC7174674	2020	79426	Identification of Leg Chemosensory Genes and Sensilla in the Apolygus lucorum	32351398
PMC7240484	2020	29116	Concanavalin A Toxicity Towards Potato Psyllid and Apoptosis Induction in Midgut Cells	32295261
PMC7078254	2020	87700	First transcriptome of the Neotropical pest Euschistus heros (Hemiptera: Pentatomidae) with dissection of its siRNA machinery	32184426
PMC7071726	2020	114056	Brown marmorated stink bug, Halyomorpha halys (St&#xE5;l), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest	32171258
PMC7160172	2020	61180	Plants use identical inhibitors to protect their cell wall pectin against microbes and insects	32313638
PMC7022682	2020	39619	Knockdown of TRPV Genes Affects the Locomotion and Feeding Behavior of Nilaparvata lugens (Hemiptera: Delphacidae)	32061084
PMC7022453	2020	40349	Proximate Drivers of Migration and Dispersal in Wing-Monomorphic Insects	31963745
PMC6959236	2020	41426	Sublethal and transgenerational effects of dinotefuran on biological parameters and behavioural traits of the mirid bug Apolygus lucorum	31937822
PMC7093385	2020	59514	Identification and characterisation of common glow-worm RNA viruses	31900852
PMC6948120	2019	13781	Dataset of de novo assembly and functional annotation of the transcriptome of certain developmental stages of coconut rhinoceros beetle, Oryctes rhinoceros L.	31921949
PMC6918546	2019	54335	Olive fruit fly rearing procedures affect the vertical transmission of the bacterial symbiont Candidatus Erwinia dacicola	31847839
PMC6902339	2019	76954	Comparative transcriptome and histological analyses of wheat in response to phytotoxic aphid Schizaphis graminum and non-phytotoxic aphid Sitobion avenae feeding	31823722
PMC6825165	2019	61478	Identification of candidate ATP-binding cassette transporter gene family members in Diaphorina citri (Hemiptera: Psyllidae) via adult tissues transcriptome analysis	31676883
PMC6765361	2019	43173	Cloning of a new HSP70 gene from western flowerthrips, Frankliniella occidentalis, and expression patterns during thermal stress	31579591
PMC6802376	2019	72376	Host plant use of a polyphagous mirid, Apolygus lucorum: Molecular evidence from migratory individuals	31641490
PMC6760036	2019	64064	Search for Nutritional Fitness Traits in a Biological Pest Control Agent Harmonia axyridis Using Comparative Transcriptomics	31620008
PMC6754612	2019	55257	Cooption of the pteridine biosynthesis pathway underlies the diversification of embryonic colors in water striders	31484764
PMC6722863	2019	39062	Influence of Age, Host Plant and Mating Status in Pheromone Production and New Insights on Perception Plasticity in Tuta Absoluta	31434304
PMC6723408	2019	32984	Seasonal Dynamics of the Leaffooted Bug Leptoglossus zonatus and Its Implications for Control in Almonds and Pistachios	31430888
PMC6688586	2019	76335	Identification, Expression Patterns and RNA Interference of Aquaporins in Dendroctonus armandi (Coleoptera: Scolytinae) Larvae During Overwintering	31427984
PMC6591537	2019	79409	Novel Lom-dh Genes Play Potential Role in Promoting Egg Diapause of Locusta migratoria L.	31275172
PMC6628457	2019	53432	Repertoire of the Bacillus thuringiensis Virulence Factors Unrelated to Major Classes of Protein Toxins and Its Role in Specificity of Host-Pathogen Interactions	31212976
PMC6600440	2019	46987	Insect ATP-Binding Cassette (ABC) Transporters: Roles in Xenobiotic Detoxification and Bt Insecticidal Activity	31185645
PMC6556103	2019	51206	Characterization of genes encoding small heat shock proteins from Bemisia tabaci and expression under thermal stress	31205823
PMC6549527	2019	51268	Pectin Digestion in Herbivorous Beetles: Impact of Pseudoenzymes Exceeds That of Their Active Counterparts	31191365
PMC6572627	2019	40096	Fine Morphology of the Mouthparts in Cheilocapsus nigrescens (Hemiptera: Heteroptera: Miridae) Reflects Adaptation for Phytophagous Habits	31109148
PMC6589528	2019	93826	Chemical defense responses of upland cotton, Gossypium hirsutum L. to physical wounding	31245779
PMC6523266	2019	33469	A Novel Aquaporin 12-like Protein from Chilo suppressalis: Characterization and Functional Analysis	31010093
PMC6443788	2019	56896	Foraging Experiences Durably Modulate Honey Bees' Sucrose Responsiveness and Antennal Lobe Biogenic Amine Levels	30931967
PMC6678072	2019	67740	Behavioral Responses of Thrips (Thysanoptera: Thripidae) and Tarnished Plant Bug (Hemiptera: Miridae) to a New Bt Toxin, Cry51Aa2.834_16 in Cotton	30920619
PMC6468527	2019	36216	Toxicity of Bacillus thuringiensis-Derived Pesticidal Proteins Cry1Ab and Cry1Ba against Asian Citrus Psyllid, Diaphorina citri (Hemiptera)	30909400
PMC6428837	2019	56474	An aquaporin mediates cell shape change required for cellular immunity in the beet armyworm, Spodoptera exigua	30899076
PMC6424066	2019	71745	Host Selection Behavior of the Green Peach Aphid, Myzus persicae, in Response to Volatile Organic Compounds and Nitrogen Contents of Cabbage Cultivars	30930910
PMC6411376	2019	71240	Honeydew-associated microbes elicit defense responses against brown planthopper in rice	30715410
PMC6390097	2019	46940	Reduced caterpillar damage can benefit plant bugs in Bt cotton	30804420
PMC6391707	2019	70144	Genetically Engineered Crops: Importance of Diversified Integrated Pest Management for Agricultural Sustainability	30842944
PMC6376063	2019	48021	Orange jasmine as a trap crop to control Diaphorina citri	30765801
PMC6369864	2019	40122	Development and Survival of Lygus hesperus (Hemiptera: Miridae) Nymphs Under Constant and Variable Temperatures	30753608
PMC6375067	2019	75491	Prostaglandins and Other Eicosanoids in Insects: Biosynthesis and Biological Actions	30792667
PMC6374644	2019	41459	Plant-Mediated RNAi for Controlling Apolygus lucorum	30792724
PMC6409710	2019	31611	The Effects of Endophytic Beauveria bassiana Inoculation on Infestation Level of Planococcus ficus, Growth and Volatile Constituents of Potted Greenhouse Grapevine (Vitis vinifera L.)	30696046
PMC6367150	2019	79308	Recent progress on the interaction between insects and Bacillus thuringiensis crops	30967027
PMC6328153	2019	52338	Does prey encounter and nutrient content affect prey selection in wolf spiders inhabiting Bt cotton fields?	30629650
PMC6327464	2019	34070	Duplication and expression of horizontally transferred polygalacturonase genes is associated with host range expansion of mirid bugs	30626314
PMC6385987	2018	66967	Composition of the Survival Motor Neuron (SMN) Complex in Drosophila melanogaster	30563832
PMC6590345	2018	67203	First transgenic trait for control of plant bugs and thrips in cotton	30324740
PMC6341976	2018	52822	The effects of food level and social density on reproduction in the Least Killifish, Heterandria formosa	30680099
PMC6297876	2018	71376	Effect of Sublethal Doses of Imidacloprid on the Biological Performance of Aphid Endoparasitoid Aphidius gifuensis (Hymenoptera: Aphidiidae) and Influence on Its Related Gene Expression	30618780
PMC6286046	2018	114566	Transcriptome-wide responses of adult melon thrips (Thrips palmi) associated with capsicum chlorosis virus infection	30532222
PMC6261545	2018	57190	Behavioral thermoregulation in Locusta migratoria manilensis (Orthoptera: Acrididae) in response to the entomopathogenic fungus, Beauveria bassiana	30485309
PMC6247239	2018	1138067	Award Winners and Abstracts of the 32nd Annual Symposium of The Protein Society; Boston, MA, July 9_12, 2018	30461082
PMC6230215	2018	68074	Electropenetrography Monitoring of the Neotropical Brown-Stink Bug (Hemiptera: Pentatomidae) on Soybean Pods: An Electrical Penetration Graph-Histology Analysis	30418601
PMC6316816	2018	23550	Chemical and Non-Chemical Options for Managing Twospotted Spider Mite, Western Tarnished Plant Bug and Other Arthropod Pests in Strawberries	30388768
PMC6205643	2018	56766	Caste-specific development of the dopaminergic system during metamorphosis in female honey bees	30372493
PMC6180080	2018	89225	Volatiles from Aquilaria sinensis damaged by Heortia vitessoides larvae deter the conspecific gravid adults and attract its predator Cantheconidea concinna	30305665
PMC6169989	2018	33202	Transcriptomics-Based Identification of Aquaporin Diversity in the House Dust Mite Dermatophagoides farinae (Acariformes: Pyroglyphidae)	30285258
PMC6202701	2018	101664	Habitat or temporal isolation: Unraveling herbivore_parasitoid speciation patterns using double digest RADseq	30386576
PMC6117904	2018	56586	Diapause Response of the Boll Weevil (Coleoptera: Curculionidae) to Feeding Period Duration and Cotton Square Size	30169637
PMC6164231	2018	45199	Evaluation of Chemical Strategies for Improving the Stability and Oral Toxicity of Insecticidal Peptides	30154370
PMC6294225	2018	59901	Field Study Investigating Cry51Aa2.834_16 in Cotton for Control of Thrips (Thysanoptera: Thripidae) and Tarnished Plant Bugs (Hemiptera: Miridae)	30137474
PMC6084580	2018	84327	Dynamics of Predation on Lygus hesperus (Hemiptera: Miridae) in Alfalfa Trap-Cropped Organic Strawberry	30101306
PMC6164602	2018	29135	Behavioral Response of Leptoglossus zonatus (Heteroptera: Coreidae) to Stimuli Based on Colors and its Aggregation Pheromone	30049945
