pmcid	year	count	title	pubmedid
PMC7446811	2020	106276	The alpha-tubulin of Laodelphax striatellus mediates the passage of rice stripe virus (RSV) and enhances horizontal transmission	32817722
PMC7413487	2020	182148	Identification of chemosensory genes from the antennal transcriptome of Semiothisa cinerearia	32764791
PMC7469201	2020	54407	How Does the Intricate Mouthpart Apparatus Coordinate for Feeding in the Hemimetabolous Insect Pest Erthesina fullo?	32759849
PMC7398281	2020	60206	The origin and evolution of viruses inferred from fold family structure	32748179
PMC7338578	2020	32955	A Chemosensory Protein BtabCSP11 Mediates Reproduction in Bemisia tabaci	32695020
PMC7349294	2020	54569	Unique Fine Morphology of Mouthparts in Haematoloecha nigrorufa (St&#xE5;l) (Hemiptera: Reduviidae) Adapted to Millipede Feeding	32580387
PMC7289159	2020	46311	Assessing the Risks of Topically Applied dsRNA-Based Products to Non-target Arthropods	32582240
PMC7272026	2020	125784	Diverse subterranean fungi of an underground iron ore mine	32497073
PMC7284897	2020	31720	Lignin as a UV Light Blocker-A Review	32429134
PMC7425782	2020	50137	Evaluation of Current Tarnished Plant Bug (Hemiptera: Miridae) Thresholds in Transgenic MON 88702 Cotton Expressing the Bt Cry51Aa2.834_16 Trait	32333008
PMC7187958	2020	48165	Double-Stranded RNA Technology to Control Insect Pests: Current Status and Challenges	32373146
PMC7174674	2020	79426	Identification of Leg Chemosensory Genes and Sensilla in the Apolygus lucorum	32351398
PMC7240746	2020	33025	Male-Biased Adult Production of the Striped Fruit Fly, Zeugodacus scutellata, by Feeding dsRNA Specific to Transformer-2	32231170
PMC7096405	2020	29070	Field evaluation of sex pheromones and binding specificity of pheromone binding protein 4 in Tryporyza intacta (Lepidoptera: Crambidae)	32214117
PMC7252490	2020	33745	Improving RNAi efficiency for pest control in crop species	32202134
PMC7071726	2020	114056	Brown marmorated stink bug, Halyomorpha halys (St&#xE5;l), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest	32171258
PMC7067897	2020	59031	New data on karyotype, spermatogenesis and ovarian trophocyte ploidy in three aquatic bug species of the families Naucoridae, Notonectidae, and Belostomatidae (<named-content content-type="infraorder">Nepomorpha, <named-content content-type="suborder">Heteroptera)	32194920
PMC7061899	2020	69584	Enhancing RNAi Efficiency to Decipher the Functional Response of Potential Genes in Bemisia tabaci AsiaII-1 (Gennadius) Through dsRNA Feeding Assays	32194431
PMC7142569	2020	53242	Morphological Disparity of the Mouthparts in Polyphagous Species of Largidae (Heteroptera: Pentatomomorpha: Pyrrhocoroidea) Reveals Feeding Specialization	32110911
PMC7074293	2020	30990	The Role of (E)-2-octenyl Acetate as a Pheromone of Bagrada hilaris (Burmeister): Laboratory and Field Evaluation	32050411
PMC7074194	2020	40524	De Novo Transcriptome Identifies Olfactory Genes in Diachasmimorpha longicaudata (Ashmead)	32013248
PMC7022453	2020	40349	Proximate Drivers of Migration and Dispersal in Wing-Monomorphic Insects	31963745
PMC6959236	2020	41426	Sublethal and transgenerational effects of dinotefuran on biological parameters and behavioural traits of the mirid bug Apolygus lucorum	31937822
PMC6977494	2019	41775	Antibodies raised against a Sunn bug (Eurygaster integriceps Put.) recombinant protease, rGHP3p2, can inhibit gluten-hydrolyzing activity	31993194
PMC6895038	2019	39879	Female bias in an immigratory population of Cnaphalocrocis medinalis moths based on field surveys and laboratory tests	31804548
PMC6884542	2019	50035	Antennal transcriptome analyses and olfactory protein identification in an important wood-boring moth pest, Streltzoviella insularis (Lepidoptera: Cossidae)	31784624
PMC6955811	2019	36194	Methyl Salicylate Increases Attraction and Function of Beneficial Arthropods in Cranberries	31775223
PMC6950266	2019	36625	Codon Usage in the Iflaviridae Family Is Not Diverse Though the Family Members Are Isolated from Diverse Host Taxa	31766648
PMC6873825	2019	64480	The Roles of Four Novel P450 Genes in Pesticides Resistance in Apis cerana cerana Fabricius: Expression Levels and Detoxification Efficiency	31803222
PMC6855143	2019	91343	Spatial Distributions of Thrips (Thysanoptera: Thripidae) in Cotton	31725879
PMC6920933	2019	44174	Risk and Toxicity Assessment of a Potential Natural Insecticide, Methyl Benzoate, in Honey Bees (Apis mellifera L.)	31683790
PMC6826757	2019	37195	The Complete Mitogenome of Pyrrhocoris tibialis (Hemiptera: Pyrrhocoridae) and Phylogenetic Implications	31635273
PMC6757040	2019	68015	Using de novo transcriptome assembly and analysis to study RNAi in Phenacoccus solenopsis Tinsley (Hemiptera: Pseudococcidae)	31548628
PMC6835894	2019	28760	Interactions between Fungal-Infected Helicoverpa armigera and the Predator Chrysoperla externa	31547221
PMC6780710	2019	34576	Performance of Three Isolates of Metarhizium anisopliae and Their Virulence against Zeugodacus cucurbitae under Different Temperature Regimes, with Global Extrapolation of Their Efficiency	31454931
PMC6723792	2019	161448	Impact of Biotic and Abiotic Stressors on Managed and Feral Bees	31374933
PMC6681268	2019	48790	Impact of Exclusion Netting Row Covers on 'Honeycrisp' Apple Trees Grown under Northeastern North American Conditions: Effects on Photosynthesis and Fruit Quality	31331070
PMC6681392	2019	39443	Influence of Insect Growth Regulators on Stephanitis pyrioides (Hemiptera: Tingidae) Eggs and Nymphs	31261681
