pmcid	year	count	title	pubmedid
PMC7506528	2020	50450	The use of light spectrum blocking films to reduce populations of Drosophila suzukii Matsumura in fruit crops	
PMC7471161	2020	55366	Mutual relations between jasmonic acid and acibenzolar-S-methyl in the induction of resistance to the two-spotted spider mite (Tetranychus urticae) in apple trees	32860179
PMC7481525	2020	72182	Salivary Protein 1 of Brown Planthopper Is Required for Survival and Induces Immunity Response in Plants	32973857
PMC7430702	2020	35130	Ecological indices of phytophagous Hemiptera and their natural enemies on Acacia auriculiformis (Fabales: Fabaceae) plants with or without dehydrated sewage sludge application in a degraded area	32804957
PMC7469166	2020	35683	From Diverse Origins to Specific Targets: Role of Microorganisms in Indirect Pest Biological Control	32823898
PMC7428492	2020	78553	Differential localization of Hessian fly candidate effectors in resistant and susceptible wheat plants	32818166
PMC7421533	2020	433762	Commodity risk assessment of Jasminum polyanthum plants from Israel	32793314
PMC7408455	2020	45094	Biocontrol Potential of Purified Elicitor Protein PeBL1 Extracted from Brevibacillus laterosporus Strain A60 and Its Capacity in the Induction of Defense Process against Cucumber Aphid (Myzus persicae) in Cucumber (Cucumis sativus)	32708244
PMC7411817	2020	63938	Aphid Transmission of Potyvirus: The Largest Plant-Infecting RNA Virus Genus	32708998
PMC7411831	2020	47254	Feeding Behavior and Virus-transmission Ability of Insect Vectors Exposed to Systemic Insecticides	32679858
PMC7381296	2020	98861	Mutations in Two Aphid-Regulated beta-1,3-Glucanase Genes by CRISPR/Cas9 Do Not Increase Barley Resistance to Rhopalosiphum padi L	32754185
PMC7411604	2020	32093	Asymmetric Interaction between Aphis spiraecola and Toxoptera citricida on Sweet Orange Induced by Pre-Infestation	32635348
PMC7411858	2020	43590	Phenolic Fingerprinting, Antioxidant, and Deterrent Potentials of Persicaria maculosa Extracts	32635342
PMC7327015	2020	34136	Chrysanthemum CmWRKY53 negatively regulates the resistance of chrysanthemum to the aphid Macrosiphoniella sanborni	32637137
PMC7369913	2020	47893	Ethylene Is Not Essential for R-Gene Mediated Resistance but Negatively Regulates Moderate Resistance to Some Aphids in Medicago truncatula	32629952
PMC7411967	2020	48334	High-Throughput Sequencing Facilitates Discovery of New Plant Viruses in Poland	32610678
PMC7324606	2020	74017	Comparative transcriptomics revealed differential regulation of defense related genes in Brassica juncea leading to successful and unsuccessful infestation by aphid species	32601289
PMC7412028	2020	46425	Feeding Preference of Crapemyrtle Bark Scale (Acanthococcus lagerstroemiae) on Different Species	32605244
PMC7330602	2020	58766	Local Aphid Species Infestation on Invasive Weeds Affects Virus Infection of Nearest Crops Under Different Management Systems _ A Preliminary Study	32670307
PMC7307453	2020	61648	Identification of sources of resistance in cowpea mini core accessions to Aphis craccivora Koch (Homoptera: Aphididae) and their biochemical characterization	32587414
PMC7243947	2020	99786	AcDCXR Is a Cowpea Aphid Effector With Putative Roles in Altering Host Immunity and Physiology	32499809
PMC7291301	2020	50917	Development, Reproduction, and Life Table Parameters of the Foxglove Aphid, Aulacorthum solani Kaltenbach (Hemiptera: Aphididae), on Soybean at Constant Temperatures	32403437
PMC7238888	2020	91552	Additive and mostly adaptive plastic responses of gene expression tomultiple stress in Tribolium castaneum	32379753
PMC7291223	2020	33065	Poplar Tree Response to Feeding by the Petiole Gall Aphid Pemphigus spyrothecae Pass	32380670
PMC7201100	2020	111994	Comparative Transcriptome and Proteome Analysis of Heat Acclimation in Predatory Mite Neoseiulus barkeri	32411020
PMC7290886	2020	33076	Predatory Earwigs are Attracted by Herbivore-Induced Plant Volatiles Linked with Plant Growth-Promoting Rhizobacteria	32365691
PMC7240704	2020	34175	Induced Systemic Resistance by a Plant Growth-Promoting Rhizobacterium Impacts Development and Feeding Behavior of Aphids	32276327
PMC7154061	2020	112498	Virome Analysis of Aphid Populations That Infest the Barley Field: The Discovery of Two Novel Groups of Nege/Kita-Like Viruses and Other Novel RNA Viruses	32318034
PMC7138822	2020	59786	Gene silencing of Diaphorina citri candidate effectors promotes changes in feeding behaviors	32265528
PMC7096218	2020	44941	Research advances in plant_insect molecular interaction	32226612
PMC7071726	2020	114056	Brown marmorated stink bug, Halyomorpha halys (St&#xE5;l), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest	32171258
PMC7142947	2020	30224	Effect of UV-Absorbing Nets on the Performance of the Aphid Predator Sphaerophoria rueppellii (Diptera: Syrphidae)	32150844
PMC7150981	2020	48270	Deciphering the Virome of Culex vishnui Subgroup Mosquitoes, the Major Vectors of Japanese Encephalitis, in Japan	32121094
PMC7150890	2020	40849	Proteomics Computational Analyses Suggest That the Envelope Glycoproteins of Segmented Jingmen Flavi-Like Viruses are Class II Viral Fusion Proteins (beta-Penetrenes) with Mucin-Like Domains	32120884
PMC7077179	2020	35890	Impact of Abiotic Stresses on Plant Virus Transmission by Aphids	32075208
PMC7167858	2020	32441	Putative Role of a Yet Uncharacterized Protein Elicitor PeBb1 Derived from Beauveria bassiana ARSEF 2860 Strain against Myzus persicae (Homoptera: Aphididae) in Brassica rapa ssp. pekinensis	32054010
PMC7012861	2020	38450	Identification and functional analysis of promoters of heat-shock genes from the fall armyworm, Spodoptera frugiperda	32047182
