pmcid	year	count	title	pubmedid
PMC7465820	2020	41386	Host_Pathogen Interactions between Xanthomonas fragariae and Its Host Fragaria &#xD7; ananassa Investigated with a Dual RNA-Seq Analysis	32824783
PMC7428492	2020	78553	Differential localization of Hessian fly candidate effectors in resistant and susceptible wheat plants	32818166
PMC7348853	2020	25351	Durum Wheat Cultivars Express Different Level of Resistance to Granary Weevil, Sitophilus granarius (Coleoptera; Curculionidae) Infestation	32503155
PMC7257214	2020	129103	Functional insights from the GC-poor genomes of two aphid parasitoids, Aphidius ervi and Lysiphlebus fabarum	32471448
PMC7096218	2020	44941	Research advances in plant_insect molecular interaction	32226612
PMC7073604	2020	40480	Genetic Divergence of Two Sitobion avenae Biotypes on Barley and Wheat in China	32054103
PMC7074007	2020	47930	Transcriptome Profiling Revealed Potentially Critical Roles for Digestion and Defense-Related Genes in Insects' Use of Resistant Host Plants: A Case Study with Sitobion Avenae	32019207
PMC6917271	2019	72918	The salivary gland proteome of root-galling grape phylloxera (Daktulosphaira vitifoliae Fitch) feeding on Vitis spp.	31846459
PMC6805508	2019	70679	Phenotypic and molecular characterization of Hessian fly resistance in diploid wheat, Aegilops tauschii	31640550
PMC6693767	2019	77264	Changes in the content of thiol compounds and the activity of glutathione s-transferase in maize seedlings in response to a rose-grass aphid infestation	31412084
PMC6696463	2019	42887	Genome-Wide Association Study for Multiple Biotic Stress Resistance in Synthetic Hexaploid Wheat	31357467
PMC6521781	2019	152195	An Update of Recent Use of Aegilops Species in Wheat Breeding	31143197
PMC6423130	2019	57303	Characterization, identification and evaluation of a set of wheat-Aegilops comosa chromosome lines	30886203
PMC6407286	2019	74460	De novo comparative transcriptome analysis of a rare cicada, with identification of candidate genes related to adaptation to a novel host plant and drier habitats	30845906
PMC6385206	2019	79102	Multiple molecular defense strategies in Brachypodium distachyon surmount Hessian fly (Mayetiola destructor) larvae-induced susceptibility for plant survival	30796321
PMC6195418	2018	55670	Conserved and Unique Putative Effectors Expressed in the Salivary Glands of Three Related Gall Midge Species	30346621
PMC6294282	2018	56596	Impact of Insecticide Seed Treatments and Foliar Insecticides on Aphid Infestations in Wheat, Incidence of Barley Yellow Dwarf, and Yield in West Tennessee	30277512
PMC6090860	2018	50391	Unlocking the novel genetic diversity and population structure of synthetic Hexaploid wheat	30081829
PMC6012102	2018	89440	Fast Evolution and Lineage-Specific Gene Family Expansions of Aphid Salivary Effectors Driven by Interactions with Host-Plants	29788052
PMC5855543	2018	57076	GC-MS Metabolomics to Evaluate the Composition of Plant Cuticular Waxes for Four Triticum aestivum Cultivars	29360745
PMC5698471	2017	64990	Transcriptome analysis of the salivary glands of the grain aphid, Sitobion avenae	29162876
PMC5644244	2017	99582	Agronomic Traits and Molecular Marker Identification of Wheat_Aegilops caudata Addition Lines	29075275
PMC5445327	2017	34702	A systematic review of rye (Secale cereale L.) as a source of resistance to pathogens and pests in wheat (Triticum aestivum L.)	28559761
PMC5176182	2016	38878	Levels of Salivary Enzymes of Apolygus Lucorum (Hemiptera: Miridae), From 1st Instar Nymph to Adult, and Their Potential Relation to Bug Feeding	28002486
PMC5324697	2016	50329	Searching for wheat resistance to aphids and wheat bulb fly in the historical Watkins and Gediflux wheat collections	28303034
PMC4933717	2016	80840	Harnessing Diversity in Wheat to Enhance Grain Yield, Climate Resilience, Disease and Insect Pest Resistance and Nutrition Through Conventional and Modern Breeding Approaches	27458472
PMC4913459	2016	62964	Identification of Genes Potentially Responsible for extra-Oral Digestion and Overcoming Plant Defense from Salivary Glands of the Tarnished Plant Bug (Hemiptera: Miridae) Using cDNA Sequencing	27324587
PMC4813132	2016	114037	Expression Patterns of Genes Involved in Ascorbate-Glutathione Cycle in Aphid-Infested Maize (Zea mays L.) Seedlings	26907270
PMC4523181	2015	124382	Molecular Cytogenetic Identification of a New Wheat-Rye 6R Chromosome Disomic Addition Line with Powdery Mildew Resistance	26237413
PMC4561433	2015	75921	The genome of Diuraphis noxia, a global aphid pest of small grains	26044338
PMC6272522	2015	54909	Insecticidal Activity of Plant Lectins and Potential Application in Crop Protection	25633332
PMC4200452	2014	186148	Checklist of the Cecidomyiidae (Diptera) of Finland	25337012
