pmcid	year	count	title	pubmedid
PMC7488116	2020	102647	GetOrganelle: a fast and versatile toolkit for accurate de novo assembly of organelle genomes	32912315
PMC7479627	2020	71481	Applications of CRISPR/Cas to Improve Crop Disease Resistance: Beyond Inactivation of Susceptibility Factors	
PMC7465820	2020	41386	Host_Pathogen Interactions between Xanthomonas fragariae and Its Host Fragaria &#xD7; ananassa Investigated with a Dual RNA-Seq Analysis	32824783
PMC7469148	2020	61397	Functional Variation in Dipteran Gut Bacterial Communities in Relation to Their Diet, Life Cycle Stage and Habitat	32824605
PMC7428492	2020	78553	Differential localization of Hessian fly candidate effectors in resistant and susceptible wheat plants	32818166
PMC7457136	2020	67021	The Globin Gene Family in Arthropods: Evolution and Functional Diversity	32922435
PMC7403345	2020	94485	Genomic analyses of a livestock pest, the New World screwworm, find potential targets for genetic control programs	32753684
PMC7432125	2020	41665	Update on Cuticular Wax Biosynthesis and Its Roles in Plant Disease Resistance	32752176
PMC7376646	2020	97945	The genome sequence of the grape phylloxera provides insights into the evolution, adaptation, and invasion routes of an iconic pest	32698880
PMC7370172	2020	43827	Gene Expression and Functional Analyses of Odorant Receptors in Small Hive Beetles (Aethina tumida)	32605135
PMC7330099	2020	85209	BSA-Seq Discovery and Functional Analysis of Candidate Hessian Fly (Mayetiola destructor) Avirulence Genes	32670342
PMC7325966	2020	49903	Identification and Expression Profiling of Chemosensory Genes in Hermetia illucens via a Transcriptomic Analysis	32655421
PMC7348853	2020	25351	Durum Wheat Cultivars Express Different Level of Resistance to Granary Weevil, Sitophilus granarius (Coleoptera; Curculionidae) Infestation	32503155
PMC7349215	2020	40990	Detection of Wolbachia Infections in Natural and Laboratory Populations of the Moroccan Hessian Fly, Mayetiola destructor (Say)	32498270
PMC7257214	2020	129103	Functional insights from the GC-poor genomes of two aphid parasitoids, Aphidius ervi and Lysiphlebus fabarum	32471448
PMC7259573	2020	65661	Modeling Aceria tosichella biotype distribution over geographic space and time	32469925
PMC7215069	2020	67727	Transcriptome Analysis of Ophraella communa Male Reproductive Tract in Indirect Response to Elevated CO2 and Heat Wave	32431624
PMC7297788	2020	113845	Host plant genetic control of associated fungal and insect species in a Populus hybrid cross	32551087
PMC7176022	2020	53014	Reduced Glutathione Protects Subcellular Compartments From Pb-Induced ROS Injury in Leaves and Roots of Upland Cotton (Gossypium hirsutum L.)	32351527
PMC7250505	2020	44516	Nudivirus Remnants in the Genomes of Arthropods	32282886
PMC7138822	2020	59786	Gene silencing of Diaphorina citri candidate effectors promotes changes in feeding behaviors	32265528
PMC7096218	2020	44941	Research advances in plant_insect molecular interaction	32226612
PMC7084258	2020	10526	Chromosomal Distribution of Genes Conferring Tolerance to Abiotic Stresses Versus That of Genes Controlling Resistance to Biotic Stresses in Plants	32155784
PMC7074147	2020	41581	The ABCB Multidrug Resistance Proteins Do Not Contribute to Ivermectin Detoxification in the Colorado Potato Beetle, Leptinotarsa decemlineata (Say)	32093187
PMC7027035	2020	64350	High-throughput deep sequencing reveals the important role that microRNAs play in the salt response in sweet potato (Ipomoea batatas L.)	32066373
PMC7073604	2020	40480	Genetic Divergence of Two Sitobion avenae Biotypes on Barley and Wheat in China	32054103
PMC7076654	2020	64200	Cytokinins Are Abundant and Widespread among Insect Species	32041320
PMC6998375	2020	46196	Identification of transcriptome and fluralaner responsive genes in the common cutworm Spodoptera litura Fabricius, based on RNA-seq	32013879
PMC7074007	2020	47930	Transcriptome Profiling Revealed Potentially Critical Roles for Digestion and Defense-Related Genes in Insects' Use of Resistant Host Plants: A Case Study with Sitobion Avenae	32019207
PMC7210764	2020	60837	The mirid bug Apolygus lucorum deploys a glutathione peroxidase as a candidate effector to enhance plant susceptibility	31950164
PMC6954513	2020	65134	Venomics of the ectoparasitoid wasp Bracon nigricans	31924169
PMC6928345	2019	65646	Detection and functional characterization of sigma class GST in Phlebotomus argentipes and its role in stress tolerance and DDT resistance	31873171
PMC7003083	2019	46321	Prevalence and Implications of Contamination in Public Genomic Resources: A Case Study of 43 Reference Arthropod Assemblies	31862787
PMC6917271	2019	72918	The salivary gland proteome of root-galling grape phylloxera (Daktulosphaira vitifoliae Fitch) feeding on Vitis spp.	31846459
PMC6892190	2019	49306	Secretory RING finger proteins function as effectors in a grapevine galling insect	31795978
PMC6855139	2019	35708	A Semi-Synthetic Diet and the Potential Important Chemicals for Mythimna separata (Lepidoptera: Noctuidae)	31725878
PMC6857651	2019	48639	Dynamic Evolution of Antimicrobial Peptides Underscores Trade-Offs Between Immunity and Ecological Fitness	31781114
PMC6855507	2019	201346	Genomic dissection of an extended phenotype: Oak galling by a cynipid gall wasp	31682601
PMC6805508	2019	70679	Phenotypic and molecular characterization of Hessian fly resistance in diploid wheat, Aegilops tauschii	31640550
PMC6835396	2019	37413	Expansion of Imaginal Disc Growth Factor Gene Family in Diptera Reflects the Evolution of Novel Functions	31635152
PMC6785909	2019	113810	Transcriptomic and functional analysis of the oosome, a unique form of germ plasm in the wasp Nasonia vitripennis	31601213
PMC6843664	2019	84747	Molecular Basis of Soybean Resistance to Soybean Aphids and Soybean Cyst Nematodes	31561499
PMC6720082	2019	77177	Genomic content of chemosensory genes correlates with host range in wood-boring beetles (Dendroctonus ponderosae, Agrilus planipennis, and Anoplophora glabripennis)	31477011
PMC6780606	2019	37508	Expression Patterns, Molecular Characterization, and Response to Host Stress of CYP Genes from Phenacoccus solenopsis (Hemiptera: Pseudococcidae)	31443456
PMC6705800	2019	64382	Spectral characterization of wheat functional trait responses to Hessian fly: Mechanisms for trait-based resistance	31437174
PMC6721104	2019	31738	Characterization and Phytotoxicity Assessment of Essential Oils from Plant Byproducts	31416129
PMC6693767	2019	77264	Changes in the content of thiol compounds and the activity of glutathione s-transferase in maize seedlings in response to a rose-grass aphid infestation	31412084
PMC6718987	2019	30174	Bigger Data Approach to Analysis of Essential Oils and Their Antifungal Activity against Aspergillus niger, Candida albicans, and Cryptococcus neoformans	31394798
PMC6696463	2019	42887	Genome-Wide Association Study for Multiple Biotic Stress Resistance in Synthetic Hexaploid Wheat	31357467
PMC6664026	2019	25284	Plant Manipulation by Gall-Forming Social Aphids for Waste Management	31396247
PMC6650400	2019	51652	Odors from phylogenetically-distant plants to Brassicaceae repel an herbivorous Brassica specialist	31337839
PMC6615979	2019	73226	Toxins from scratch? Diverse, multimodal gene origins in the predatory robber fly Dasypogon diadema indicate a dynamic venom evolution in dipteran insects	31289835
PMC6521781	2019	152195	An Update of Recent Use of Aegilops Species in Wheat Breeding	31143197
PMC6518291	2019	36627	Pistacia terebinthus Resin as Yeast Immobilization Support for Alcoholic Fermentation	30999587
PMC6467867	2019	38845	Remote Sensing Data to Detect Hessian Fly Infestation in Commercial Wheat Fields	30992554
PMC6598096	2019	72963	A salivary ferritin in the whitefly suppresses plant defenses and facilitates host exploitation	30949671
PMC6505164	2019	48587	Genome and Ontogenetic-Based Transcriptomic Analyses of the Flesh Fly, Sarcophaga bullata	30926723
PMC6426852	2019	56161	The use of Leaf Surface Contact Cues During Oviposition Explains Field Preferences in the Willow Sawfly Nematus oligospilus	30894616
PMC6426166	2019	117969	Testing Hopkins' Bioclimatic Law with PhenoCam data	30937220
PMC6423130	2019	57303	Characterization, identification and evaluation of a set of wheat-Aegilops comosa chromosome lines	30886203
