pmcid	year	count	title	pubmedid
PMC7428492	2020	78569	Differential localization of Hessian fly candidate effectors in resistant and susceptible wheat plants	32818166
PMC7180195	2020	97666	Genetic Variation May Have Promoted the Successful Colonization of the Invasive Gall Midge, Obolodiplosis robiniae, in China	32362914
PMC6917271	2019	72918	The salivary gland proteome of root-galling grape phylloxera (Daktulosphaira vitifoliae Fitch) feeding on Vitis spp.	31846459
PMC6195418	2018	55670	Conserved and Unique Putative Effectors Expressed in the Salivary Glands of Three Related Gall Midge Species	30346621
PMC5823858	2018	60801	Endogenous insensitivity to the Orco agonist VUAA1 reveals novel olfactory receptor complex properties in the specialist fly Mayetiola destructor	29472565
PMC4880318	2016	160384	Massive Shift in Gene Expression during Transitions between Developmental Stages of the Gall Midge, Mayetiola Destructor	27224654
PMC4672216	2015	69231	Development of Polymorphic Microsatellite Markers of Obolodiplosis robiniae (Haldeman) (Diptera: Cecidomyiidae), a North American Pest Invading Asia	26386040
PMC4308891	2015	65785	Hessian fly larval feeding triggers enhanced polyamine levels in susceptible but not resistant wheat	25592131
PMC3509590	2012	8553	Development of New Polymorphic Microsatellite Loci for the Barley Stem Gall Midge, Mayetiola hordei (Diptera: Cecidomyiidae) from an Enriched Library	23203074
PMC2706880	2000	80	Structure genetique des cecidomyies des cereales en Tunisie	14736371
