pmcid	year	count	title	pubmedid
PMC7469201	2020	54407	How Does the Intricate Mouthpart Apparatus Coordinate for Feeding in the Hemimetabolous Insect Pest Erthesina fullo?	32759849
PMC7469212	2020	52525	Assessing Niche Shifts and Conservatism by Comparing the Native and Post-Invasion Niches of Major Forest Invasive Species	32751077
PMC7333248	2020	107450	Dynamics of Insect_Microbiome Interaction Influence Host and Microbial Symbiont	32676060
PMC7349294	2020	54569	Unique Fine Morphology of Mouthparts in Haematoloecha nigrorufa (St&#xE5;l) (Hemiptera: Reduviidae) Adapted to Millipede Feeding	32580387
PMC7240479	2020	74725	A Review of the Phenotypic Traits Associated with Insect Dispersal Polymorphism, and Experimental Designs for Sorting out Resident and Disperser Phenotypes	32235446
PMC7071726	2020	114056	Brown marmorated stink bug, Halyomorpha halys (St&#xE5;l), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest	32171258
PMC7035272	2020	86114	Global distribution patterns and niche modelling of the invasive Kalanchoe &#xD7; houghtonii (Crassulaceae)	32081991
PMC6981309	2020	42498	A fortuitous find: a unique haplotype of Ooencyrtusnezarae Ishii (Encyrtidae: <named-content content-type="subfamily">Encyrtinae) discovered in Florida	32002013
PMC6913905	2019	47311	Comparative Mitogenomic Analysis of the Eurydema Genus in the Context of Representative Pentatomidae (Hemiptera: Heteroptera) Taxa	31841604
PMC6788430	2019	41722	Effects of Eutrophication and Different Water Levels on Overwintering of Eichhornia crassipes at the Northern Margin of Its Distribution in China	31636651
PMC6706230	2019	102226	Even obligate symbioses show signs of ecological contingency: Impacts of symbiosis for an invasive stinkbug are mediated by host plant context	31463006
PMC6629624	2019	33401	Biological parameters, life table and thermal requirements of Thaumastocoris peregrinus (Heteroptera: Thaumastocoridae) at different temperatures	31308394
PMC6591328	2019	46652	Current and future climatic regions favourable for a globally introduced wild carnivore, the raccoon Procyon lotor	31235806
PMC6435917	2019	29404	Effect of Pesticides on Biological Control Potential of Neoscona theisi (Araneae: Araneidae)	30915446
PMC6435312	2019	75309	Predation on stink bugs (Hemiptera: Pentatomidae) in cotton and soybean agroecosystems	30913247
PMC6230215	2018	68074	Electropenetrography Monitoring of the Neotropical Brown-Stink Bug (Hemiptera: Pentatomidae) on Soybean Pods: An Electrical Penetration Graph-Histology Analysis	30418601
PMC6147452	2018	52937	Sublethal effects of imidacloprid on the performance of the bird cherry-oat aphid Rhopalosiphum padi	30235260
PMC6121511	2018	60532	Molecular Characterization and Expression Analysis of Two Acetylcholinesterase Genes From the Small White Butterfly Pieris rapae (Lepidoptera: Pieridae)	30184214
PMC6126470	2018	187752	A bioinformatics approach to identifying Wolbachia infections in arthropods	30202647
PMC6319085	2019	39080	Next-generation sequencing analysis of Pardosa pseudoannulata's diet composition in different habitats	30622422
PMC6074835	2018	65397	Effect of Temperature on the Development, Survival, and Fecundity of Heliothis viriplaca (Lepidoptera: Noctuidae)	29905847
PMC5976152	2018	55584	Molecular gut content analysis of different spider body parts	29847544
PMC5905379	2018	100303	Complete Mitochondrial Genome of Dinorhynchus dybowskyi (Hemiptera: Pentatomidae: Asopinae) and Phylogenetic Analysis of Pentatomomorpha Species	29718506
PMC5913720	2018	36412	Holobionts and their hologenomes: Evolution with mixed modes of inheritance	29505062
PMC5797622	2018	116736	Fine Mapping and Identification of a Novel Phytophthora Root Rot Resistance Locus RpsZS18 on Chromosome 2 in Soybean	29441079
PMC5789261	2018	38131	The First Record of Ooencyrtus nezarae (Hymenoptera: Encyrtidae) on Kudzu Bug (Hemiptera: Plataspidae) in North America	
PMC5771586	2018	34822	Identification of volatiles released by diapausing brown marmorated stink bug, Halyomorpha halys (Hemiptera: Pentatomidae)	29342183
PMC5404199	2016	44882	Detoxifying symbionts in agriculturally important pest insects	27943632
PMC5087093	2016	21894	Ecology and Management of Kudzu Bug (Hemiptera: Plataspidae) in Southeastern Soybeans	27812397
PMC5037837	2016	69084	Biology, Pest Status, Microbiome and Control of Kudzu Bug (Hemiptera: Heteroptera: Plataspidae): A New Invasive Pest in the U.S.	27649166
PMC5026482	2016	31646	Sublethal Effects of Insecticide Exposure on Megacopta cribraria (Fabricius) Nymphs: Key Biological Traits and Acetylcholinesterase Activity	27638957
PMC5039544	2016	38530	Estimation of Median Lethal Concentration of Three Isolates of Beauveria bassiana for Control of Megacopta cribraria (Heteroptera: Plataspidae) Bioassayed on Solid Lygus spp. Diet	27376335
PMC4737797	2015	44630	Potential applications of insect symbionts in biotechnology	26659224
PMC4692786	2015	34421	A Simple Flight Mill for the Study of Tethered Flight in Insects	26709537
PMC4469028	2015	56117	Comparative mitogenomic analysis of the superfamily Pentatomoidea (Insecta: Hemiptera: Heteroptera) and phylogenetic implications	26076960
PMC4456165	2015	97296	The Complete Mitochondrial Genome of Corizus tetraspilus (Hemiptera: Rhopalidae) and Phylogenetic Analysis of Pentatomomorpha	26042898
PMC4490450	2015	120579	Hemipteran Mitochondrial Genomes: Features, Structures and Implications for Phylogeny	26039239
PMC4256200	2014	68851	Electronically Monitored Labial Dabbing and Stylet 'Probing' Behaviors of Brown Marmorated Stink Bug, Halyomorpha halys, in Simulated Environments	25474148
PMC4197294	2014	63888	Bacterial associates of seed-parasitic wasps (Hymenoptera: Megastigmus)	25286971
PMC3935659	2014	46798	Insights into the Saliva of the Brown Marmorated Stink Bug Halyomorpha halys (Hemiptera: Pentatomidae)	24586332
PMC3923857	2014	18280	Fine-Scale Geographical Origin of an Insect Pest Invading North America	24551228
PMC3842982	2013	81537	32 species validation of a new Illumina paired-end approach for the development of microsatellites	24312368
PMC3832445	2013	35486	A Brave New World for an Old World Pest: Helicoverpa armigera (Lepidoptera: Noctuidae) in Brazil	24260345
PMC3656014	2013	35103	Symbiont-mediated functions in insect hosts	23710278
PMC3528285	2012	51898	Biological Invasions of Geminiviruses: Case Study of TYLCV and Bemisia tabaci in Reunion Island	23235470
PMC3457996	2012	55275	Selecting Biological Meaningful Environmental Dimensions of Low Discrepancy among Ranges to Predict Potential Distribution of Bean Plataspid Invasion	23049993
PMC4553543	2011	23862	Population Genetic Baseline of the First Plataspid Stink Bug Symbiosis (Hemiptera: Heteroptera: Plataspidae) Reported in North America	26467727
PMC2689433	2009	24240	Genome degeneration affects both extracellular and intracellular bacterial endosymbionts	19435469
PMC2637841	2009	98897	Host-symbiont co-speciation and reductive genome evolution in gut symbiotic bacteria of acanthosomatid stinkbugs	19146674
PMC1592312	2006	68568	Strict Host-Symbiont Cospeciation and Reductive Genome Evolution in Insect Gut Bacteria	17032065
