pmcid	year	count	title	pubmedid
PMC7498013	2020	45922	Identification and characterization of Miscanthus yellow fleck virus, a new polerovirus infecting Miscanthus sinensis	
PMC7493910	2020	50072	Transcriptome response comparison between vector and non-vector aphids after feeding on virus-infected wheat plants	
PMC7469124	2020	41734	Characterization of Free Fatty Acid Receptor 4 andIts Involvement in Nutritional Control and Immune Response in PacificOysters (Crassostrea gigas)	32905352
PMC7403522	2020	29113	Mixed Infection of Sugarcane Yellow Leaf Virus and Grassy Shoot Phytoplasma in Yellow Leaf Affected Indian Sugarcane Cultivars	32788895
PMC7360041	2020	77793	Electroactivity of polyphenols in sweet sorghum (Sorghum bicolor (L.) Moench) cultivars	32663216
PMC7324606	2020	74017	Comparative transcriptomics revealed differential regulation of defense related genes in Brassica juncea leading to successful and unsuccessful infestation by aphid species	32601289
PMC7412028	2020	46425	Feeding Preference of Crapemyrtle Bark Scale (Acanthococcus lagerstroemiae) on Different Species	32605244
PMC7313535	2020	197103	Comparative transcriptomics of Diuraphis noxia andSchizaphis graminum fed wheat plants containing differentaphid-resistance genes	32442185
PMC7243947	2020	99786	AcDCXR Is a Cowpea Aphid Effector With Putative Roles in Altering Host Immunity and Physiology	32499809
PMC7290403	2020	41866	Lysine Acetyltransferase p300/CBP Plays an Important Role in Reproduction, Embryogenesis and Longevity of the Pea Aphid Acyrthosiphon pisum	32357443
PMC7250505	2020	44516	Nudivirus Remnants in the Genomes of Arthropods	32282886
PMC7059971	2020	70843	Lack of transmission of Sugarcane yellow leaf virus in Florida from Columbus grass and sugarcane to sugarcane with aphids or mites	32142559
PMC6994723	2020	52539	An RNAi supplemented diet as a reverse genetics tool to control bluegreen aphid, a major pest of legumes	32005880
PMC6977789	2020	43148	Role of phosphoglucomutase in regulating trehalose metabolism in Nilaparvata lugens	32030330
PMC7022676	2019	40516	DNA Barcoding Subtropical Aphids and Implications for Population Differentiation	31877643
PMC6917271	2019	72918	The salivary gland proteome of root-galling grape phylloxera (Daktulosphaira vitifoliae Fitch) feeding on Vitis spp.	31846459
PMC6903727	2019	89758	BIN overlap confirms transcontinental distribution of pest aphids (Hemiptera: Aphididae)	31821347
PMC6906763	2019	77052	Accumulation ofCarboxylate and Aromatic Fluorophoresby a Pest-Resistant Sweet Sorghum [Sorghum bicolor (L.) Moench] Genotype	31858036
PMC6874142	2019	97515	Plant Genes Benefitting Aphids-Potential for Exploitation in Resistance Breeding	31798609
PMC6825165	2019	61478	Identification of candidate ATP-binding cassette transporter gene family members in Diaphorina citri (Hemiptera: Psyllidae) via adult tissues transcriptome analysis	31676883
PMC7200908	2019	156194	Warm-season annual forages in forage-finishing beef systems: I. Forage yield and quality	32704856
PMC6523691	2019	49767	Hemipteran Pests of Sugarcane in North America	31013987
PMC6439351	2019	22548	Functional Multiplicity of an Insect Cytokine Family Assists Defense Against Environmental Stress	30967784
PMC6468712	2019	26909	How Cabbage Aphids Brevicoryne brassicae (L.) Make a Choice to Feed on Brassica napus Cultivars	30875981
PMC6396740	2019	83010	Global Responses of Resistant and Susceptible Sorghum (Sorghum bicolor) to Sugarcane Aphid (Melanaphis sacchari)	30853964
PMC6344576	2019	44242	Rapid Data Analytics to Relate Sugarcane Aphid [(Melanaphis sacchari (Zehntner)] Population and Damage on Sorghum (Sorghum bicolor (L.) Moench)	30674945
PMC6385988	2018	53120	Optimizing Genomic Selection for a Sorghum Breeding Program in Haiti: A Simulation Study	30530641
PMC6321106	2018	43459	Characterization and Expression Profiling of Neuropeptides and G-Protein-Coupled Receptors (GPCRs) for Neuropeptides in the Asian Citrus Psyllid, Diaphorina citri (Hemiptera: Psyllidae)	30563248
PMC6204049	2018	68278	Effects of sugarcane aphid herbivory on transcriptional responses of resistant and susceptible sorghum	30367619
PMC6023983	2018	64937	Evaluation of the Impact of Genetically Modified Cotton After 20 Years of Cultivation in Mexico	29988354
PMC6002416	2018	147236	Molecular data and species diagnosis in Essigella Del Guercio, 1909 (<named-content content-type="suborder">Sternorrhyncha, Aphididae, <named-content content-type="subfamily">Lachninae)	29910664
PMC5919042	2018	58825	Invasion of sorghum in the Americas by a new sugarcane aphid (Melanaphis sacchari) superclone	29694435
PMC5882765	2018	60108	Behavioral Plasticity in Probing by Diaphorina citri (Hemiptera, Liviidae): Ingestion from Phloem Versus Xylem is Influenced by Leaf Age and Surface	29628621
PMC5773226	2018	2102	Retraction: Virulent Diuraphis noxia Aphids Over-Express Calcium Signaling Proteins to Overcome Defenses of Aphid-Resistant Wheat Plants	29346432
PMC5592212	2017	75458	Identification, Characterization and Full-Length Sequence Analysis of a Novel Polerovirus Associated with Wheat Leaf Yellowing Disease	28932215
PMC5507255	2017	60634	Aphid symbionts and endogenous resistance traits mediate competition between rival parasitoids	28700614
PMC5492058	2017	33770	Interactions among the Predatory Midge Aphidoletes aphidimyza (Diptera: Cecidomyiidae), the Fungal Pathogen Metarhizium brunneum (Ascomycota: Hypocreales), and Maize-Infesting Aphids in Greenhouse Mesocosms	28417909
PMC5241644	2017	42835	Seasonal and regional presence of hymenopteran parasitoids of Drosophila in Switzerland and their ability to parasitize the invasive Drosophila suzukii	28098183
PMC5020058	2016	61570	Plant Tolerance: A Unique Approach to Control Hemipteran Pests	27679643
PMC5394564	2016	39812	Sugarcane Aphid (Hemiptera: Aphididae): A New Pest on Sorghum in North America	28446991
PMC4938216	2016	61603	Presence of Native Prey Does Not Divert Predation on Exotic Pests by Harmonia axyridis in Its Indigenous Range	27391468
PMC4878380	2016	36106	Cloning and expression analysis of cinnamoyl-CoA reductase (CCR) genes in sorghum	27231650
PMC4982108	2016	82126	<styled-content style="italic-in-any-context">Triticum monococcum lines with distinct metabolic phenotypes and phloem-based partial resistance to the bird cherry_oat aphid <styled-content style="italic-in-any-context">Rhopalosiphum padi	27570248
PMC4658203	2015	65024	Host Plant Specialization in the Sugarcane Aphid Melanaphis sacchari	26600253
PMC4547034	2015	965743	General trends of chromosomal evolution in <named-content content-type="above-genus">Aphidococca (<named-content content-type="class">Insecta, <named-content content-type="suborder">Homoptera, <named-content content-type="infraorder">Aphidinea + <named-content content-type="infraorder">Coccinea)	26312130
PMC4249712	2014	55864	Plant immunity in plant_aphid interactions	25520727
PMC4141858	2014	81817	Low Genetic Diversity in Melanaphis sacchari Aphid Populations at the Worldwide Scale	25148510
PMC4110414	2014	94365	Prospecting sugarcane resistance to Sugarcane yellow leaf virus by genome-wide association	24916990
PMC5634056	2014	55737	Insect Fauna Associated WithAnacardium occidentale(Sapindales: Anacardiaceae) in Benin, West Africa	25434033
PMC3272636	2012	49433	A new species ofRhopalosiphum (Hemiptera, Aphididae) onChusquea tomentosa (Poaceae, Bambusoideae) from Costa Rica	22328859
PMC3075403	2011	121460	Sugarcane (Saccharum X officinarum): A Reference Study for the Regulation of Genetically Modified Cultivars in Brazil	21614128
