pmcid	year	count	title	pubmedid
PMC7412047	2020	52314	Evaluation of the Physiological Host Range for the Parasitoid Ooencyrtus mirus, a Potential Biocontrol Agent of Bagrada hilaris	32664427
PMC7473968	2020	88038	Biotremology in arthropods	32632754
PMC7274415	2020	113099	Transcriptomes reveal expression of hemoglobins throughout insects and other Hexapoda	32502196
PMC7198579	2020	42846	Chemical identification of an aggregation pheromone in the termite Reticulitermes speratus	32366829
PMC7189384	2020	47917	Anatomical study of the female reproductive system and bacteriome of Diaphorina citri Kuwayama, (Insecta: Hemiptera, Liviidae) using micro-computed tomography	32346040
PMC7178596	2020	70824	Oncopeltus-like gene expression patterns in Murgantia histrionica, a new hemipteran model system, suggest ancient regulatory network divergence	32337018
PMC7071726	2020	114056	Brown marmorated stink bug, Halyomorpha halys (St&#xE5;l), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest	32171258
PMC7074293	2020	30990	The Role of (E)-2-octenyl Acetate as a Pheromone of Bagrada hilaris (Burmeister): Laboratory and Field Evaluation	32050411
PMC6978774	2020	48507	High Diversity and Functional Complementation of Alimentary Canal Microbiota Ensure Small Brown Planthopper to Adapt Different Biogeographic Environments	32010074
PMC6917277	2019	108652	De novo transcriptome analysis and identification of genes associated with immunity, detoxification and energy metabolism from the fat body of the tephritid gall fly, Procecidochares utilis	31846465
PMC6621923	2019	45436	An Egg Parasitoid Efficiently Exploits Cues From a Coevolved Host But Not Those From a Novel Host	31333475
PMC6628413	2019	38405	The 'Botanical Triad': The Presence of Insectary Plants Enhances Natural Enemy Abundance on Trap Crop Plants in an Organic Cabbage Agro-Ecosystem	31234524
PMC6535216	2019	72908	Gene expression in Tribolium castaneum life stages: Identifying a species-specific target for pest control applications	31198628
PMC6484021	2019	60921	Insight into the microbial world of Bemisia tabaci cryptic species complex and its relationships with its host	31024030
PMC6473057	2019	38754	Mating Status of an Herbivorous Stink Bug Female Affects the Emission of Oviposition-Induced Plant Volatiles Exploited by an Egg Parasitoid	31031636
PMC6380218	2019	59264	Influence of Pheromone-Baited Traps on Stink Bugs in Cotton	30794727
PMC6307740	2018	46665	Volatile unsaturated hydrocarbons emitted by seedlings of Brassica species provide host location cues to Bagrada hilaris	30589910
PMC6140472	2018	54188	De novo formation of an aggregation pheromone precursor by an isoprenyl diphosphate synthase-related terpene synthase in the harlequin bug	30139915
PMC6164602	2018	29135	Behavioral Response of Leptoglossus zonatus (Heteroptera: Coreidae) to Stimuli Based on Colors and its Aggregation Pheromone	30049945
PMC6044328	2018	39753	Thermal Physiology and Developmental Plasticity of Pigmentation in the Harlequin Bug (Hemiptera: Pentatomidae)	30010926
PMC5834936	2018	80040	Precopulatory behavior and sexual conflict in the desert locust	29507823
PMC5719073	2017	60461	Comparative analysis of double-stranded RNA degradation and processing in insects	29213068
PMC5516968	2017	57438	Male reproductive system and spermatogenesis of Limodromus assimilis (Paykull 1790)	28723911
PMC5492069	2017	48735	A Transcriptome Survey Spanning Life Stages and Sexes of the Harlequin Bug, Murgantia histrionica	28587099
PMC5437855	2017	47792	Foraging behaviour of an egg parasitoid exploiting plant volatiles induced by pentatomids: the role of adaxial and abaxial leaf surfaces	28533974
PMC5371960	2017	28131	Isolating Spermathecae and Determining Mating Status of Drosophila suzukii: A Protocol for Tissue Dissection and Its Applications	28287438
PMC5300277	2017	52014	Double strand RNA delivery system for plant-sap-feeding insects	28182760
PMC5513223	2016	69533	Prospects of herbivore egg-killing plant defenses for sustainable crop protection	28725368
PMC4901325	2016	34505	Distinct properties of proteases and nucleases in the gut, salivary gland and saliva of southern green stink bug, Nezara viridula	27282882
PMC4890048	2016	37774	The response of an egg parasitoid to substrate-borne semiochemicals is affected by previous experience	27250870
PMC4767901	2016	52827	Real-Time PCR Assay for the Identification of the Brown Marmorated Stink Bug (Halyomorpha halys)	26955631
PMC4631522	2015	36960	Semiochemical Production and Laboratory Behavior Response of the Brown Marmorated Stink Bug, Halyomorpha Halys	26528717
PMC4619402	2015	52382	The Effect of Timing of Female Vibrational Reply on Male Signalling and Searching Behaviour in the Leafhopper Aphrodes makarovi	26488472
PMC4498631	2015	96021	Transcriptome-Based Identification of Highly Similar Odorant-Binding Proteins among Neotropical Stink Bugs and Their Egg Parasitoid	26161752
PMC4476573	2015	55804	Interference of Overlapping Insect Vibratory Communication Signals: An Eushistus heros Model	26098637
PMC4427635	2015	62898	Behavioral Responses of the Invasive Halyomorpha halys (St&#xE5;l) to Traps Baited with Stereoisomeric Mixtures of 10,11-Epoxy-1-bisabolen-3-OL	25855524
PMC4604117	2015	21146	Infection prevalence of Sodalis symbionts among stinkbugs	26605050
PMC4350177	2015	84905	Habitat Visualization and Genomic Analysis of "Candidatus Pantoea carbekii," the Primary Symbiont of the Brown Marmorated Stink Bug	25587021
PMC4190369	2014	72822	Adjacent Habitat Influence on Stink Bug (Hemiptera: Pentatomidae) Densities and the Associated Damage at Field Corn and Soybean Edges	25295593
PMC4097960	2014	80918	Symbiont polyphyly, co-evolution, and necessity in pentatomid stinkbugs from Costa Rica	25076943
PMC4062478	2014	45485	Intraguild Interactions between Two Egg Parasitoids of a True Bug in Semi-Field and Field Conditions	24941172
PMC3981664	2014	58465	Characterization of Overwintering Sites of the Invasive Brown Marmorated Stink Bug in Natural Landscapes Using Human Surveyors and Detector Canines	24717734
PMC3943947	2014	72805	The Importance of Gut Symbionts in the Development of the Brown Marmorated Stink Bug, Halyomorpha halys (St&#xE5;l)	24598598
