pmcid	year	count	title	pubmedid
PMC7508886	2020	48211	Digestive activity and organic compounds of Nezara viridula watery saliva induce defensive soybean seed responses	
PMC7502232	2020	40238	Role of reactive oxygen species and isoflavonoids in soybean resistance to the attack of the southern green stink bug	
PMC7498604	2020	43051	Lethal and sub-lethal effects of low-temperature exposures on Halyomorpha halys (Hemiptera: Pentatomidae) adults before and after overwintering	
PMC7484799	2020	58253	Evolution of isoprenyl diphosphate synthase-like terpene synthases in fungi	
PMC7440640	2020	86047	Relative susceptibility to pesticides and environmental conditions of Frankliniella intonsa and F. occidentalis (Thysanoptera: Thripidae), an underlying reason for their asymmetrical occurrence	32817683
PMC7450643	2020	75751	Secondary Metabolites and Bioactivities of Aspergillusochraceopetaliformis Isolated from Anthurium brownii	32875235
PMC7414796	2020	43393	Unveiling the Feeding Behavior of Tibraca limbativentris (Hemiptera: Pentatomidae) on Rice Using an Electropenetrography Waveform Library	32770250
PMC7459587	2020	37799	Applications of Proteomic Tools to Study Insect Vector_Plant Virus Interactions	32784674
PMC7469201	2020	54407	How Does the Intricate Mouthpart Apparatus Coordinate for Feeding in the Hemimetabolous Insect Pest Erthesina fullo?	32759849
PMC7416138	2020	80122	Two Tachykinin-Related Peptides with Antimicrobial Activity Isolatedfrom Triatoma infestans Hemolymph	32843839
PMC7382489	2020	36691	Biological characteristics of Trissolcus urichi (Crawford) (Hymenoptera: Scelionidae) on Euschistus heros (Fabricius) and Dichelops melacanthus (Dallas) (Hemiptera: Pentatomidae) Eggs	32710085
PMC7487162	2020	53470	The Identification and Evolutionary Trends of the Solute Carrier Superfamily in Arthropods	
PMC7412047	2020	52314	Evaluation of the Physiological Host Range for the Parasitoid Ooencyrtus mirus, a Potential Biocontrol Agent of Bagrada hilaris	32664427
PMC7347226	2020	231466	The interaction between cuticle free fatty acids (FFAs) of the cockroaches Blattella germanica and Blatta orientalis  and hydrolases produced by the entomopathogenic fungus Conidiobolus coronatus	32645074
PMC7473968	2020	88038	Biotremology in arthropods	32632754
PMC7338578	2020	32955	A Chemosensory Protein BtabCSP11 Mediates Reproduction in Bemisia tabaci	32695020
PMC7412187	2020	61279	Adhesion Performance in the Eggs of the Philippine Leaf Insect Phyllium philippinicum (Phasmatodea: Phylliidae)	32605269
PMC7333248	2020	107450	Dynamics of Insect_Microbiome Interaction Influence Host and Microbial Symbiont	32676060
PMC7371651	2020	56732	Attraction of Chrysotropia ciliata (Neuroptera, Chrysopidae) Males to P-Anisaldehyde, a Compound with Presumed Pheromone Function	32588285
PMC7463329	2020	123096	Multiple invasions of a generalist herbivore-Secondary contact between two divergent lineages of Nezara viridula Linnaeus in Australia	32908608
PMC7349294	2020	54569	Unique Fine Morphology of Mouthparts in Haematoloecha nigrorufa (St&#xE5;l) (Hemiptera: Reduviidae) Adapted to Millipede Feeding	32580387
