pmcid	year	count	title	pubmedid
PMC7472703	2020	74253	DNA methylation suppresses chitin degradation and promotes the wing development by inhibiting Bmara-mediated chitinase expression in the silkworm, Bombyx mori	32887667
PMC7455915	2020	77977	Genomic resources and toolkits for developmental study of whip spiders (Amblypygi) provide insights into arachnid genome evolution and antenniform leg patterning	32874529
PMC7480158	2020	25035	Indirect genetic control of migration in a salmonid fish	32810431
PMC7426621	2020	81821	Rhodnius, Golden Oil, and Met: A History of Juvenile Hormone Research	32850806
PMC7466042	2020	58294	Essentials Oils from Brazilian Eugenia and Syzygium Species and Their Biological Activities	32781744
PMC7469174	2020	37672	Defense of Milkweed Bugs (Heteroptera: Lygaeinae) against Predatory Lacewing Larvae Depends on Structural Differences of Sequestered Cardenolides	32752003
PMC7416138	2020	80122	Two Tachykinin-Related Peptides with Antimicrobial Activity Isolatedfrom Triatoma infestans Hemolymph	32843839
PMC7435582	2020	170049	Plant Natural Products for the Control of Aedes aegypti: The Main Vector of Important Arboviruses	32751878
PMC7394822	2020	49567	Identification of Candidate Olfactory Genes in the Antennal Transcriptome of the Stink Bug Halyomorpha halys	32792985
PMC7412480	2020	51036	The Geometry and Mechanics of Insect Wing Deformations in Flight: A Modelling Approach	32709085
PMC7357564	2020	77461	Arthropod IGF, relaxin and gonadulin, putative orthologs of Drosophila insulin-like peptides 6, 7 and 8, likely originated from an ancient gene triplication	32728497
PMC7411904	2020	32084	Trypanosomatids Detected in the Invasive Avian Parasite Philornis downsi (Diptera: Muscidae) in the Galapagos Islands	32659927
PMC7331985	2020	84226	Repression of tick microRNA-133 induces organic anion transporting polypeptide expression critical for Anaplasma phagocytophilum survival in the vector and transmission to the vertebrate host	32614824
PMC7343188	2020	80612	&#xAD;&#xAD;&#xAD;&#xAD;&#xAD;&#xAD;Widespread conservation and lineage-specific diversification of genome-wide DNA methylation patterns across arthropods	32584820
PMC7311437	2020	70333	Identification and age-dependence of pteridines in bed bugs (Cimex lectularius) and bat bugs (C. pipistrelli) using liquid chromatography-tandem mass spectrometry	32576867
PMC7349294	2020	54569	Unique Fine Morphology of Mouthparts in Haematoloecha nigrorufa (St&#xE5;l) (Hemiptera: Reduviidae) Adapted to Millipede Feeding	32580387
PMC7304411	2020	86312	Analysing ambiguities in trypanosomatids taxonomy by barcoding	32578684
PMC7353974	2020	48510	Evolution of reduced minimum critical size as a response to selection for rapid pre-adult development in Drosophila melanogaster	32742680
PMC7404234	2020	52109	High-Efficiency CRISPR/Cas9 Mutagenesis of the white Gene in the Milkweed Bug Oncopeltus fasciatus	32493719
PMC7260273	2020	43631	The embryonic expression pattern of a second, hitherto unrecognized, paralog of the pair-rule gene sloppy-paired in the beetle Tribolium castaneum	32430691
PMC7365494	2020	20219	Lophomonas blattarum: A new flagellate causing respiratory tract infections	32775285
PMC7260272	2020	31843	Expression of the zinc finger transcription factor Sp6_9 in the velvet worm Euperipatoides kanangrensis suggests a conserved role in appendage development in Panarthropoda	32430690
PMC7290759	2020	61645	Ecology of the Western Queen Butterfly Danaus gilippus thersippus (Lepidoptera: Nymphalidae) in the Mojave and Sonoran Deserts	32438741
