pmcid	year	count	title	pubmedid
PMC7412232	2020	52542	Putative Role of Arthropod Vectors in African Swine Fever Virus Transmission in Relation to Their Bio-Ecological Properties	32698448
PMC7180279	2020	17445	Coding-Complete Genome Sequence of an African Swine Fever Virus Strain Liv13/33 Isolate from Experimental Transmission between Pigs and Ornithodoros moubata Ticks	32327506
PMC7150827	2020	12802	Successful Infection of Domestic Pigs by Ingestion of the European Soft Tick O. Erraticus That Fed on African Swine Fever Virus Infected Pig	32168820
PMC7157692	2020	15760	No Experimental Evidence of Co-Feeding Transmission of African Swine Fever Virus between Ornithodoros Soft Ticks	32121078
PMC6950091	2019	35509	Zika Virus Surveillance at the Human_Animal Interface in West-Central Brazil, 2017_2018	31888285
PMC6881060	2019	71127	Comparative vector competence of the Afrotropical soft tick Ornithodoros moubata and Palearctic species, O. erraticus and O. verrucosus, for African swine fever virus strains circulating in Eurasia	31774871
PMC7172769	2019	105103	Parasites of seabirds: A survey of effects and ecological implications	31229148
PMC7158273	2018	165949	Sphenisciformes, Gaviiformes, Podicipediformes, Procellariiformes, and Pelecaniformes	
PMC5893795	2018	118529	Relapsing Fevers: Neglected Tick-Borne Diseases	29670860
PMC5937333	2017	27744	African Swine Fever (ASF) and Ticks. No Risk of Tick-mediated ASF Spread in Poland and Baltic States	29978098
PMC5629062	2017	6637	Complete Genome Coding Sequences of Artashat, Burana, Caspiy, Chim, Geran, Tamdy, and Uzun-Agach Viruses (Bunyavirales: Nairoviridae: Orthonairovirus)	28983005
PMC4926184	2016	54837	Genomic Characterization of the Genus Nairovirus (Family Bunyaviridae)	27294949
PMC4856612	2016	46847	A Global Genomic Characterization of Nairoviruses Identifies Nine Discrete Genogroups with Distinctive Structural Characteristics and Host-Vector Associations	26903607
PMC4664991	2015	103662	Genetic and Phylogenetic Characterization of Tataguine and Witwatersrand Viruses and Other Orthobunyaviruses of the Anopheles A, Capim, Guam&#xE1;, Koongol, Mapputta, Tete, and Turlock Serogroups	26610546
PMC7158200	2015	781331	Single-Stranded RNA Viruses	
PMC3381401	2011	6638	Tickborne Relapsing Fever Caused by Borrelia persica, Uzbekistan and Tajikistan	21762608
PMC3385554	2010	19071	Study on Presence of Borrelia persica in Soft Ticks in Western Iran	22808396
PMC7119992	2010	544791	Systematic Survey of Zoonotic and Sapronotic Microbial Agents	
