pmcid	year	count	title	pubmedid
PMC7481228	2020	37631	A novel nudivirus infecting the invasive demon shrimp Dikerogammarus haemobaphes (Amphipoda)	
PMC7439470	2020	59087	Visualizing Nudivirus Assembly and Egress	32788378
PMC7413517	2020	54488	Functional morphology of antennae and sensilla of Hippodamia variegata (Coleoptera: Coccinellidae)	32764805
PMC7404779	2020	74645	Non-Destructive Technologies for Detecting Insect Infestation in Fruits and Vegetables under Postharvest Conditions: A Critical Review	32674380
PMC7331153	2020	19206	Detecting bracoviral orthologs distribution in five tsetse fly species and the housefly genomes	32616010
PMC7274575	2020	13335	Newsletter<inline-graphic xlink:href="fx1_lrg.gif"><alt-text id="alttext0010">Image 1</alt-text></inline-graphic>	32536739
PMC7290661	2020	39174	Transcriptomic Analysis of Mating Responses in Bemisia tabaci MED Females	32423081
PMC7290520	2020	35257	Fermented Edible Insects for Promoting Food Security in Africa	32380684
PMC7171081	2020	51998	Bioefficacy of Rhynocoris longifrons (St&#xE5;l) (Heteroptera: Reduviidae) against multiple cotton pests under screen house and field conditions	32313143
PMC7250505	2020	44516	Nudivirus Remnants in the Genomes of Arthropods	32282886
PMC7145396	2020	52638	Substrate-Dependent Fermentation of Bamboo in Giant Panda Gut Microbiomes: Leaf Primarily to Ethanol and Pith to Lactate	32300339
PMC7150801	2020	45717	New Viral Sequences Identified in the Flavescence Doree Phytoplasma Vector Scaphoideus titanus	32155753
PMC7143028	2020	28571	The Effects of Weather on the Flight of an Invasive Bark Beetle, Pityophthorus juglandis	32121509
PMC7414434	2020	7891	ICTV Virus Taxonomy Profile: Nudiviridae	31935180
PMC6948120	2019	13781	Dataset of de novo assembly and functional annotation of the transcriptome of certain developmental stages of coconut rhinoceros beetle, Oryctes rhinoceros L.	31921949
PMC6902462	2019	60867	Transcriptome and microbiome of coconut rhinoceros beetle (Oryctes rhinoceros) larvae	31818246
PMC6879665	2019	157101	The genus Simplicillium	31798310
PMC6728817	2019	119164	Edible Insects as a Protein Source: A Review of Public Perception,Processing Technology, and Research Trends	31508584
PMC6780318	2019	55170	Subterranean Acoustic Activity Patterns of Vitacea polistiformis (Lepidoptera: Sesiidae) in Relation to Abiotic and Biotic Factors	31443578
PMC6626001	2019	72946	The first clawed lobster virus Homarus gammarus nudivirus (HgNV n. sp.) expands the diversity of the Nudiviridae	31300678
PMC6686914	2019	95959	De Novo Genome Sequence Assembly of Dwarf Coconut (Cocos nucifera L. 'Catigan Green Dwarf') Provides Insights into Genomic Variation Between Coconut Types and Related Palm Species	31167834
PMC6540168	2019	34819	Medium-Chain Fatty Acids from Eugenia winzerlingii Leaves Causing Insect Settling Deterrent, Nematicidal, and Phytotoxic Effects	31058826
PMC6616882	2019	26356	Is the Insect Cuticle the only Entry Gate for Fungal Infection? Insights into Alternative Modes of Action of Entomopathogenic Fungi	31014042
PMC6447812	2019	113246	Beetles as Model Organisms in Physiological, Biomedical and Environmental Studies _ A Review	30984018
PMC6573480	2019	86722	The Genome of Drosophila innubila Reveals Lineage-Specific Patterns of Selection in Immune Genes	30865231
PMC6299059	2018	173219	New tribal placement and review of Parapucaya Prell and Pucaya Ohaus (Coleoptera, Scarabaeidae, <named-content content-type="subfamily">Dynastinae)	30584394
PMC6265681	2018	66142	Novel Antimicrobial Peptides from the Arctic Polychaeta Nicomache minor Provide New Molecular Insight into Biological Role of the BRICHOS Domain	30360541
