pmcid	year	count	title	pubmedid
PMC7073712	2020	47941	Species Composition, Temporal Abundance and Distribution of Insect Captures Inside and Outside Commercial Peanut Shelling Facilities	32050416
PMC6920439	2019	66861	Biosecurity risks posed by a large sea-going passenger vessel: challenges of terrestrial arthropod species detection and eradication	31852943
PMC6835372	2019	32131	Ozone Effectiveness on Wheat Weevil Suppression: Preliminary Research	31635382
PMC6571962	2019	65953	Minimal Thermal Requirements for Development and Activity of Stored Product and Food Industry Pests (Acari, Coleoptera, Lepidoptera, Psocoptera, Diptera and Blattodea): A Review	31126156
PMC6287052	2018	93183	Vitality and Stability of Insecticide Resistance in Adult Propylaea japonica (Coleoptera: Coccinellidae)	30535415
PMC5917025	2018	69461	Comparing SVM and ANN based Machine Learning Methods for Species Identification of Food Contaminating Beetles	29695741
PMC5465827	2017	30210	Chemical compositions and biological activities of Scutellaria pinnatifida A. Hamilt aerial parts	28626476
PMC5110965	2016	24128	Evolutionarily conserved odorant receptor function questions ecological context of octenol role in mosquitoes	27849027
PMC4920424	2016	65784	Species Identification of Food Contaminating Beetles by Recognizing Patterns in Microscopic Images of Elytra Fragments	27341524
PMC4829933	2016	972438	Checklist of the Coleoptera of New Brunswick, Canada	27110174
PMC3337059	2012	50993	New Coleoptera records from New Brunswick, Canada: Silvanidae and Laemophloeidae	22539892
PMC3385219	2012	23880	A Novel Extraction Method and Some Physicochemical Properties of Extractives of Irvingia Gabonensis seeds	22754256
PMC3312420	2011	1734753	A catalogue of Lithuanian beetles (Insecta, Coleoptera)	22461725
PMC2737144	2009	26492	Characterization of an Enantioselective Odorant Receptor in the Yellow Fever Mosquito Aedes aegypti	19753115
