pmcid	year	count	title	pubmedid
PMC7469204	2020	33263	How Is Fitness of Tribolium castaneum (Herbst) (Coleoptera: Tenebrionidae) Affected When Different Developmental Stages Are Exposed to Chlorfenapyr?	32824465
PMC7442752	2020	475470	The first survey of the beetles (Coleoptera) of the Farasan Archipelago of the southern Red Sea, Kingdom of Saudi Arabia	32879610
PMC7404779	2020	74645	Non-Destructive Technologies for Detecting Insect Infestation in Fruits and Vegetables under Postharvest Conditions: A Critical Review	32674380
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7349354	2020	33592	Acute Toxicity and Sublethal Effects of Lemongrass Essential Oil and Their Components against the Granary Weevil, Sitophilus granarius	32570794
PMC7348853	2020	25351	Durum Wheat Cultivars Express Different Level of Resistance to Granary Weevil, Sitophilus granarius (Coleoptera; Curculionidae) Infestation	32503155
PMC7353542	2020	30659	Evaluation of the Toxicity of Satureja intermedia C. A. Mey Essential Oil to Storage and Greenhouse Insect Pests and a Predator Ladybird	32498219
PMC7287993	2020	44763	Surfactantless Emulsions Containing Eugenol for Imidacloprid Solubilization: Physicochemical Characterization and Toxicity against Insecticide-Resistant Cimex lectularius	32414128
PMC7291318	2020	28020	Effect of Six Insecticides on Egg Hatching and Larval Mortality of Trogoderma granarium Everts (Coleoptera: Dermedtidae)	32344913
PMC7221655	2020	60068	Experimental and Computational Studies Unraveling the Peculiarity of Enolizable Oxoesters in the Organocatalyzed Mannich-Type Addition to Cyclic N-Acyl Iminium Ions	32326095
PMC7240364	2020	32482	Biological Features and Population Growth of Two Southeastern European Tribolium confusum Jacquelin du Val (Coleoptera: Tenebrionidae) Strains	32252265
PMC7143226	2020	34697	Toxicity and Synergistic Effect of Elsholtzia ciliata Essential Oil and Its Main Components against the Adult and Larval Stages of Tribolium castaneum	32188172
PMC7076031	2020	42308	Selectivity of the botanical compounds to the pollinators Apis mellifera and Trigona hyalinata (Hymenoptera: Apidae)	32179793
PMC7154898	2020	48730	Citrus Essential Oils (CEOs) and Their Applications in Food: An Overview	32168877
PMC7179150	2020	37693	Composition, Antifungal, Phytotoxic, and Insecticidal Activities of Thymus kotschyanus Essential Oil	32143475
PMC7143747	2020	20188	Cool Down_Warm Up: Differential Responses of Stored Product Insects after Gradual Temperature Changes	32121521
PMC7142774	2020	27428	Mobility of Stored Product Beetles after Exposure to a Combination Insecticide Containing Deltamethrin, Methoprene, and a Piperonyl Butoxide Synergist Depends on Species, Concentration, and Exposure Time	32121416
PMC7070424	2020	33667	An Opto-Electronic Sensor-Ring to Detect Arthropods of Significantly Different Body Sizes	32059444
PMC7073766	2020	60885	The Time_Concentration_Mortality Responses of Western Flower Thrips, Frankliniella occidentalis, to the Synergistic Interaction of Entomopathogenic Fungus Metarhizium flavoviride, Insecticides, and Diatomaceous Earth	32024074
PMC7076379	2020	40885	Additive Effect of Botanical Insecticide and Entomopathogenic Fungi on Pest Mortality and the Behavioral Response of Its Natural Enemy	32024119
PMC7020479	2020	167621	Natural Sources and Bioactivities of 2,4-Di-Tert-Butylphenol and Its Analogs	31935944
PMC6955951	2019	43027	A Review of Interactions between Insect Biological Control Agents and Semiochemicals	31817457
