pmcid	year	count	title	pubmedid
PMC7490912	2020	73563	Differences in midgut transcriptomes between resistant and susceptible strains of Chilo suppressalis to Cry1C toxin	
PMC7489556	2020	44673	Influence of the plant interacting entomopathogenic fungus Beauveria bassiana on parasitoid host choice-behavior, development, and plant defense pathways	
PMC7504026	2020	35673	Differential Profiles of Gut Microbiota and Metabolites Associated with Host Shift of Plutella xylostella	
PMC7469166	2020	35683	From Diverse Origins to Specific Targets: Role of Microorganisms in Indirect Pest Biological Control	32823898
PMC7472478	2020	65011	Current Insights on Vegetative Insecticidal Proteins (Vip) as Next Generation Pest Killers	32823872
PMC7438476	2020	65892	Bt, Not a Threat to Propylea japonica	32903558
PMC7469153	2020	33696	Radioprotective Effects on Late Third-Instar Bactrocera dorsalis (Diptera: Tephritidae) Larvae in Low-Oxygen Atmospheres	32806714
PMC7423104	2020	128226	Large-scale genetic admixture suggests high dispersal in an insect pest, the apple fruit moth	32785243
PMC7403033	2021	227673	Subtribe Hyptidinae (Lamiaceae): A promising source of bioactive metabolites	32763419
PMC7398519	2020	52442	Comparative gut transcriptome analysis of Diatraea saccharalis in response to the dietary source	32745084
PMC7469172	2020	38254	Lethal and Sublethal Effects of Chlorpyrifos on Biological Traits and Feeding of the Aphidophagous Predator Harmonia axyridis	32752271
PMC7394452	2020	89786	Western corn rootworm abundance, injury to corn, and resistance to Cry3Bb1 in the local landscape of previous problem fields	32735582
PMC7469157	2020	59841	Effect of Temperature on Life History and Parasitization Behavior of Trichogramma achaeae Nagaraja and Nagarkatti (Hym.: Trichogrammatidae)	32751342
PMC7469176	2020	33775	Essential Oil Headspace Volatiles Prevent Invasive Box Tree Moth (Cydalima perspectalis) Oviposition-Insights from Electrophysiology and Behaviour	32718029
PMC7365942	2020	26349	A Framework for Effective Bt Maize IRM Programs: Incorporation of Lessons Learned From Busseola fusca Resistance Development	32754580
PMC7404973	2020	36518	AFLA-PISTACHIO: Development of a Mechanistic Model to Predict the Aflatoxin Contamination of Pistachio Nuts	32664286
PMC7341793	2020	64483	Characterization of DvSSJ1 transcripts targeting the smooth septate junction (SSJ) of western corn rootworm (Diabrotica virgifera virgifera)	32636422
PMC7412527	2020	35188	Improved Monitoring of Grapholita molesta (Lepidoptera: Tortricidae) in Stone Fruit Orchards with a Pheromone-Kairomone Combination Lure	32635150
