pmcid	year	count	title	pubmedid
PMC7477568	2020	40206	Development and diapause induction of the Indian meal moth, Plodia interpunctella (H&#xFC;bner) (Lepidoptera: Pyralidae) at different photoperiods	
PMC7439961	2020	95962	Determination of fitness traits of Orius strigicollis Poppius (Hemiptera: Anthocoridae) on Pectinophora gossypiella (Lepidoptera: Gelechiidae) using two-sex life table analysis	32874777
PMC7472478	2020	65011	Current Insights on Vegetative Insecticidal Proteins (Vip) as Next Generation Pest Killers	32823872
PMC7413551	2020	61175	Transcriptome analysis of the eggs of the silkworm pale red egg (rep-1) mutant at 36 hours after oviposition	32764803
PMC7469172	2020	38254	Lethal and Sublethal Effects of Chlorpyrifos on Biological Traits and Feeding of the Aphidophagous Predator Harmonia axyridis	32752271
PMC7394452	2020	89786	Western corn rootworm abundance, injury to corn, and resistance to Cry3Bb1 in the local landscape of previous problem fields	32735582
PMC7377362	2020	64577	Advances and challenges in genetic technologies to produce single-sex litters	32701961
PMC7373299	2020	135827	Pest susceptibility, yield and fiber traits of transgenic cotton cultivars in Multan, Pakistan	32692775
PMC7357268	2020	58844	The Impact of Environmental Factors on the Efficacy of Chemical Communication in the Burying Beetle (Coleoptera: Silphidae)	32658275
PMC7317607	2020	72673	Characterization of the First W-Specific Protein-Coding Gene for Sex Identification in Helicoverpa armigera	32636875
PMC7354596	2020	35259	The Cadherin Protein Is Not Involved in Susceptibility to Bacillus thuringiensis Cry1Ab or Cry1Fa Toxins in Spodoptera frugiperda	32517191
PMC7273521	2020	31075	Growth Performance and Enzymatic Response of the Grasshopper, Calliptamus abbreviatus (Orthoptera: Acrididae), to Six Plant-Derived Compounds	32501501
PMC7270089	2020	45618	Effect of Cold Acclimation on Selected Metabolic Enzymes During Diapause in The European Corn Borer Ostrinia nubilalis (Hbn.)	32493946
PMC7261935	2020	79592	Genetic Biocontrol for Invasive Species	32523938
PMC7224296	2020	62931	Shared and Independent Genetic Basis of Resistance to Bt Toxin Cry2Ab in Two Strains of Pink Bollworm	32409635
PMC7194401	2020	64716	Croton tiglium essential oil compounds have anti-proliferative and pro-apoptotic effects in A549 lung cancer cell lines	32357169
PMC7290837	2020	69810	Using a Two-Sex Life Table Tool to Calculate the Fitness of Orius strigicollis as a Predator of Pectinophora gossypiella	32365977
PMC7230556	2020	77640	Edible Insects in Africa in Terms of Food, Wildlife Resource, and Pest Management Legislation	32316132
PMC7149892	2020	89204	Identification of cholesterol-assimilating actinomycetes strain and application of statistical modeling approaches for improvement of cholesterol oxidase production by Streptomyces anulatus strain NEAE-94	32276593
PMC7240472	2020	27161	Mating Disruption of Helicoverpa armigera (Lepidoptera: Noctuidae) on Processing Tomato: First Applications in Northern Italy	32225093
PMC7109147	2020	551594	Commented checklist of European Gelechiidae (Lepidoptera)	32256151
